Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,32.32,32.32,31.38,31.8,31.8,2977162
2002-01-03,31.86,32.7,31.84,32.43,32.43,3240814
2002-01-04,32.43,33.32,32.43,32.93,32.93,2869705
2002-01-07,32.93,33.27,32.15,33.03,33.03,2448703
2002-01-08,32.8,32.93,32.08,32.37,32.37,2741136
2002-01-09,32.56,33.63,32.56,32.8,32.8,5142573
2002-01-10,32.56,33.19,32.13,32.19,32.19,3679672
2002-01-11,32.04,32.54,31.51,31.65,31.65,3761815
2002-01-14,31.18,31.41,30.02,30.18,30.18,10115818
2002-01-15,30.56,30.75,29.27,29.27,29.27,7402938
2002-01-16,29.32,29.32,27.72,27.8,27.8,10600055
2002-01-17,28.37,28.41,27.19,27.71,27.71,7336971
2002-01-18,27.61,28.08,27.39,27.94,27.94,4751505
2002-01-22,28.23,28.47,27.68,28.08,28.08,3913282
2002-01-23,28.08,28.25,27.49,28.08,28.08,3535872
2002-01-24,28.56,30.1,28.38,30.08,30.08,7457983
2002-01-25,30.32,31.32,29.9,31.13,31.13,4518316
2002-01-28,31.61,31.74,30.02,30.51,30.51,3375895
2002-01-29,30.46,31.31,29.14,29.42,29.42,4462538
2002-01-30,29.61,31.38,29.47,31.38,31.38,8009970
2002-01-31,31.37,32.32,30.85,32,32,4958543
2002-02-01,32.7,33.03,31.81,32.06,32.06,3863808
2002-02-04,32.37,32.37,30.53,30.53,30.53,3770218
2002-02-05,30.65,32.37,30.57,31.19,31.19,4079352
2002-02-06,31.56,32.13,31.23,31.37,31.37,3667908
2002-02-07,31.42,32.8,31.39,32.29,32.29,4273887
2002-02-08,32.37,32.7,28.7,31.14,31.14,11441328
2002-02-11,30.8,31.27,30.03,31.16,31.16,5881217
2002-02-12,30.7,31.34,30.65,31.34,31.34,4177144
2002-02-13,31.42,31.85,31.05,31.7,31.7,3716332
2002-02-14,31.7,32.42,31.56,32.37,32.37,3628097
2002-02-15,32.65,32.81,31.99,32.03,32.03,3992063
2002-02-19,32.13,32.7,30.85,31.08,31.08,5359482
2002-02-20,31.51,32.89,31.51,32.84,32.84,6294761
2002-02-21,32.61,33.08,31.42,32.42,32.42,5649709
2002-02-22,32.61,33.56,32.05,33.41,33.41,5753802
2002-02-25,33.75,34.75,33.71,34.7,34.7,5811997
2002-02-26,35.08,35.18,34.03,34.38,34.38,4471466
2002-02-27,34.94,36.49,34.83,35.37,35.37,6454631
2002-02-28,35.65,36.65,35.61,36.29,36.29,7949781
2002-03-01,36.7,37.88,35.75,37.88,37.88,5931003
2002-03-04,37.65,38.92,36.8,37.6,37.6,6641395
2002-03-05,37.13,37.7,36.37,36.46,36.46,5430277
2002-03-06,36.56,37.75,36.27,37.13,37.13,5997078
2002-03-07,37.99,38.02,37.51,37.86,37.86,6909355
2002-03-08,38.08,38.48,37.51,37.94,37.94,3368543
2002-03-11,37.94,38.63,37.41,38.19,38.19,2346393
2002-03-12,38.19,38.56,37.67,38.24,38.24,2662145
2002-03-13,38.24,38.79,37.51,37.93,37.93,2214463
2002-03-14,38.35,38.54,37.85,38.43,38.43,2643869
2002-03-15,38.43,38.65,37.79,38.08,38.08,4837007
2002-03-18,37.99,38.36,37.84,38.15,38.15,2102910
2002-03-19,38.22,38.49,37.91,38.07,38.07,3366127
2002-03-20,38.07,38.37,36.94,37.46,37.46,3133882
2002-03-21,37.18,37.51,36.69,37.12,37.12,2654688
2002-03-22,37.12,37.13,36.41,36.84,36.84,4139855
2002-03-25,36.56,36.94,35.57,35.84,35.84,2499962
2002-03-26,35.71,36.65,35.71,36.36,36.36,2294714
2002-03-27,36.51,36.71,36.22,36.46,36.46,2444081
2002-03-28,36.65,36.9,36.43,36.43,36.43,1795981
2002-04-01,36.43,36.92,35.85,36.66,36.66,2262256
2002-04-02,36.7,36.99,35.96,36.56,36.56,2128749
2002-04-03,36.89,37.08,35.79,36.01,36.01,5022827
2002-04-04,36.18,36.27,35.94,36.18,36.18,3282200
2002-04-05,36.18,36.37,35.43,36.16,36.16,3423059
2002-04-08,36.16,36.26,35.47,36.08,36.08,2229694
2002-04-09,36.37,36.54,35.8,35.83,35.83,2336520
2002-04-10,36.22,38.09,36.15,38.03,38.03,3879985
2002-04-11,38.04,38.56,37.6,38.03,38.03,4260651
2002-04-12,38.08,38.89,37.85,38.62,38.62,3161088
2002-04-15,38.64,38.89,37.82,38.08,38.08,3777045
2002-04-16,38.33,38.98,38.32,38.8,38.8,2334734
2002-04-17,38.61,38.65,37.89,38.52,38.52,3281779
2002-04-18,37.46,38.08,35.89,36.46,36.46,8986531
2002-04-19,36.27,36.28,35.46,36.05,36.05,5641617
2002-04-22,35.95,36.27,35.25,35.57,35.57,2859411
2002-04-23,35.22,36.37,34.95,35.75,35.75,2263201
2002-04-24,35.75,36.06,35.46,35.49,35.49,2114044
2002-04-25,35.61,36.18,34.28,35.95,35.95,3426106
