Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,31.9,33,31.73,33,33,42916304
2002-01-03,33.5,35.62,33.4,35.52,35.52,91531504
2002-01-04,36.2,36.35,35.32,35.79,35.79,65039904
2002-01-07,36.02,36.25,35.02,35.27,35.27,48809904
2002-01-08,35.34,35.97,34.95,35.58,35.58,35637600
2002-01-09,35.96,36.78,35.03,35.36,35.36,59085200
2002-01-10,35.43,35.47,34.5,34.65,34.65,51680400
2002-01-11,34.82,35.11,34.26,34.55,34.55,39585696
2002-01-14,34.3,35.19,34.1,34.84,34.84,58700096
2002-01-15,34.94,34.98,34.1,34.68,34.68,57236096
2002-01-16,33.96,34.59,33.68,33.71,33.71,76435680
2002-01-17,34.05,34.75,33.6,34.53,34.53,50619008
2002-01-18,33.55,34.3,33.16,33.48,33.48,51725392
2002-01-22,33.55,33.59,31.56,31.7,31.7,52961296
2002-01-23,31.66,32.61,31.62,32.45,32.45,49429504
2002-01-24,32.92,33.6,32.56,33.2,33.2,53953392
2002-01-25,32.87,34.16,32.75,33.68,33.68,35833696
2002-01-28,33.83,34.31,33.32,33.92,33.92,29920704
2002-01-29,33.89,34.3,32.5,32.68,32.68,44735296
2002-01-30,32.87,33.89,32.46,33.86,33.86,47013008
2002-01-31,34.61,35.15,34.32,35.04,35.04,63039504
2002-02-01,34.82,35.07,34.06,34.67,34.67,39372304
2002-02-04,34.63,34.63,33.66,33.98,33.98,38594800
2002-02-05,33.8,34.39,33.4,33.8,33.8,40983104
2002-02-06,33.77,33.8,32.53,32.92,32.92,51674400
2002-02-07,32.8,33.49,32.1,32.31,32.31,46603904
2002-02-08,32.51,32.6,31.38,32.52,32.52,60723904
2002-02-11,32.24,33.63,32.12,33.57,33.57,37651696
2002-02-12,33.11,33.48,32.64,32.97,32.97,37623104
2002-02-13,33.2,33.7,33.06,33.38,33.38,36799504
2002-02-14,33.63,34.35,33.31,33.34,33.34,44897600
2002-02-15,33.42,33.67,31.95,32.29,32.29,47597200
2002-02-19,31.74,32.17,31.18,31.34,31.34,44224096
2002-02-20,31.5,31.59,29.95,31.44,31.44,63431200
2002-02-21,30.34,30.68,29.48,29.48,29.48,76450192
2002-02-22,29.51,30.1,29.17,29.53,29.53,56067504
2002-02-25,29.76,31.51,29.63,31.02,31.02,52400000
2002-02-26,31.25,31.44,29.75,30.02,30.02,61583696
2002-02-27,30.55,31.07,29.28,29.89,29.89,57715392
2002-02-28,30.11,30.15,28.5,28.55,28.55,64458608
2002-03-01,29.09,31.01,29,30.98,30.98,58703104
2002-03-04,30.95,31.88,29.88,31.85,31.85,57665904
2002-03-05,32.51,33.29,32.4,32.7,32.7,68040320
2002-03-06,32.84,33.08,32.13,32.96,32.96,44900800
2002-03-07,33.51,33.61,32.04,32.98,32.98,55198192
2002-03-08,33.97,34.25,32.84,34.17,34.17,70226000
