Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,58.9,59.3,57.58,58.7,58.7,7054602
2002-01-03,58.7,58.73,57.88,58.68,58.68,6413102
2002-01-04,58.68,58.9,57.95,58.14,58.14,4778398
2002-01-07,57.9,58.5,57.76,57.87,57.87,4509000
2002-01-08,58.08,58.1,57,57.49,57.49,4505898
2002-01-09,56.95,57.8,56.75,56.91,56.91,6491398
2002-01-10,56.67,58.39,56.6,58.28,58.28,5305898
2002-01-11,58.08,58.42,57.75,58.23,58.23,5158500
2002-01-14,58.68,59.32,58.46,58.92,58.92,5401199
2002-01-15,59.13,59.43,58.64,59.17,59.17,6218102
2002-01-16,59.34,59.99,59.18,59.58,59.58,6373801
2002-01-17,59.58,59.98,59.22,59.83,59.83,5591898
2002-01-18,59.83,60.1,59.62,59.7,59.7,8949199
2002-01-22,59.71,59.85,58.52,59.12,59.12,9612602
2002-01-23,59.13,59.27,58.38,58.78,58.78,7261199
2002-01-24,58,58.21,57.74,58.04,58.04,6873699
2002-01-25,58.05,58.2,57.6,57.65,57.65,5527000
2002-01-28,57.51,57.98,57.37,57.81,57.81,5286699
2002-01-29,57.9,58.74,56.82,57.18,57.18,5898699
2002-01-30,57.2,57.69,56.9,57.2,57.2,7920199
2002-01-31,57.21,57.55,56.81,57.51,57.51,6754000
2002-02-01,57.26,58.33,57.26,57.6,57.6,5901102
2002-02-04,57.55,57.71,56,56.31,56.31,7657398
2002-02-05,55.51,56.35,54.7,55.5,55.5,12762301
2002-02-06,55.5,56.5,55.5,55.88,55.88,7167301
2002-02-07,55.88,57.1,55.8,56.49,56.49,6952398
2002-02-08,56.06,57.06,55.25,56.88,56.88,6542898
2002-02-11,56.88,57.85,56.75,57.05,57.05,4444000
2002-02-12,57.05,57.38,56.6,57.3,57.3,4910199
2002-02-13,58.2,58.89,57.95,58.09,58.09,7287500
2002-02-14,58,58.05,57.05,57.3,57.3,7144898
2002-02-15,57.7,58.09,57,57.24,57.24,6738699
2002-02-19,57.49,57.6,56.75,56.92,56.92,5012898
2002-02-20,57.49,58.5,57.16,58.12,58.12,5536602
2002-02-21,58.25,58.95,57.93,58,58,7038500
2002-02-22,58,59.51,57.95,59.4,59.4,7805398
2002-02-25,59.96,60.03,59.4,59.7,59.7,8391699
2002-02-26,59.7,60.25,59.25,60.01,60.01,7768000
2002-02-27,60.22,60.54,59.96,60.23,60.23,6807398
2002-02-28,60.24,60.97,60.12,60.9,60.9,6439199
2002-03-01,60.9,62.4,60.6,62.1,62.1,9202102
2002-03-04,62.5,62.5,61.9,61.92,61.92,8455602
2002-03-05,61.92,62.16,61.11,61.31,61.31,7700000
2002-03-06,61.79,62.79,61.6,62.52,62.52,7164801
2002-03-07,63.5,64.1,63.28,63.62,63.62,11207801
2002-03-08,64.4,64.49,63.1,63.66,63.66,10364301
2002-03-11,63.66,64.4,63.41,63.81,63.81,7239000
2002-03-12,63.81,63.81,62.97,63.65,63.65,7505801
2002-03-13,63.65,64.01,63.25,63.9,63.9,6200602
2002-03-14,63.9,64.69,63.7,64.38,64.38,7572699
2002-03-15,64.8,65.47,64.45,64.6,64.6,13573000
2002-03-18,64.7,65.15,64.3,64.66,64.66,8275602
2002-03-19,64.75,65.7,64.7,65.49,65.49,6706301
2002-03-20,65.49,65.49,64.34,64.49,64.49,7227801
2002-03-21,64.3,64.98,63.69,64.8,64.8,6758301
2002-03-22,64.55,65.38,64.37,64.85,64.85,5583602
2002-03-25,64.85,65.89,64.35,64.35,64.35,6519102
2002-03-26,64.55,65.14,64.36,64.71,64.71,6034102
2002-03-27,64.95,65.47,64.82,65.14,65.14,6347898
2002-03-28,65.14,65.5,64.83,64.95,64.95,5604699
2002-04-01,64.2,65.29,64.15,64.61,64.61,8185801
2002-04-02,64.4,65.04,64.16,64.45,64.45,5218199
2002-04-03,64.7,64.8,63.8,64.02,64.02,6996500
2002-04-04,63.52,64.25,63.02,63.48,63.48,8472199
2002-04-05,63.48,63.73,62.8,63.05,63.05,7208301
2002-04-08,62.8,63.54,62.55,63.38,63.38,6099301
2002-04-09,63.74,63.8,62.91,63,63,7770699
2002-04-10,62.91,63.5,62.8,63.44,63.44,7254398
2002-04-11,63.24,63.69,62.7,62.7,62.7,7491898
2002-04-12,62.7,62.85,61.9,62.67,62.67,6372500
2002-04-15,63.1,63.2,61.78,62.16,62.16,6677301
2002-04-16,63,63.95,62.02,63.26,63.26,9999000
2002-04-17,62.8,63.47,62.06,62.52,62.52,9971398
2002-04-18,62.52,64.49,62.4,64.29,64.29,8094801
2002-04-19,64.7,64.75,64.1,64.49,64.49,6617000
2002-04-22,64.21,64.34,63.07,63.34,63.34,7123602
2002-04-23,63.59,63.95,62.71,62.8,62.8,6699102
