Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,36.49,36.49,35.68,36.35,36.35,7929301
2002-01-03,36.5,37.5,36.34,37.32,37.32,10348200
2002-01-04,38.02,39.1,38.02,39,39,10432900
2002-01-07,39.05,39.68,38.9,38.9,38.9,9453000
2002-01-08,39,39.05,38.28,38.6,38.6,7604000
2002-01-09,38.85,39.6,38.39,38.71,38.71,6189602
2002-01-10,38.4,39.19,38.36,39.14,39.14,6870400
2002-01-11,39.25,39.29,37.72,38.34,38.34,7788900
2002-01-14,37.65,37.8,37.05,37.31,37.31,7333000
2002-01-15,37.31,38.29,37.31,37.87,37.87,8475900
2002-01-16,37.5,37.51,36.1,36.51,36.51,15076200
2002-01-17,37,37.2,36.5,36.85,36.85,11503100
2002-01-18,36.15,36.5,35.5,35.91,35.91,11283801
2002-01-22,36,36.18,35.62,35.76,35.76,7824301
2002-01-23,35.35,36.35,34.99,35.75,35.75,8666100
2002-01-24,36.25,36.49,35.9,35.9,35.9,7715602
2002-01-25,35.45,36.02,34.75,34.99,34.99,13942200
2002-01-28,35.15,35.23,33.45,34.31,34.31,13716200
2002-01-29,34.06,34.65,31.7,32.05,32.05,17856800
2002-01-30,31.52,33.5,30.4,33.06,33.06,22844200
2002-01-31,33.11,34.1,33.02,34.05,34.05,12247602
2002-02-01,34.05,34.05,32.05,32.16,32.16,13705301
2002-02-04,32.17,32.35,30.55,30.56,30.56,12660000
2002-02-05,30.57,30.57,28.3,29.02,29.02,28714800
2002-02-06,29.27,30.05,28.9,29.44,29.44,19559504
2002-02-07,30,30.87,29.55,30.07,30.07,17090608
2002-02-08,30.24,31.4,30.24,31.12,31.12,15573300
2002-02-11,31.22,31.95,30.74,31.84,31.84,12952700
2002-02-12,31.6,31.69,31.05,31.49,31.49,7807602
2002-02-13,31.5,32.19,30,30.25,30.25,20457300
2002-02-14,30,30.79,29.4,30.21,30.21,17209392
2002-02-15,30.21,30.4,29.3,30.05,30.05,16684301
2002-02-19,29.3,29.75,28.95,29.03,29.03,13378500
2002-02-20,29.8,29.9,28.39,29.41,29.41,14369600
2002-02-21,29.28,30.15,28.9,29.14,29.14,9669400
2002-02-22,28.45,28.45,26.7,28.19,28.19,25756700
2002-02-25,27.8,29.05,27.75,29,29,11513000
2002-02-26,29,29.23,28.51,28.96,28.96,10028102
2002-02-27,29.19,29.55,28.5,28.96,28.96,10123500
2002-02-28,29.01,29.5,28.87,29.25,29.25,8056801
2002-03-01,29.6,29.75,29.05,29.66,29.66,9530301
2002-03-04,30.25,32.65,30,32.5,32.5,16655600
2002-03-05,32.52,33.88,32.31,32.51,32.51,16768699
2002-03-06,33.5,34.42,33.17,34.05,34.05,15044900
2002-03-07,34.45,34.85,33.7,34.05,34.05,12092200
2002-03-08,34.75,34.98,34.17,34.74,34.74,11721000
2002-03-11,35.5,36.49,35.03,36.3,36.3,16507801
2002-03-12,36,36.45,35.36,36.25,36.25,13336301
2002-03-13,36,36.35,34.94,35.37,35.37,10128602
2002-03-14,35.01,35.44,34.7,35.11,35.11,8074400
2002-03-15,35.12,36.07,34.85,36.01,36.01,11627801
2002-03-18,36.01,36.4,35.07,35.34,35.34,8641301
2002-03-19,35.75,36.09,35.56,36.09,36.09,7615102
2002-03-20,35.7,35.71,35.15,35.19,35.19,8460200
2002-03-21,35.19,35.26,34.2,34.79,34.79,7176301
2002-03-22,34.8,35.54,34.5,35.2,35.2,7176700
2002-03-25,35.2,36.12,34.95,34.95,34.95,8446301
2002-03-26,35.2,36.08,35.1,35.15,35.15,9780000
2002-03-27,35.2,35.99,35.15,35.5,35.5,6541200
2002-03-28,35.85,36.22,35.26,35.65,35.65,6425000
2002-04-01,35.65,35.95,35,35.61,35.61,4588500
2002-04-02,35.38,35.7,35.2,35.31,35.31,5126801
2002-04-03,35.19,35.36,34.58,35.01,35.01,5978700
2002-04-04,34.85,35.2,34.12,34.44,34.44,6825900
2002-04-05,34.62,35.27,34.62,34.86,34.86,5999500
2002-04-08,34.54,35.19,34.25,34.98,34.98,5735301
2002-04-09,35,35.45,34.85,35.19,35.19,5537602
2002-04-10,35.19,35.39,34.5,35.04,35.04,9663301
2002-04-11,34.8,34.98,33.1,33.46,33.46,12118301
2002-04-12,33.7,34.36,33.6,34.28,34.28,6738500
2002-04-15,35.5,35.6,34.25,34.4,34.4,11163000
2002-04-16,34.95,35.5,34.33,35.38,35.38,14282301
2002-04-17,35.95,37.58,35.76,37.27,37.27,19356200
2002-04-18,37.01,37.67,36.37,37.26,37.26,10163900
2002-04-19,37.5,37.95,37.3,37.76,37.76,6677301
2002-04-22,37.27,37.39,36.42,36.6,36.6,8053500
2002-04-23,36.68,36.85,36.2,36.6,36.6,7383300
2002-04-24,36.7,36.7,35.87,35.89,35.89,7354700
2002-04-25,35.4,35.55,34.39,35.03,35.03,10939400
2002-04-26,35.75,35.85,34.77,34.99,34.99,7525801
2002-04-29,35.4,35.45,34,34.34,34.34,8569000
2002-04-30,34.7,35.95,34.35,35.1,35.1,9882895
2002-05-01,35.44,35.85,34.4,35.5,35.5,6543700
2002-05-02,35.5,36.28,35.49,36.25,36.25,7680200
2002-05-03,36.3,36.41,35.02,35.68,35.68,7122800
2002-05-06,35.95,35.95,34.24,34.4,34.4,6321700
2002-05-07,34.94,35.54,34.63,34.63,34.63,8673801
2002-05-08,36.5,37.15,36,36.91,36.91,10199301
2002-05-09,36.25,36.58,35.5,35.77,35.77,8214200
2002-05-10,35.94,36,35,35.08,35.08,5472400
2002-05-13,35.35,36.44,35.1,36.34,36.34,5811000
2002-05-14,36.9,37.73,36.73,37.59,37.59,8431300
2002-05-15,37.24,37.94,36.9,36.96,36.96,8716400
2002-05-16,37.05,38,36.83,37.83,37.83,5798700
2002-05-17,38,38.75,37.6,38.1,38.1,7433102
2002-05-20,37.8,37.93,37.28,37.46,37.46,4149000
2002-05-21,37.92,38.65,37.3,37.52,37.52,6318700
2002-05-22,37.52,37.69,36.84,37.56,37.56,5234102
2002-05-23,37.56,38.66,37.54,38.37,38.37,6222500
2002-05-24,38,38.71,37.51,37.8,37.8,4945900
2002-05-28,37.75,37.9,36.95,37.2,37.2,4890602
2002-05-29,37.1,37.5,36.7,36.97,36.97,5388602
2002-05-30,36.5,36.78,35.05,36.01,36.01,9332200
2002-05-31,36.01,36.75,35.87,35.95,35.95,7764000
2002-06-03,36,36.25,34.57,34.66,34.66,7325801
2002-06-04,34.91,35.65,34.08,34.65,34.65,9405000
2002-06-05,34.65,35.15,34.22,34.7,34.7,7263200
2002-06-06,34.87,34.9,33.4,33.69,33.69,7494700
2002-06-07,32.75,33.99,32.5,33.69,33.69,9275102
2002-06-10,33.65,34.1,33.18,33.88,33.88,5536801
2002-06-11,33.98,34.58,32.79,32.93,32.93,6525301
2002-06-12,32.85,33.31,31.73,33.17,33.17,9581500
2002-06-13,33.12,33.45,32.5,32.66,32.66,6041301
2002-06-14,32.35,33.49,31.25,33,33,9795700
2002-06-17,33.6,35.49,33.57,35.48,35.48,10245102
2002-06-18,35.48,35.69,34.78,35.02,35.02,7572900
2002-06-19,34.7,35.15,34.25,34.61,34.61,6437801
2002-06-20,34.6,34.6,33.01,33.38,33.38,8559200
2002-06-21,32.8,33.65,32.79,32.99,32.99,12353700
2002-06-24,32.25,33.9,31.65,33.18,33.18,10176301
2002-06-25,33.3,34.35,32.7,32.93,32.93,6963000
2002-06-26,30.75,31.98,30.15,31.49,31.49,19122800
2002-06-27,32.05,33,31.4,32.72,32.72,9726801
2002-06-28,32.65,33.92,32.55,33.92,33.92,7830000
2002-07-01,33.59,33.68,31.35,31.36,31.36,10085398
2002-07-02,31.02,31.54,30,31.23,31.23,12179602
2002-07-03,30.71,31.15,30,30.95,30.95,8979400
2002-07-05,31.5,32.7,31.15,32.59,32.59,4612400
2002-07-08,32.59,32.95,31.8,32.28,32.28,7585700
2002-07-09,32.26,32.75,31.25,31.27,31.27,7100301
2002-07-10,31.6,31.75,30.06,30.15,30.15,8858000
2002-07-11,30,30.9,29.25,30.57,30.57,11589301
2002-07-12,30.75,30.95,29.68,30.21,30.21,7531200
2002-07-15,29.6,30.09,28.44,30.08,30.08,11558500
2002-07-16,28.9,33.73,27.2,28.5,28.5,14886800
2002-07-17,29.01,29.85,27.53,28.14,28.14,16035102
2002-07-18,27.6,28.2,26.91,27.2,27.2,9790102
2002-07-19,26.55,27.2,25.85,26.1,26.1,12270800
2002-07-22,25.96,26.65,24.42,24.52,24.52,16705900
2002-07-23,23.65,24.02,19.8,20.08,20.08,44908600
2002-07-24,19.01,23.7,18.22,23.3,23.3,46819400
2002-07-25,23.75,25.5,21,22.35,22.35,33168200
2002-07-26,23.2,23.3,21.05,22.25,22.25,18050500
2002-07-29,23.75,25.22,23.25,25.1,25.1,18354600
2002-07-30,24.6,25.5,23.8,24.89,24.89,16052300
2002-07-31,24.8,25.1,24.11,24.96,24.96,13790900
2002-08-01,24.96,25.28,24.25,25.02,25.02,12536301
2002-08-02,24.53,24.9,23.28,23.85,23.85,13448400
2002-08-05,22.88,23.4,22.1,22.35,22.35,14479200
2002-08-06,23.5,24.63,23.25,23.65,23.65,14504500
2002-08-07,24.42,24.55,23.18,24.04,24.04,10715900
2002-08-08,25.3,26.4,24.82,26.38,26.38,16995400
2002-08-09,25.6,26.8,25.27,26.35,26.35,12011102
2002-08-12,25.8,25.81,25.01,25.46,25.46,9748200
2002-08-13,24.95,25.78,24.3,24.4,24.4,11024300
2002-08-14,24.4,25.14,23.37,25.14,25.14,15345801
2002-08-15,25.12,25.58,24.11,24.79,24.79,13570400
2002-08-16,24.79,25.06,24.19,24.86,24.86,9678900
2002-08-19,24.98,27.35,24.84,27.21,27.21,13035800
