Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,78.5,78.85,77.02,78.5,78.5,2471600
2002-01-03,77.91,77.92,77.01,77.66,77.66,2505000
2002-01-04,77.8,78.14,77.26,77.7,77.7,2637400
2002-01-07,77.16,77.29,76.4,76.85,76.85,2623900
2002-01-08,76.5,77.3,75.35,75.65,75.65,4097700
2002-01-09,75.6,76.35,75.2,75.32,75.32,4292600
2002-01-10,75.57,77.15,75.45,76.8,76.8,3317900
2002-01-11,77.55,78,76.4,76.4,76.4,3160300
2002-01-14,76.4,77.74,75.76,77,77,2931500
2002-01-15,77.59,78.04,76.86,77.05,77.05,3549300
2002-01-16,77,77.59,76.06,76.06,76.06,2646900
2002-01-17,76.2,76.28,75.01,75.43,75.43,2304400
2002-01-18,75.05,75.75,74.26,74.59,74.59,3904500
2002-01-22,74.41,75.85,74.41,75.85,75.85,3622700
2002-01-23,75.99,76.69,75.45,75.77,75.77,2752800
2002-01-24,75,75.01,73.1,74.1,74.1,5630500
2002-01-25,74.2,75.59,74,75.11,75.11,3654100
2002-01-28,75.05,75.15,74.02,74.29,74.29,2568700
2002-01-29,74.45,74.85,72.91,73.4,73.4,2812400
2002-01-30,73.1,74.4,73,74.04,74.04,3451100
2002-01-31,74.1,75.1,73.2,75.1,75.1,3081300
2002-02-01,74.85,75.2,74.28,74.79,74.79,1941700
2002-02-04,74.79,75.23,72.89,73.3,73.3,1887200
2002-02-05,73.05,74.55,73.05,73.94,73.94,2251800
2002-02-06,73.78,74.75,73.25,73.36,73.36,2386800
2002-02-07,73.8,73.89,72.25,72.86,72.86,2471000
2002-02-08,72.41,73.71,72.15,73.67,73.67,2211800
2002-02-11,72.96,75.47,72.9,74.86,74.86,2185100
2002-02-12,74.87,76.22,74.67,75.75,75.75,2318200
2002-02-13,76.09,76.36,75.25,76.12,76.12,1908700
2002-02-14,76.12,77.29,75.65,76.42,76.42,2838700
2002-02-15,76.87,77.05,76,76.39,76.39,1925500
2002-02-19,76.39,76.39,75.44,75.68,75.68,1636300
2002-02-20,75.69,76.99,75.27,76.83,76.83,2887700
2002-02-21,76.83,77.49,76.6,76.6,76.6,3269300
2002-02-22,76.15,77.44,76.15,77.08,77.08,2616200
2002-02-25,77.08,77.99,76.39,76.65,76.65,2775400
2002-02-26,75.83,76.56,75.25,75.92,75.92,3213300
2002-02-27,76.5,77.71,76.2,77.44,77.44,2543100
2002-02-28,77.44,77.9,75.73,75.73,75.73,2669500
2002-03-01,75.65,77.65,74.55,77.5,77.5,2902700
2002-03-04,77,78.5,76.25,78.5,78.5,4752900
2002-03-05,78.3,78.3,76.85,77.25,77.25,2719200
2002-03-06,76.76,78.51,76.76,78.2,78.2,2358900
2002-03-07,78.38,78.6,77.8,78.48,78.48,2529500
2002-03-08,78.9,78.95,77.6,78.2,78.2,2398800
2002-03-11,78.2,78.99,78.05,78.88,78.88,1835700
2002-03-12,78,79.39,78,79.39,79.39,2207100
2002-03-13,79.39,79.8,77.75,79.49,79.49,5374500
2002-03-14,79.25,79.7,78.79,79.25,79.25,2000200
2002-03-15,79.99,79.99,79.05,79.85,79.85,3452900
2002-03-18,79.8,80.92,79.25,80.6,80.6,3011000
2002-03-19,80.6,81.09,80.27,80.69,80.69,2194900
2002-03-20,80.69,80.69,79,79.23,79.23,4518700
2002-03-21,79.7,79.7,78.65,79.1,79.1,2278600
2002-03-22,78.6,79.1,78.52,78.74,78.74,1702300
2002-03-25,78.53,78.75,77.36,77.36,77.36,2127900
2002-03-26,77,77.5,76.56,77,77,2823500
2002-03-27,76.25,76.49,75.3,75.78,75.78,3832900
2002-03-28,75.41,76.4,75.34,76.2,76.2,3554600
2002-04-01,76.2,78,75.96,77.72,77.72,2639800
2002-04-02,77.6,78.9,77.2,78.74,78.74,3265100
2002-04-03,78.74,78.76,76.5,77.64,77.64,3115800
2002-04-04,76,76.6,75.35,76.2,76.2,3972400
2002-04-05,76.89,76.89,74.8,75.35,75.35,4300301
2002-04-08,75.35,75.9,73.8,74.5,74.5,4091800
2002-04-09,74.8,75.1,74.4,74.57,74.57,2831700
2002-04-10,74.58,75.37,74.1,75.05,75.05,2926200
2002-04-11,75.1,75.56,74.1,74.41,74.41,3317600
2002-04-12,74.45,74.47,73,73.42,73.42,4245000
2002-04-15,75,76.98,74.23,75.2,75.2,4965500
2002-04-16,74.35,75,73.5,74.11,74.11,5494500
2002-04-17,73.8,74.2,72.32,73.29,73.29,3512200
2002-04-18,73.85,74.31,72.1,74.16,74.16,3518600
2002-04-19,74.16,74.16,73.52,73.84,73.84,3005500
2002-04-22,74,74,72.65,73.41,73.41,2856100
2002-04-23,73.5,73.55,71.48,71.9,71.9,2865100
