Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,23.01,23.06,22.25,22.69,22.69,9480398
2002-01-03,22.65,22.75,21.77,22.13,22.13,12420000
2002-01-04,22.35,22.7,22.26,22.5,22.5,9932800
2002-01-07,22.75,22.81,22.17,22.23,22.23,7434400
2002-01-08,22.28,22.59,22.03,22.11,22.11,6451600
2002-01-09,22.24,22.25,21.57,21.57,21.57,9195800
2002-01-10,21.78,21.87,21.46,21.59,21.59,6679000
2002-01-11,21.6,21.72,20.8,21.02,21.02,13822000
2002-01-14,21.25,21.53,21.07,21.38,21.38,9383204
2002-01-15,21.5,21.52,20.67,21,21,14700204
2002-01-16,20.99,20.99,20.52,20.53,20.53,10071400
2002-01-17,20.57,21,20.07,20.85,20.85,16542800
2002-01-18,20.55,21.8,20.55,21.7,21.7,16112000
2002-01-22,21.71,22.23,21.63,21.95,21.95,9610400
2002-01-23,21.9,22.5,21.75,22.35,22.35,9332000
2002-01-24,22.45,22.69,21.91,22.31,22.31,12547400
2002-01-25,22.13,22.47,21.9,22.35,22.35,11677800
2002-01-28,22.48,22.95,22.25,22.89,22.89,7773000
2002-01-29,22.89,23.18,21.82,21.88,21.88,8792602
2002-01-30,21.95,22.43,21.65,22.39,22.39,9318602
2002-01-31,22.45,23.13,22.41,23.04,23.04,6730400
2002-02-01,23.07,23.15,22.78,22.85,22.85,8305400
2002-02-04,23.25,23.57,23.03,23.18,23.18,11751000
2002-02-05,23.22,23.46,22.95,23,23,9053800
2002-02-06,23.1,23.1,22.53,22.58,22.58,6245200
2002-02-07,22.58,22.8,21.75,21.79,21.79,9660800
2002-02-08,21.75,22.63,21.63,22.6,22.6,8540204
2002-02-11,22.53,23.04,22.5,22.82,22.82,6432800
2002-02-12,22.69,22.88,22.57,22.77,22.77,3332800
2002-02-13,22.75,23.3,22.75,23.08,23.08,7898200
2002-02-14,23.35,23.48,22.91,23.06,23.06,5059600
2002-02-15,23.19,23.2,22.66,22.8,22.8,6666000
2002-02-19,22.54,23.2,22.43,22.48,22.48,5885800
2002-02-20,22.45,23,22.37,22.93,22.93,6601000
2002-02-21,22.93,23.49,22.74,22.75,22.75,6419600
2002-02-22,22.63,23.03,22.21,23.03,23.03,8512204
2002-02-25,23.5,23.89,23.32,23.75,23.75,14238204
2002-02-26,23.75,23.85,22.96,23.24,23.24,12958000
2002-02-27,23.73,23.75,22.5,22.61,22.61,11374800
2002-02-28,22.57,22.85,21.73,22.63,22.63,15018800
2002-03-01,22.5,22.63,21.6,22,22,11386800
2002-03-04,21.4,21.65,20.85,21.65,21.65,23106000
2002-03-05,21.25,21.35,20.68,20.82,20.82,15313602
2002-03-06,20.95,21.5,20.93,21.5,21.5,8448204
2002-03-07,21.75,21.92,21.03,21.53,21.53,10757000
2002-03-08,21.9,22.02,21.24,21.38,21.38,9100204
2002-03-11,21.13,21.32,20.8,21.13,21.13,9337400
2002-03-12,21.03,21.98,20.96,21.81,21.81,7568000
2002-03-13,21.75,22.03,21.44,21.99,21.99,7477400
2002-03-14,21.95,22.39,21.81,21.89,21.89,6770400
2002-03-15,22.11,22.42,21.73,22.42,22.42,8982000
2002-03-18,22.55,22.56,21.79,21.92,21.92,7147200
2002-03-19,21.95,22.47,21.95,22.2,22.2,7017200
2002-03-20,21.9,22.61,21.85,22.45,22.45,7771400
2002-03-21,22.35,22.63,22.21,22.42,22.42,8509796
2002-03-22,22.35,22.8,22.19,22.52,22.52,6439600
2002-03-25,22.73,22.73,21.96,21.98,21.98,6418400
2002-03-26,21.86,22.13,21.68,21.98,21.98,7983600
2002-03-27,22.04,22.07,21.75,21.85,21.85,8519800
2002-03-28,22,22,21.41,21.75,21.75,8737400
2002-04-01,21.5,21.74,21.34,21.62,21.62,8608800
2002-04-02,21.62,21.73,21.46,21.48,21.48,8368400
2002-04-03,21.45,21.68,20.95,21.03,21.03,8290204
2002-04-04,21.23,21.55,21.2,21.37,21.37,5625400
2002-04-05,21.7,21.98,21.65,21.75,21.75,6824400
2002-04-08,21.75,22.15,21.65,22.1,22.1,3834400
2002-04-09,22.1,22.45,22,22.42,22.42,5028200
2002-04-10,22.44,22.63,22.27,22.61,22.61,6709000
2002-04-11,22.61,22.85,22.03,22.07,22.07,5818400
2002-04-12,22.13,22.6,22.03,22.39,22.39,4754000
2002-04-15,22.39,22.39,21.92,22.07,22.07,3474000
2002-04-16,22.13,22.59,21.93,22.59,22.59,5264000
2002-04-17,22.49,22.49,22.02,22.1,22.1,4662800
2002-04-18,22.32,22.39,22.03,22.28,22.28,6104600
2002-04-19,22.3,22.48,22.25,22.25,22.25,3526800
2002-04-22,22.4,22.59,22.03,22.17,22.17,4852200
2002-04-23,22.3,22.45,22.05,22.13,22.13,3798600
2002-04-24,22.3,22.43,21.55,21.68,21.68,5923800
2002-04-25,21.35,21.82,21.31,21.7,21.7,7288800
2002-04-26,21.82,21.93,21.4,21.44,21.44,4728200
2002-04-29,21.5,21.53,21.25,21.28,21.28,4452600
2002-04-30,21.25,21.53,21,21.14,21.14,8824800
2002-05-01,21.2,21.45,20.88,21.34,21.34,6888400
2002-05-02,21.45,21.84,21.38,21.75,21.75,6180800
2002-05-03,21.75,21.96,21.53,21.81,21.81,6116600
2002-05-06,21.7,21.74,20.95,20.95,20.95,5050600
2002-05-07,20.95,21.23,20.73,20.87,20.87,8044400
2002-05-08,21.13,21.34,20.82,21.05,21.05,6382400
2002-05-09,21.07,21.63,21.04,21.4,21.4,10143000
2002-05-10,21.43,21.43,20.79,20.9,20.9,4307000
2002-05-13,20.88,21,20.64,20.83,20.83,4970200
2002-05-14,21.13,21.94,21.13,21.88,21.88,7321400
2002-05-15,21.68,22.13,21.68,22,22,5882800
2002-05-16,21.87,22.11,21.78,21.83,21.83,4058400
2002-05-17,21.96,22.4,21.84,22.38,22.38,6137400
2002-05-20,23.17,23.59,23.15,23.4,23.4,19831000
2002-05-21,23.45,23.57,23.05,23.07,23.07,17056602
2002-05-22,22.88,23.52,22.88,23.49,23.49,12719602
2002-05-23,23.63,24,23.49,24,24,10017204
2002-05-24,24.45,25,23.97,24.05,24.05,12197800
2002-05-28,24.1,24.18,23.2,24,24,14174204
2002-05-29,23.8,24.31,23.79,24.02,24.02,12505400
2002-05-30,23.88,24.04,23.75,23.95,23.95,11049204
2002-05-31,23.78,24.15,22.88,23.58,23.58,24944000
2002-06-03,23.5,23.57,22.62,22.63,22.63,9557000
2002-06-04,22.68,23.1,22.5,23,23,11626600
2002-06-05,23.15,23.88,23.13,23.71,23.71,11320204
2002-06-06,23.88,23.88,23,23.18,23.18,7970800
2002-06-07,23.15,23.36,22.77,23.18,23.18,8403602
2002-06-10,23.43,23.81,23.36,23.5,23.5,5935400
2002-06-11,23.8,24.27,23.57,23.57,23.57,9195602
2002-06-12,23.4,23.91,23.3,23.75,23.75,9320800
2002-06-13,23.65,23.82,23.29,23.41,23.41,6921400
2002-06-14,23.41,23.45,22.75,23.42,23.42,9292400
2002-06-17,23.43,24,23.3,23.89,23.89,9704602
2002-06-18,23.85,23.88,22.53,22.6,22.6,17214400
2002-06-19,22.6,23.24,22.53,22.69,22.69,10527000
2002-06-20,22.95,23.13,22.21,22.3,22.3,8182400
2002-06-21,22.13,22.6,22.1,22.2,22.2,7596600
2002-06-24,22,22.75,21.88,22.3,22.3,10775400
2002-06-25,22.63,23,22.03,22.2,22.2,7411000
2002-06-26,21.8,22.35,21.68,22.21,22.21,10810000
2002-06-27,22.4,22.87,21.75,22.85,22.85,9881800
2002-06-28,22.65,23.03,22.28,22.7,22.7,9180800
2002-07-01,22.7,22.98,22.1,22.18,22.18,6319000
2002-07-02,22.18,22.3,21.57,21.9,21.9,9887204
2002-07-03,21.85,22.06,20.9,22.03,22.03,11367602
2002-07-05,22.25,22.9,22.25,22.85,22.85,3432400
2002-07-08,22.95,23.21,22.53,23.13,23.13,6562600
2002-07-09,23.09,23.18,22.15,22.32,22.32,8144400
2002-07-10,22.32,22.57,21.48,21.55,21.55,10399000
2002-07-11,21.26,21.88,20.29,21.6,21.6,14828800
2002-07-12,20.5,20.86,19.67,20.09,20.09,28962000
2002-07-15,19.95,20.5,19.02,20.5,20.5,16852204
2002-07-16,20.05,20.25,18.65,18.8,18.8,23030600
2002-07-17,19.25,19.65,18.26,19.1,19.1,15930602
2002-07-18,19,19.75,18.81,18.93,18.93,11299800
2002-07-19,18.38,18.7,17.93,18.02,18.02,10426000
2002-07-22,17.63,18.18,16.85,17.46,17.46,15631000
2002-07-23,17.46,18.13,17,17.11,17.11,13539800
2002-07-24,16.52,18.75,16.35,18.75,18.75,16798800
2002-07-25,18.49,18.49,17.2,17.54,17.54,15170602
2002-07-26,17.6,18.32,17.25,17.8,17.8,11605204
2002-07-29,17.98,18.88,17.98,18.82,18.82,10378000
2002-07-30,18.7,19.28,18.3,19.05,19.05,10835000
2002-07-31,19.05,19.07,18.3,18.93,18.93,10536400
2002-08-01,18.63,18.8,17.5,17.71,17.71,8837204
2002-08-02,17.45,17.52,16.25,16.75,16.75,14980204
2002-08-05,16.78,17.35,16.74,16.82,16.82,9180400
2002-08-06,17.1,18.25,17.05,17.82,17.82,10570000
2002-08-07,18.1,18.28,17.7,18.24,18.24,11178602
2002-08-08,18.2,18.2,16.8,17.61,17.61,18836400
2002-08-09,17.36,17.7,17.17,17.42,17.42,11178204
2002-08-12,16.95,17.4,16.84,17.32,17.32,9592400
2002-08-13,17.15,18.2,17.1,17.24,17.24,8287400
2002-08-14,17.45,18.4,17.3,18.38,18.38,10946000
2002-08-15,18.45,19.06,18.44,18.97,18.97,8891602
2002-08-16,18.85,18.85,18.3,18.39,18.39,8163800
2002-08-19,19.75,20.55,19.31,20.5,20.5,23697200
2002-08-20,20.5,21.07,20.4,21,21,16457000
2002-08-21,21.25,21.56,21.05,21.42,21.42,14705000
2002-08-22,21.5,22.1,21.31,22,22,10856602
2002-08-23,21.95,21.98,21.3,21.41,21.41,9733800
2002-08-26,21.5,21.68,21.04,21.64,21.64,9885204
2002-08-27,21.68,21.84,20.88,20.99,20.99,8176600
2002-08-28,20.63,20.86,20.3,20.53,20.53,7623000
2002-08-29,20.35,20.77,20.2,20.53,20.53,7663600
2002-08-30,20.45,21.07,20.42,20.69,20.69,5861800
2002-09-03,20.57,20.75,20.13,20.52,20.52,9423204
2002-09-04,20.5,21.25,20.38,21.14,21.14,13063602
2002-09-05,20.63,21.5,20.6,21.14,21.14,9703204
2002-09-06,21.63,22.13,21.61,22.02,22.02,13790204
2002-09-09,22,22.1,21.5,22.05,22.05,11203602
2002-09-10,22.17,22.31,21.8,22.26,22.26,8767204
2002-09-11,22.16,22.9,22.13,22.6,22.6,8127400
2002-09-12,22.49,22.49,21.79,21.85,21.85,7728200
2002-09-13,21.7,22.49,21.67,22.49,22.49,6355200
2002-09-16,22.49,22.85,22.35,22.74,22.74,7557600
2002-09-17,22.97,23,22.03,22.03,22.03,8613400
2002-09-18,21.91,22.53,21.57,22.41,22.41,12062204
2002-09-19,22.1,22.22,21.57,21.65,21.65,7073000
2002-09-20,21.65,21.82,21.14,21.2,21.2,9860000
2002-09-23,21.13,21.13,20.23,20.65,20.65,11778000
2002-09-24,20.66,20.74,19.8,20.31,20.31,10331000
2002-09-25,20.63,21,20.18,20.82,20.82,13522602
2002-09-26,20.94,21.86,20.82,21.82,21.82,12331602
2002-09-27,21.75,21.98,21.2,21.24,21.24,11953800
2002-09-30,21.07,21.07,20.34,20.7,20.7,14580204
2002-10-01,20.7,21.15,19.89,21.1,21.1,17045602
2002-10-02,21.07,21.16,20.32,20.59,20.59,10999400
2002-10-03,20.13,20.43,19.75,19.95,19.95,12836800
2002-10-04,20.25,20.35,19.05,19.93,19.93,17290400
2002-10-07,19.8,19.98,18.67,18.74,18.74,16911602
