Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,11.2,11.44,11.09,11.39,11.39,25889489
2002-01-03,11.39,11.46,11.32,11.38,11.38,18078477
2002-01-04,11.33,11.43,11.24,11.26,11.26,22275437
2002-01-07,11.26,11.41,11.25,11.38,11.38,27584572
2002-01-08,11.41,11.63,11.38,11.55,11.55,24582879
2002-01-09,11.63,11.72,11.46,11.47,11.47,17507030
2002-01-10,11.54,11.58,11.48,11.53,11.53,20794862
2002-01-11,11.59,11.81,11.59,11.64,11.64,31085239
2002-01-14,11.64,11.87,11.64,11.79,11.79,18411273
2002-01-15,11.91,12.01,11.85,11.97,11.97,32510973
2002-01-16,11.95,11.95,11.71,11.79,11.79,33096328
2002-01-17,11.84,11.97,11.75,11.97,11.97,17928253
2002-01-18,11.88,11.98,11.87,11.92,11.92,18575009
2002-01-22,11.99,12.04,11.85,11.88,11.88,17084597
2002-01-23,11.96,12.15,11.94,12.14,12.14,27080667
2002-01-24,12.19,12.2,12.03,12.06,12.06,21936085
2002-01-25,12.13,12.15,12.06,12.12,12.12,17371947
2002-01-28,12.09,12.19,12.06,12.19,12.19,17127994
2002-01-29,12.17,12.21,12.14,12.16,12.16,24259501
2002-01-30,12.17,12.27,12.09,12.11,12.11,30492113
2002-01-31,12.16,12.24,12.08,12.24,12.24,21278279
2002-02-01,12.26,12.28,12.1,12.15,12.15,19278655
2002-02-04,12.18,12.19,12.03,12.05,12.05,18434185
2002-02-05,11.99,12.18,11.98,12.07,12.07,17617155
2002-02-06,12.07,12.28,12,12.2,12.2,19895945
2002-02-07,12.25,12.26,12.11,12.11,12.11,20015070
2002-02-08,12.01,12.26,12.01,12.23,12.23,15369058
2002-02-11,12.19,12.28,12.19,12.27,12.27,14080459
2002-02-12,12.23,12.33,12.22,12.25,12.25,13619543
2002-02-13,12.28,12.41,12.26,12.37,12.37,16140255
2002-02-14,12.41,12.46,12.35,12.46,12.46,16182825
2002-02-15,12.46,12.58,12.41,12.57,12.57,29064335
2002-02-19,12.48,12.63,12.46,12.58,12.58,18868502
2002-02-20,12.57,12.76,12.55,12.7,12.7,23515319
2002-02-21,12.73,12.82,12.68,12.68,12.68,29661551
2002-02-22,12.62,12.87,12.61,12.85,12.85,22838279
2002-02-25,12.85,13.18,12.83,13.14,13.14,32096309
2002-02-26,13.08,13.17,13,13.15,13.15,31645220
2002-02-27,13.13,13.13,12.58,12.77,12.77,29132273
2002-02-28,12.73,12.92,12.71,12.86,12.86,21158339
2002-03-01,12.83,13.14,12.7,13.14,13.14,26627113
2002-03-04,13.14,13.17,12.9,12.98,12.98,27380300
2002-03-05,12.92,13.01,12.89,12.95,12.95,25754010
2002-03-06,12.86,13.05,12.86,13.03,13.03,17163604
2002-03-07,12.97,13.21,12.93,13.18,13.18,25992241
2002-03-08,13.22,13.31,12.94,13.01,13.01,24864093
2002-03-11,12.87,12.92,12.6,12.85,12.85,40968323
2002-03-12,12.87,12.91,12.72,12.9,12.9,37747237
2002-03-13,12.85,12.88,12.72,12.79,12.79,17362946
2002-03-14,12.84,12.84,12.68,12.68,12.68,15407946
2002-03-15,12.72,12.81,12.71,12.77,12.77,36608042
2002-03-18,12.74,12.8,12.59,12.62,12.62,17371947
2002-03-19,12.53,12.76,12.52,12.68,12.68,18184904
2002-03-20,12.63,12.73,12.56,12.71,12.71,17265520
2002-03-21,12.71,13.07,12.71,13.02,13.02,35224894
2002-03-22,12.97,13.16,12.96,13.07,13.07,20110431
2002-03-25,12.85,12.92,12.68,12.69,12.69,29809728
2002-03-26,12.79,13.04,12.77,13,13,29081522
2002-03-27,12.96,13.1,12.95,13.09,13.09,20742860
2002-03-28,13.04,13.13,12.86,12.87,12.87,17676510
2002-04-01,12.92,13.06,12.88,13,13,17388323
2002-04-02,12.95,12.98,12.89,12.96,12.96,15081701
2002-04-03,13.06,13.11,12.99,13.02,13.02,28951765
2002-04-04,13,13.11,12.98,12.99,12.99,29610386
