Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,56.4,57.07,55.4,56.98,56.98,7545790
2002-01-03,56.98,56.98,55.69,56.29,56.29,8380902
2002-01-04,55.83,56.15,55.26,56.15,56.15,6849217
2002-01-07,55.72,55.92,55.33,55.4,55.4,5813481
2002-01-08,55.4,56,55.36,56,56,7461786
2002-01-09,56,56.88,55.88,56.09,56.09,6872394
2002-01-10,55.7,56.25,55.56,56.23,56.23,5465719
2002-01-11,56.83,57.07,55.81,56.24,56.24,5971421
2002-01-14,56.35,57.09,56.11,56.11,56.11,5307883
2002-01-15,56.73,57.07,55.35,55.92,55.92,8563068
2002-01-16,56.11,56.52,55.48,55.5,55.5,4212369
2002-01-17,55.47,56.16,55.38,55.88,55.88,4397053
2002-01-18,55.88,56.16,54.85,55.3,55.3,5844838
2002-01-22,55.72,56.73,55.72,56.53,56.53,5516373
2002-01-23,56.71,57.1,55.54,55.54,55.54,7481188
2002-01-24,55.31,55.48,54.65,54.94,54.94,7390367
2002-01-25,54.52,54.64,54.16,54.31,54.31,6830864
2002-01-28,54.63,54.64,54.07,54.35,54.35,5202380
2002-01-29,55.54,56.11,54.44,54.85,54.85,12126478
2002-01-30,55.29,56.73,55.04,56.11,56.11,10335859
2002-01-31,55.83,56.52,55.55,56.43,56.43,6838100
2002-02-01,56.28,56.83,56.19,56.67,56.67,4909886
2002-02-04,56.67,56.68,55.42,55.72,55.72,4374819
2002-02-05,55.3,56.85,55.23,56.64,56.64,4719750
2002-02-06,56.26,56.54,55.69,55.9,55.9,4241210
2002-02-07,55.8,56.34,55.36,55.62,55.62,4638682
2002-02-08,55.36,57.2,55.02,56.4,56.4,5246427
2002-02-11,56.41,56.81,55.92,56.69,56.69,4283369
2002-02-12,56.56,57.74,56.46,57.42,57.42,6072100
2002-02-13,57.5,57.87,56.97,57.76,57.76,5765344
2002-02-14,57.25,57.35,56.4,56.92,56.92,6605490
2002-02-15,56.92,57.17,56.52,57.03,57.03,7391520
2002-02-19,56.38,56.97,56.16,56.5,56.5,4254948
2002-02-20,56.51,58.62,56.32,58.41,58.41,7623187
2002-02-21,58.41,59.21,58.15,58.17,58.17,7521984
2002-02-22,57.78,59.05,57.72,58.64,58.64,6155895
2002-02-25,58.3,58.55,57.58,58.01,58.01,6218609
2002-02-26,58,58.63,57.46,57.83,57.83,5397341
2002-02-27,58.28,59.58,57.55,58.05,58.05,7418368
2002-02-28,57.83,58.87,57.83,58.48,58.48,4864057
2002-03-01,58.51,60.05,58.46,60.05,60.05,5149524
2002-03-04,59.82,60.33,59.31,60.08,60.08,5965339
2002-03-05,59.83,60.04,58.94,58.94,58.94,5892556
2002-03-06,59.02,60.08,58.98,59.76,59.76,5105581
2002-03-07,59.76,60.43,58.82,60.23,60.23,4877690
2002-03-08,60.23,60.54,59.31,59.6,59.6,4679688
2002-03-11,59.72,60.14,59.16,59.82,59.82,3880967
2002-03-12,59.61,60.6,59.13,60.54,60.54,4153955
2002-03-13,60.31,61.5,60.22,61.38,61.38,7339503
2002-03-14,60.88,61.31,60.39,60.49,60.49,4042893
2002-03-15,57.3,58.17,56.77,56.97,56.97,28257151
2002-03-18,56.51,56.93,55.79,56.06,56.06,13611074
2002-03-19,56.52,56.52,55.54,55.7,55.7,9065310
2002-03-20,55.7,56.21,55.04,55.38,55.38,10071366
2002-03-21,55.39,55.48,54.64,55.35,55.35,6922734
2002-03-22,55.02,56.14,55.02,55.5,55.5,5633622
2002-03-25,55.19,55.85,54.84,54.84,54.84,7063055
2002-03-26,54.92,55.3,54.49,54.73,54.73,5978763
2002-03-27,54.68,54.83,54.33,54.74,54.74,5770063
2002-03-28,54.74,55.02,54.59,54.9,54.9,6618075
2002-04-01,54.95,55.11,54.6,54.92,54.92,7902362
2002-04-02,54.92,55.07,54.16,54.77,54.77,7421200
2002-04-03,54.99,55.06,54.3,54.63,54.63,7157546
2002-04-04,53.54,53.64,52.68,53.21,53.21,14361867
2002-04-05,53.48,53.51,52.45,52.68,52.68,7936236
2002-04-08,52.52,52.92,51.49,51.64,51.64,9812223
2002-04-09,51.54,52.35,51.06,51.1,51.1,11649406
2002-04-10,51.25,51.29,50.44,50.67,50.67,11399910
2002-04-11,50.54,51.01,48.63,49.73,49.73,14598778
2002-04-12,50.15,51.68,49.58,51.49,51.49,11292100
2002-04-15,51.97,52.42,51.57,52,52,7275215
2002-04-16,52.4,52.7,52.01,52.46,52.46,7646259
2002-04-17,52.83,52.84,52.35,52.49,52.49,7923966
2002-04-18,53.4,54.11,53.21,53.94,53.94,10316352
2002-04-19,54.48,54.48,54.17,54.29,54.29,8312209
2002-04-22,54.3,54.34,53.64,53.89,53.89,5785899
2002-04-23,53.97,54.3,52.69,52.91,52.91,7537190
2002-04-24,52.73,53.1,52.06,52.29,52.29,6781573
2002-04-25,52.29,53.11,52.05,52.34,52.34,7439972
2002-04-26,52.54,52.54,51.27,51.94,51.94,4983823
2002-04-29,51.94,52.56,51.68,52.13,52.13,6812301
2002-04-30,51.97,52.15,51.25,51.81,51.81,7766655
2002-05-01,51.54,52.92,51.5,52.73,52.73,6718334
2002-05-02,52.73,53.21,52.16,52.99,52.99,7495241
2002-05-03,53.25,53.29,52.44,52.92,52.92,5127081
2002-05-06,53.02,53.68,52.93,53.27,53.27,6426575
2002-05-07,53.32,53.46,52.46,52.97,52.97,6960803
2002-05-08,52.68,54.32,52.25,54,54,5610655
2002-05-09,53.3,53.76,53.17,53.17,53.17,4823995
2002-05-10,53.19,54.32,52.81,53.03,53.03,6032143
2002-05-13,53.39,54.15,53.28,54.01,54.01,4388243
2002-05-14,54.33,55.1,54.24,54.83,54.83,5767773
2002-05-15,54.44,54.77,53.78,54.26,54.26,5625442
2002-05-16,54.26,54.27,53.4,53.97,53.97,6020083
2002-05-17,53.97,55.54,53.92,55.43,55.43,6414199
2002-05-20,55.33,56.11,54.93,55.5,55.5,5171337
2002-05-21,55.5,55.82,54.85,55.11,55.11,5213916
2002-05-22,55.02,55.54,54.37,54.85,54.85,4428515
2002-05-23,54.62,54.88,53.87,54.83,54.83,5864084
2002-05-24,54.78,55.21,53.65,53.86,53.86,4128575
2002-05-28,53.87,53.99,53.35,53.44,53.44,4644870
2002-05-29,53.44,54.54,53.35,54.47,54.47,6310374
2002-05-30,53.78,54.47,53.49,53.77,53.77,4540940
2002-05-31,54.21,54.68,53.9,54.45,54.45,7088225
2002-06-03,54.4,54.53,52.49,52.65,52.65,5314490
2002-06-04,52.65,52.67,51.72,52.11,52.11,6166697
2002-06-05,52.4,52.43,51.55,52.4,52.4,4807110
2002-06-06,51.73,51.74,49.96,50.73,50.73,8877376
2002-06-07,49.82,50.68,49.59,50.23,50.23,10023963
2002-06-10,50.22,52.35,49.83,51.78,51.78,5942057
2002-06-11,50.92,51.49,49.22,49.47,49.47,9974882
2002-06-12,48.42,49.68,48.42,49.57,49.57,8206916
2002-06-13,49.39,50.63,48.79,49.61,49.61,7317165
2002-06-14,49.58,50.24,48.58,50.07,50.07,6922734
2002-06-17,50.07,51.37,49.69,50.89,50.89,5629952
2002-06-18,50.79,51.1,50.43,50.5,50.5,4315565
2002-06-19,50.08,51.01,49.88,50.1,50.1,5444325
2002-06-20,49.63,50.13,49.58,49.77,49.77,4864161
2002-06-21,47.91,48.82,47.44,47.66,47.66,16029784
2002-06-24,46.77,47.68,45.39,47.2,47.2,14106394
2002-06-25,46.5,47.82,46.41,46.77,46.77,8991374
2002-06-26,45.77,48.39,45.39,47.99,47.99,9417267
