Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,37.78,37.92,37.25,37.82,37.82,15270247
2002-01-03,37.65,37.73,37.11,37.63,37.63,13490928
2002-01-04,37.54,37.8,37.06,37.35,37.35,12771480
2002-01-07,37.4,37.63,37.16,37.63,37.63,12639406
2002-01-08,37.9,37.9,37.22,37.53,37.53,10855343
2002-01-09,37.78,38.43,37.64,37.97,37.97,13093862
2002-01-10,38.06,38.92,37.92,38.88,38.88,13382698
2002-01-11,39.1,39.14,38.15,38.49,38.49,9618778
2002-01-14,38.53,38.88,38.3,38.41,38.41,10974758
2002-01-15,38.77,38.87,37.81,38.31,38.31,13546209
2002-01-16,38.58,38.76,38.02,38.14,38.14,12184632
2002-01-17,38.66,38.66,37.89,38.04,38.04,11204093
2002-01-18,38.01,38.52,37.92,38.01,38.01,12897121
2002-01-22,38.3,38.82,38.13,38.68,38.68,12485281
2002-01-23,38.87,39.76,38.73,39.62,39.62,19108440
2002-01-24,39.79,39.8,39.18,39.34,39.34,13550531
2002-01-25,39.74,39.76,39.39,39.53,39.53,13289758
2002-01-28,39.43,39.7,39.12,39.41,39.41,8668196
2002-01-29,39.43,40.25,38.68,38.85,38.85,14759248
2002-01-30,39.1,39.58,38.58,39.1,39.1,13742842
2002-01-31,38.96,39.5,38.77,39.5,39.5,12012789
2002-02-01,39.72,39.96,39.53,39.96,39.96,9484170
2002-02-04,39.67,39.81,38.68,39.01,39.01,10891630
2002-02-05,39.01,40.05,39.01,39.8,39.8,11159894
2002-02-06,39.43,39.62,38.91,39.14,39.14,10912098
2002-02-07,39.1,39.23,37.73,37.97,37.97,15852980
2002-02-08,37.54,38.68,37.47,38.58,38.58,13180575
2002-02-11,38.49,38.96,38.35,38.78,38.78,8104455
2002-02-12,38.63,39.19,38.28,39.04,39.04,9458432
2002-02-13,39.15,39.21,38.68,38.95,38.95,9755491
2002-02-14,38.95,39.43,38.49,38.68,38.68,11899596
2002-02-15,38.93,39.42,38.91,38.97,38.97,11204938
2002-02-19,38.98,39.06,38.29,38.37,38.37,8587496
2002-02-20,38.58,38.96,37.92,38.82,38.82,10859562
2002-02-21,39.06,39.31,38.49,38.49,38.49,10785266
2002-02-22,38.25,39.07,38.18,38.97,38.97,9683548
2002-02-25,38.79,39.31,38.39,38.7,38.7,9689457
2002-02-26,38.63,39.28,38.58,38.88,38.88,9969536
2002-02-27,39.15,39.61,38.87,39.1,39.1,10984144
2002-02-28,38.91,39.48,38.82,38.83,38.83,9565290
2002-03-01,39.03,39.54,38.87,39.47,39.47,10873906
2002-03-04,39.48,39.72,39.21,39.71,39.71,10955769
2002-03-05,39.22,39.58,38.34,38.49,38.49,18236966
2002-03-06,38.33,38.96,37.59,38.43,38.43,27080185
2002-03-07,38.44,38.56,37.68,37.9,37.9,18002455
2002-03-08,37.92,38.34,37.77,37.93,37.93,12733293
2002-03-11,38.11,38.18,37.67,37.97,37.97,12000765
2002-03-12,37.79,38.01,37.52,37.78,37.78,11923229
2002-03-13,37.99,38.3,37.82,37.97,37.97,11498413
2002-03-14,37.63,38.25,37.63,37.87,37.87,10926759
2002-03-15,38.31,39.28,38.3,39.22,39.22,25664378
2002-03-18,39.06,39.09,38.41,38.54,38.54,10821376
2002-03-19,38.77,38.86,38.28,38.61,38.61,7232674
2002-03-20,38.61,38.61,37.92,37.99,37.99,10410488
2002-03-21,38.01,38.2,37.44,38.06,38.06,13934308
2002-03-22,38.3,38.53,38.09,38.4,38.4,11631019
2002-03-25,38.58,38.68,37.99,38.11,38.11,10968638
2002-03-26,38.01,38.34,37.68,37.86,37.86,9518244
2002-03-27,37.82,38.09,37.5,37.84,37.84,10303835
2002-03-28,37.82,37.95,37.6,37.67,37.67,9787876
2002-04-01,37.59,38.15,37.55,38.02,38.02,8196862
2002-04-02,38.02,38.2,37.69,37.83,37.83,9372559
2002-04-03,37.96,38.1,37.61,37.92,37.92,11715197
2002-04-04,37.46,37.59,36.88,36.97,36.97,19837273
2002-04-05,37.06,37.2,35.69,36.02,36.02,27480410
2002-04-08,35.6,36.59,35.6,36.47,36.47,17183851
2002-04-09,36.56,36.89,36.28,36.69,36.69,13393667
2002-04-10,36.5,37.42,36.5,37.29,37.29,13707610
2002-04-11,37.12,37.57,36.73,36.88,36.88,14395954
2002-04-12,36.79,37.39,36.79,37.24,37.24,12572419
2002-04-15,36.92,37.11,36.59,36.97,36.97,9972701
2002-04-16,37.13,37.92,37,37.82,37.82,12601849
2002-04-17,37.06,37.25,35.49,35.88,35.88,43615371
2002-04-18,36.26,36.61,36.07,36.23,36.23,21152957
2002-04-19,36.07,36.26,35.69,35.83,35.83,14608923
2002-04-22,36.02,36.04,34.85,35.18,35.18,17463193
2002-04-23,35.13,35.24,34.6,34.79,34.79,16434763
2002-04-24,34.8,35.13,34.46,34.59,34.59,11408853
2002-04-25,36.4,36.4,35.5,35.61,35.61,22991657
2002-04-26,35.69,35.78,34.84,34.85,34.85,18530873
2002-04-29,35.02,35.02,34,34.38,34.38,12578539
2002-04-30,34.69,35.11,34.03,34.46,34.46,22800406
2002-05-01,34.79,35.68,34.63,35.51,35.51,16744799
2002-05-02,35.55,35.88,35.32,35.42,35.42,13023813
2002-05-03,35.36,35.41,34.36,34.84,34.84,11181730
2002-05-06,35.07,35.18,34.47,34.65,34.65,7563496
2002-05-07,34.98,35.16,33.81,33.89,33.89,14329162
2002-05-08,33.94,35.55,33.9,35.24,35.24,15329534
2002-05-09,34.93,35.19,34.46,34.6,34.6,9294813
2002-05-10,34.6,34.86,34.09,34.33,34.33,11584076
2002-05-13,34.42,35.23,34.15,35.05,35.05,10569145
2002-05-14,35.05,35.7,34.92,35.42,35.42,11751573
2002-05-15,35.03,35.06,34.36,34.59,34.59,13619100
2002-05-16,33.42,34.01,32.84,33.96,33.96,32396393
2002-05-17,33.56,35.34,33.51,35.16,35.16,18954946
2002-05-20,34.79,35.12,34.39,34.53,34.53,10469456
2002-05-21,34.77,35.04,34.03,34.03,34.03,12129357
2002-05-22,34.25,34.36,33.88,34.03,34.03,10193069
2002-05-23,34.2,34.33,33.85,34.32,34.32,11774062
2002-05-24,34.36,34.46,33.39,33.64,33.64,9611286
2002-05-28,33.64,33.84,32.91,32.98,32.98,13575111
2002-05-29,33.08,33.7,33.08,33.26,33.26,13877661
2002-05-30,33.01,33.18,32.52,32.87,32.87,13587453
2002-05-31,33.42,33.75,32.6,32.8,32.8,13286383
2002-06-03,33.02,33.24,31.56,31.69,31.69,14091070
2002-06-04,31.88,33.13,31.05,32.78,32.78,23631418
2002-06-05,32.71,33.45,32.12,33.24,33.24,19280382
2002-06-06,33.23,33.32,32.1,32.14,32.14,14739840
2002-06-07,32.37,33.06,31.86,32.7,32.7,12863047
2002-06-10,32.7,33.83,32.53,33.51,33.51,12221769
2002-06-11,33.46,33.47,32.23,32.34,32.34,18136336
2002-06-12,32.53,33.56,32.26,33.2,33.2,20649554
2002-06-13,32.89,34.06,32.84,33.5,33.5,15518148
2002-06-14,33.18,33.63,32.47,33.5,33.5,13514346
2002-06-17,33.46,34.23,33.35,34.17,34.17,14192341
2002-06-18,33.77,34.57,33.77,34.33,34.33,12054878
2002-06-19,34.08,34.61,33.67,33.89,33.89,10713775
2002-06-20,33.67,34.6,33.66,34.2,34.2,13320770
2002-06-21,32.75,33.84,32.2,32.26,32.26,26976163
2002-06-24,31.95,33.12,31.44,32.49,32.49,19183432
2002-06-25,32.51,33.36,31.78,31.83,31.83,15783673
2002-06-26,31.35,33.44,31.19,33.18,33.18,19248313
2002-06-27,33.56,35.04,33.2,34.84,34.84,24387092
2002-06-28,34.84,35.11,33.18,33.18,33.18,28664019
2002-07-01,33.18,33.4,32.04,32.14,32.14,16993230
2002-07-02,31.96,32.36,31.09,31.09,31.09,20495639
2002-07-03,31.09,31.19,30.49,30.81,30.81,18727288
2002-07-05,32.04,32.74,31.8,32.6,32.6,9970273
2002-07-08,32.84,32.93,32.04,32.62,32.62,13719844
2002-07-09,32.23,32.73,31.26,31.38,31.38,17276474
2002-07-10,30.46,31.22,29.04,29.41,29.41,33080194
2002-07-11,29.42,31,28.2,30.9,30.9,33373560
2002-07-12,30.76,31,30.1,30.52,30.52,18993970
2002-07-15,26.59,27.59,25.49,27.28,27.28,126895011
2002-07-16,26.83,27.77,26.64,27.06,27.06,64297267
2002-07-17,27.73,27.81,26.98,27.74,27.74,47595859
2002-07-18,27.74,27.77,26.47,26.52,26.52,34955183
2002-07-19,26.09,26.44,25.12,25.42,25.42,34824695
2002-07-22,25.58,26.07,24.57,24.57,24.57,36400089
2002-07-23,24.76,25.36,23.85,24.69,24.69,36129407
2002-07-24,24.74,26.52,23.82,26.44,26.44,52054754
2002-07-25,26.44,27.39,25.84,26.61,26.61,34697785
2002-07-26,27.02,28.04,26.59,27.93,27.93,22808626
2002-07-29,29.1,29.24,28.37,29.24,29.24,23848042
2002-07-30,29.09,29.66,28.91,29.55,29.55,22727086
2002-07-31,29.55,30.68,29.16,30.67,30.67,30243431
2002-08-01,30.61,30.67,29.67,29.86,29.86,22943131
2002-08-02,29.81,30.38,28.91,29.29,29.29,18017224
2002-08-05,29.15,29.72,27.92,28.2,28.2,17612360
2002-08-06,28.91,29.72,28.44,28.87,28.87,19537459
2002-08-07,29.48,30.2,29.29,30.02,30.02,16594582
2002-08-08,30.19,31.76,30.11,31.43,31.43,25941828
2002-08-09,31.14,31.57,30.57,30.82,30.82,19258440
2002-08-12,30.75,31.34,30.43,31.15,31.15,12756921
2002-08-13,30.71,31.12,30.12,30.13,30.13,17988196
2002-08-14,30.13,31.42,29.68,31.38,31.38,19312029
2002-08-15,31.66,32.14,31.48,31.84,31.84,19605193
2002-08-16,31.83,31.98,31.21,31.4,31.4,14594892
2002-08-19,31.69,32.42,31.54,32.3,32.3,13358435
2002-08-20,32.08,32.21,31.67,31.94,31.94,12020174
2002-08-21,32.54,32.6,31.77,32.44,32.44,14580231
2002-08-22,32.41,33.18,32.23,33.1,33.1,16352055
2002-08-23,32.97,33.19,32.5,32.74,32.74,11815413
2002-08-26,32.91,33.18,32.05,32.75,32.75,12515244
2002-08-27,32.79,33,31.09,31.51,31.51,17703502
2002-08-28,31.4,31.84,31.06,31.39,31.39,12361227
2002-08-29,30.76,31.68,30.57,31.1,31.1,13910255
2002-08-30,30.86,31.8,30.76,31.36,31.36,12913892
2002-09-03,30.36,31.19,29.62,29.65,29.65,16514199
2002-09-04,30.14,30.89,29.77,30.6,30.6,17128259
2002-09-05,30.52,30.99,29.86,30.27,30.27,17000405
2002-09-06,30.27,30.33,28.78,29.15,29.15,31474502
2002-09-09,29.15,29.28,28.72,29.03,29.03,20936692
2002-09-10,29.03,29.55,29.03,29.34,29.34,14697218
2002-09-11,30.57,30.57,29.14,29.24,29.24,14345196
2002-09-12,28.8,29.05,28.26,28.39,28.39,19151480
2002-09-13,28.2,28.67,28.01,28.22,28.22,16042229
2002-09-16,28.34,28.68,27.95,28.63,28.63,12877288
2002-09-17,29.2,29.39,27.87,27.97,27.97,17479651
2002-09-18,27.63,28.29,27.61,27.92,27.92,15712569
2002-09-19,27.44,28.09,27.43,27.54,27.54,15333011
2002-09-20,27.54,27.87,27.12,27.24,27.24,30389953
2002-09-23,27.25,27.44,25.59,27.15,27.15,17593792
2002-09-24,27.16,27.26,26.5,26.54,26.54,22210281
2002-09-25,26.55,28.18,26.55,27.77,27.77,23599404
2002-09-26,28.39,28.71,27.97,28.68,28.68,23347795
2002-09-27,28.34,28.44,27.07,27.09,27.09,17737783
2002-09-30,26.99,27.96,26.92,27.51,27.51,22168405
2002-10-01,28.2,29.01,27.68,28.91,28.91,21135437
2002-10-02,28.91,29.39,28.09,28.43,28.43,16385709
2002-10-03,28.44,29.01,27.99,28.1,28.1,16532132
2002-10-04,28.36,28.44,27.04,27.06,27.06,19087544
2002-10-07,26.97,27.74,26.78,26.83,26.83,19563520
2002-10-08,26.84,28.35,26.84,28.15,28.15,21908054
2002-10-09,28.16,28.25,27.39,27.73,27.73,21924510
2002-10-10,27.51,28.68,27.49,28.42,28.42,20268622
2002-10-11,29.01,29.15,28.31,28.58,28.58,18585407
2002-10-14,28.72,29.39,28.68,29.32,29.32,15616680
2002-10-15,30.29,30.29,29.67,30.14,30.14,22997042
2002-10-16,30.14,30.75,29.96,30.25,30.25,21222683
2002-10-17,30.81,31.29,30.57,31.05,31.05,20770540
2002-10-18,30.98,31.85,30.82,31.75,31.75,17874820
2002-10-21,30.71,31.09,30.38,30.48,30.48,22519764
2002-10-22,30.49,30.49,29.29,29.67,29.67,22539211
2002-10-23,29.31,29.58,28.58,29.41,29.41,19806352
2002-10-24,29.81,29.81,28.73,28.98,28.98,15241449
2002-10-25,28.99,30.29,28.68,30.24,30.24,16621057
2002-10-28,30.69,30.71,29.48,29.92,29.92,14957679
2002-10-29,29.53,29.85,28.91,29.62,29.62,14933098
2002-10-30,29.62,30.55,29.41,30.38,30.38,14334539
2002-10-31,30.38,30.55,29.58,30.12,30.12,16876033
2002-11-01,30.1,30.71,29.66,30.47,30.47,17065701
2002-11-04,30.6,31.18,30.09,30.38,30.38,16342986
2002-11-05,30.73,31.04,30.45,30.92,30.92,15372258
2002-11-06,30.92,32.23,30.92,31.89,31.89,31560904
2002-11-07,31.8,32.1,31.34,31.83,31.83,15375315
2002-11-08,31.76,32.21,31.6,32.11,32.11,13452004
2002-11-11,32.11,32.11,31.38,31.41,31.41,9444191
2002-11-12,31.52,32.08,31.44,31.82,31.82,14515456
2002-11-13,31.7,31.8,30.33,30.9,30.9,18248359
2002-11-14,31.14,31.61,30.99,31.33,31.33,13588717
2002-11-15,30.76,31.53,30.76,31.33,31.33,14137486
2002-11-18,31.33,31.7,31.07,31.21,31.21,10480532
2002-11-19,31.22,31.74,30.95,31.28,31.28,16319880
2002-11-20,31.28,31.37,30.63,31.37,31.37,23923253
2002-11-21,31.9,31.9,31.12,31.28,31.28,24935764
2002-11-22,31.23,31.23,30.43,30.69,30.69,21984328
2002-11-25,30.37,30.57,29.77,29.96,29.96,23543282
2002-11-26,29.97,30.19,29.77,30.15,30.15,21276593
2002-11-27,30.36,30.66,29.95,30,30,18388249
2002-11-29,30.71,30.71,29.86,29.9,29.9,11956244
2002-12-02,30.33,30.38,29.44,29.67,29.67,18736994
2002-12-03,29.67,29.68,28.9,29.56,29.56,17308756
2002-12-04,29.46,29.53,29.05,29.33,29.33,17331227
2002-12-05,29.62,29.69,29.02,29.1,29.1,15704447
2002-12-06,29.1,29.49,28.72,29.39,29.39,15770799
2002-12-09,29.09,30.14,29.09,29.6,29.6,16571056
2002-12-10,29.81,30.28,29.61,30.08,30.08,20869701
2002-12-11,29.91,30.32,29.88,29.96,29.96,15275734
2002-12-12,29.97,29.97,29.28,29.5,29.5,15961426
2002-12-13,29.05,29.44,28.91,28.91,28.91,17299891
2002-12-16,29.03,29.63,28.82,29.43,29.43,24027697
2002-12-17,29.15,29.39,28.59,28.89,28.89,18952938
2002-12-18,27.88,29.29,27.88,28.7,28.7,21387046
2002-12-19,28.53,29.03,28.4,28.53,28.53,18669277
2002-12-20,28.68,29.05,28.28,28.9,28.9,23514471
2002-12-23,29.27,29.8,28.95,29.55,29.55,18556511
2002-12-24,29.52,30,29.5,29.75,29.75,7185310
2002-12-26,29.75,29.75,28.46,28.46,28.46,18889863
2002-12-27,28.46,28.77,28.21,28.24,28.24,13371831
2002-12-30,28.53,29.24,28.45,29.21,29.21,19271622
2002-12-31,29.21,29.21,28.65,28.98,28.98,14454169
2003-01-02,29.14,29.94,29.04,29.89,29.89,14596582
2003-01-03,29.87,30.17,29.74,30.13,30.13,12233265
2003-01-06,30.22,30.42,30.05,30.33,30.33,14471995
2003-01-07,30.33,30.46,29.89,29.98,29.98,14551323
2003-01-08,29.91,29.96,29.16,29.29,29.29,18615468
2003-01-09,29.29,29.62,29.19,29.52,29.52,18876140
2003-01-10,29.5,29.51,29.06,29.2,29.2,15336176
2003-01-13,29.32,29.49,29.05,29.29,29.29,16162069
2003-01-14,29.15,29.48,29.02,29.41,29.41,15351370
2003-01-15,29.22,29.33,28.76,28.87,28.87,14673063
2003-01-16,29.03,29.16,27.5,28.39,28.39,30572985
2003-01-17,28.34,28.54,28.13,28.48,28.48,19704675
2003-01-21,28.99,29.16,28.7,28.91,28.91,21269841
2003-01-22,28.91,29.47,28.83,29.11,29.11,22900732
2003-01-23,29.39,29.95,29.14,29.4,29.4,21793279
2003-01-24,29.39,29.4,28.51,28.68,28.68,23497812
2003-01-27,28.44,28.63,28.06,28.26,28.26,24041504
2003-01-28,28.53,28.64,28.03,28.44,28.44,20438032
2003-01-29,28.45,29.2,28.24,28.96,28.96,21318266
2003-01-30,28.91,29.01,28.15,28.16,28.16,17053258
2003-01-31,28.01,28.83,28.01,28.78,28.78,21473852
2003-02-03,29.58,29.58,28.63,28.85,28.85,15892114
2003-02-04,28.86,28.86,28.03,28.29,28.29,17154841
2003-02-05,28.3,28.81,28.02,28.14,28.14,15583978
2003-02-06,28.14,28.37,27.78,28.23,28.23,17579658
2003-02-07,28.32,28.35,27.41,27.77,27.77,18425584
2003-02-10,27.84,28.15,27.52,28.03,28.03,16200573
2003-02-11,28.14,28.32,27.54,27.67,27.67,15857409
2003-02-12,26.84,27.88,26.84,27.25,27.25,15262860
2003-02-13,27.26,27.31,26.83,27.08,27.08,20118825
2003-02-14,27.09,27.3,26.45,27.07,27.07,22765063
2003-02-18,27.61,28.03,27.54,27.87,27.87,17014856
2003-02-19,27.87,27.96,27.47,27.58,27.58,11616563
2003-02-20,27.59,27.63,27.11,27.15,27.15,14339604
2003-02-21,27.15,27.66,26.83,27.43,27.43,17896863
2003-02-24,27.44,27.44,27.02,27.19,27.19,16605448
