Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,27.48,27.48,26.38,26.71,26.71,7632400
2002-01-03,26.59,26.89,26.38,26.74,26.74,6227200
2002-01-04,26.8,27.55,26.43,27.15,27.15,6032000
2002-01-07,26.91,27.55,26.82,27.2,27.2,4957000
2002-01-08,26.95,27,26.5,26.56,26.56,3998000
2002-01-09,26.2,26.56,25.93,26.48,26.48,7777000
2002-01-10,26.45,26.5,25.86,26.28,26.28,5048600
2002-01-11,25.88,26.13,25.53,25.71,25.71,6780800
2002-01-14,25.38,25.64,25.14,25.41,25.41,5029000
2002-01-15,25.41,26.07,25.41,25.88,25.88,4458000
2002-01-16,25.5,25.5,25,25,25,7262600
2002-01-17,25.21,25.3,24.57,25,25,4886800
2002-01-18,25.13,25.32,24.71,24.81,24.81,5076000
2002-01-22,24.82,25.37,24.63,24.75,24.75,4774000
2002-01-23,24.9,25.88,24.75,25.82,25.82,6295400
2002-01-24,25.82,26.65,25.57,26.62,26.62,6417400
2002-01-25,26.62,27.5,26.52,27.3,27.3,6945600
2002-01-28,27.15,27.2,26.65,26.85,26.85,6367200
2002-01-29,26.5,26.58,26.13,26.27,26.27,5291800
2002-01-30,26.1,27.32,26,27.17,27.17,5576000
2002-01-31,27.23,28.23,27.21,28.2,28.2,8533800
2002-02-01,28.19,28.31,27.4,27.6,27.6,7968600
2002-02-04,27.61,27.64,26.35,26.74,26.74,6868000
2002-02-05,26.94,27.17,26.3,26.8,26.8,4953000
2002-02-06,26.88,27.85,26.82,27.23,27.23,5714800
2002-02-07,26.8,27.05,26.53,26.54,26.54,4214400
2002-02-08,26.43,27.11,26.29,26.95,26.95,3958200
2002-02-11,26.85,28.03,26.68,27.93,27.93,6165600
2002-02-12,27.9,28.3,27.3,27.5,27.5,7092000
2002-02-13,27.46,28,27.06,27.71,27.71,6133400
2002-02-14,27.88,28.13,27.46,27.63,27.63,5652200
2002-02-15,27.78,28.29,27.64,27.95,27.95,5884800
2002-02-19,27.4,27.75,26.75,27.55,27.55,5462200
2002-02-20,27.35,27.5,26.94,27.2,27.2,5197200
2002-02-21,27.45,28.18,27.42,27.72,27.72,7767600
2002-02-22,27.88,28.95,27.6,28.68,28.68,7863000
2002-02-25,29,29.94,28.94,29.84,29.84,11991000
2002-02-26,29.8,29.8,29.1,29.18,29.18,9230000
2002-02-27,29.2,29.45,28.45,28.7,28.7,5777000
2002-02-28,28.74,29.5,28.74,29.11,29.11,5805600
2002-03-01,29.32,29.51,28,29.43,29.43,6082800
2002-03-04,29.7,30.23,29.53,30.1,30.1,9076000
2002-03-05,30.07,30.43,29.75,30.23,30.23,6826800
2002-03-06,29.95,30.75,29.46,30.75,30.75,8291000
2002-03-07,31,31.21,29.92,30.18,30.18,7266200
2002-03-08,29.75,29.9,28.75,29.07,29.07,9644400
2002-03-11,29.42,29.68,29.05,29.37,29.37,6643600
2002-03-12,29,29.88,28.89,29.88,29.88,6890600
2002-03-13,30.75,30.79,29.2,29.26,29.26,8660800
2002-03-14,29.3,29.58,28.78,29.53,29.53,5586800
2002-03-15,29.75,30.19,29.41,30.15,30.15,6806400
2002-03-18,29.8,30.59,29.6,30.2,30.2,8765602
