Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,29.62,30.15,29.4,30.12,30.12,8034969
2002-01-03,30.12,30.46,29.59,30.32,30.32,10270860
2002-01-04,30.91,30.94,29.96,30.18,30.18,9488245
2002-01-07,30.15,30.49,30.08,30.12,30.12,6412897
2002-01-08,29.81,30.08,29.66,29.99,29.99,6077698
2002-01-09,30.08,30.08,28.7,28.81,28.81,8330813
2002-01-10,28.68,29.3,28.34,29.06,29.06,8058945
2002-01-11,29.13,29.26,28.52,28.55,28.55,7396369
2002-01-14,28.59,28.91,28.47,28.69,28.69,6542074
2002-01-15,28.55,28.89,28.14,28.52,28.52,9686649
2002-01-16,28.38,28.52,28,28.01,28.01,7822985
2002-01-17,27.99,28.06,27.55,27.84,27.84,9492085
2002-01-18,27.7,27.92,27.19,27.56,27.56,8233169
2002-01-22,27.61,27.62,26.51,26.85,26.85,10049204
2002-01-23,26.68,27.55,26.68,27.42,27.42,12072719
2002-01-24,28.15,28.15,27.29,27.47,27.47,13678095
2002-01-25,27.29,27.62,26.79,26.81,26.81,11065135
2002-01-28,26.89,27.21,26.83,27.2,27.2,6557574
2002-01-29,27.32,28.12,27.25,27.25,27.25,12606916
2002-01-30,27.36,27.61,27.06,27.4,27.4,8590628
2002-01-31,27.59,28.27,27.59,28.27,28.27,11172188
2002-02-01,28.34,28.34,27.69,27.9,27.9,11581716
2002-02-04,28.09,28.09,26.9,27.03,27.03,9125622
2002-02-05,26.76,27.81,26.49,27.18,27.18,10547101
2002-02-06,26.81,27.17,25.88,26.03,26.03,14168969
2002-02-07,26.03,27.05,26.02,26.49,26.49,11436769
2002-02-08,26.48,27.04,26.48,26.89,26.89,10733384
2002-02-11,26.89,27.02,26.49,26.68,26.68,6935967
2002-02-12,26.63,27.37,26.42,27.21,27.21,8676482
2002-02-13,27.28,27.77,27.08,27.76,27.76,8403290
2002-02-14,27.88,28.03,27.81,27.94,27.94,8498412
2002-02-15,27.94,28.42,27.94,28.02,28.02,8500271
2002-02-19,27.9,28.08,27.32,27.55,27.55,9528127
2002-02-20,27.66,28.11,26.83,27.96,27.96,8228269
2002-02-21,27.55,28.02,27.36,27.55,27.55,9781977
2002-02-22,26.87,27.96,26.84,27.78,27.78,8581617
2002-02-25,27.78,28.68,27.78,28.39,28.39,8330684
2002-02-26,28.39,28.85,28.17,28.3,28.3,8336511
2002-02-27,28.37,28.83,28.12,28.53,28.53,8859980
2002-02-28,28.6,29.19,28.49,28.56,28.56,8706556
2002-03-01,28.95,29.44,28.82,29.44,29.44,7752103
2002-03-04,29.74,29.86,29.17,29.71,29.71,8129564
2002-03-05,29.52,29.59,29.1,29.26,29.26,6723321
2002-03-06,29.45,29.62,29.1,29.46,29.46,9071301
2002-03-07,29.78,29.78,28.92,29.25,29.25,8075507
2002-03-08,29.36,29.51,28.77,28.98,28.98,11075207
2002-03-11,29.06,29.29,28.98,29.13,29.13,8304051
2002-03-12,29.02,29.36,28.94,29.27,29.27,6334329
2002-03-13,29.36,29.44,28.99,29.29,29.29,5447710
2002-03-14,29.4,29.53,28.91,29.2,29.2,6570823
2002-03-15,29.44,29.59,29.3,29.44,29.44,12226143
2002-03-18,29.29,29.58,29.2,29.36,29.36,4709741
2002-03-19,29.44,29.64,29.14,29.62,29.62,7803903
2002-03-20,29.59,29.74,29.35,29.45,29.45,6138643
2002-03-21,29.44,29.55,28.97,29.16,29.16,6771146
2002-03-22,29.1,29.22,28.53,28.62,28.62,7109258
2002-03-25,28.52,28.92,28.52,28.68,28.68,5438300
2002-03-26,28.83,29.13,28.79,28.94,28.94,6111747
2002-03-27,28.83,28.92,28.42,28.42,28.42,10344527
2002-03-28,28.61,28.86,28.12,28.26,28.26,8683370
2002-04-01,28.45,28.45,27.5,27.67,27.67,9719575
2002-04-02,27.65,28.12,27.4,28.08,28.08,8698343
2002-04-03,28.27,28.64,28.04,28.39,28.39,9089451
2002-04-04,28.53,28.98,28.46,28.79,28.79,7411335
2002-04-05,28.68,28.82,28.08,28.18,28.18,5396567
2002-04-08,27.78,27.93,27.27,27.57,27.57,8294649
2002-04-09,27.38,27.42,26.25,26.34,26.34,14961392
2002-04-10,26.23,26.95,26.02,26.91,26.91,13031816
2002-04-11,26.79,26.79,25.21,25.47,25.47,16731717
2002-04-12,25.13,25.85,25.06,25.66,25.66,12064371
2002-04-15,25.66,26.06,25.17,25.26,25.26,9159536
2002-04-16,25.53,26.23,25.53,26.09,26.09,13512354
2002-04-17,26.34,26.49,25.85,26.04,26.04,11944204
2002-04-18,25.44,25.89,24.79,25.58,25.58,11026051
2002-04-19,25.21,25.35,24.61,24.7,24.7,13833108
2002-04-22,24,24.15,23.21,23.9,23.9,16769612
2002-04-23,23.66,24.52,23.47,23.61,23.61,16434944
2002-04-24,23.4,24.45,23.4,23.84,23.84,14691776
2002-04-25,23.51,24.34,23.51,24.13,24.13,13071029
2002-04-26,24.09,24.26,23.63,23.7,23.7,11210475
2002-04-29,23.51,23.66,22.75,22.76,22.76,10295769
2002-04-30,22.83,23.74,22.76,23.44,23.44,12902638
2002-05-01,23.4,24.64,23.25,24.64,24.64,13015647
