Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,28.65,28.95,27.81,28.82,28.82,10574398
2002-01-03,29,31,29,30.7,30.7,15128900
2002-01-04,31.09,31.4,29.22,30.4,30.4,12953200
2002-01-07,30.4,30.8,28.75,29.41,29.41,11746102
2002-01-08,29.25,29.94,28.85,29,29,10269102
2002-01-09,29.75,29.84,28,28.21,28.21,15593700
2002-01-10,28.05,28.25,27.25,27.55,27.55,15016400
2002-01-11,27.7,28.35,27,27.24,27.24,12033500
2002-01-14,27.16,27.62,26.55,27.09,27.09,10888301
2002-01-15,27.21,27.5,26.12,26.41,26.41,12882400
2002-01-16,26.1,27.15,25.85,26.31,26.31,12289699
2002-01-17,27,27.45,26.2,27.45,27.45,14560900
2002-01-18,26.63,27.85,26.52,27.54,27.54,14401602
2002-01-22,27.21,27.44,25.6,25.75,25.75,12798200
2002-01-23,25.75,26.45,25.28,26,26,12597000
2002-01-24,26.31,28,26.31,27.45,27.45,12421400
2002-01-25,26.87,27.49,26.8,27.45,27.45,7307102
2002-01-28,28.15,28.42,27.53,28.4,28.4,10724600
2002-01-29,30,30.5,29.75,29.96,29.96,28730400
2002-01-30,30,30.74,29.25,30.72,30.72,13803700
2002-01-31,30.72,31.5,30.12,31.21,31.21,14615700
2002-02-01,31.21,31.61,30.49,30.5,30.5,10548700
2002-02-04,30.05,30.71,29.5,29.75,29.75,9324200
2002-02-05,29.28,30.16,28.5,29.75,29.75,11406102
2002-02-06,29.7,29.95,29,29.5,29.5,9514301
2002-02-07,29.5,30.52,29.12,29.54,29.54,11630500
2002-02-08,29.9,30.5,29.26,30.29,30.29,12388301
2002-02-11,30.54,31.95,30.5,31.95,31.95,10048900
2002-02-12,31.7,32.4,31.13,31.82,31.82,9444400
2002-02-13,31.9,32.91,31.8,32.91,32.91,9547801
2002-02-14,32.91,33.69,32.39,32.51,32.51,13530102
2002-02-15,32.51,32.92,31.13,31.5,31.5,10451801
2002-02-19,30.76,31,29.61,29.94,29.94,11653500
2002-02-20,30,30.3,28.1,29.99,29.99,14415602
2002-02-21,29.45,29.78,28.6,28.86,28.86,11034800
2002-02-22,29,30,28.4,29.51,29.51,9275301
2002-02-25,30,31.18,29.87,30.85,30.85,7571301
2002-02-26,31.1,31.25,30.04,30.99,30.99,8171200
2002-02-27,31.41,31.6,29.86,30.36,30.36,11360200
2002-02-28,30.42,30.48,29.1,29.35,29.35,7944602
2002-03-01,29.73,31.5,29.65,31.5,31.5,14192301
2002-03-04,31.5,34,31.43,33.99,33.99,16545602
2002-03-05,33.6,34.5,33.19,33.99,33.99,15206699
2002-03-06,34.2,34.29,32.75,34.2,34.2,11490200
2002-03-07,34.5,35.2,33.85,34.75,34.75,10150700
2002-03-08,35.3,35.94,34.85,35.71,35.71,13317000
2002-03-11,34.8,34.93,33.8,34.11,34.11,10878200
2002-03-12,33,33.54,32.14,32.75,32.75,13390199
2002-03-13,32.75,32.88,31.76,32.4,32.4,9856801
2002-03-14,32.4,33.45,32.4,32.89,32.89,6961500
2002-03-15,33.13,34.26,32.8,34.09,34.09,9949301
2002-03-18,34.31,35.1,33.56,34,34,9500398
2002-03-19,34.25,34.92,33.55,34.57,34.57,6399301
2002-03-20,33.9,34.18,33.43,33.5,33.5,7264700
2002-03-21,33.6,34.44,33.5,34.16,34.16,8768699
2002-03-22,34.02,34.14,33,33.16,33.16,9816700
2002-03-25,33.16,33.6,31.98,32.05,32.05,9694500
2002-03-26,32.11,33.8,32.07,33.52,33.52,8193400
2002-03-27,33,33.5,32.52,33.1,33.1,6449500
2002-03-28,33.35,33.95,32.78,33.1,33.1,7533602
2002-04-01,33,34.24,32.57,34.09,34.09,6800801
2002-04-02,33.4,34.02,33.3,33.75,33.75,9694602
2002-04-03,34,34.4,32.6,32.99,32.99,9923300
2002-04-04,33.1,33.65,32.75,33.32,33.32,8289602
2002-04-05,33.55,33.81,33.2,33.42,33.42,7508500
2002-04-08,32.51,33.25,32.05,33,33,9483602
2002-04-09,33.25,33.7,31.7,32.32,32.32,12914700
2002-04-10,32,32.21,31.01,32.15,32.15,12222301
2002-04-11,31.98,32.09,30.81,30.95,30.95,12339301
2002-04-12,31.4,32.1,31.19,31.8,31.8,7427602
2002-04-15,32.25,32.43,31.33,32.13,32.13,9246400
2002-04-16,33.6,34.51,33.54,33.79,33.79,18199200
2002-04-17,34,34.86,33.92,34.05,34.05,13060400
2002-04-18,33.5,34.2,33.14,33.62,33.62,9871801
2002-04-19,34.14,34.3,33.14,33.3,33.3,7833398
2002-04-22,32.8,33,32.52,32.6,32.6,6201700
2002-04-23,32.95,33.48,32.25,32.43,32.43,8612700
2002-04-24,32.55,33.13,31.55,31.75,31.75,10251900
2002-04-25,31,31.57,30.25,31.5,31.5,15339200
2002-04-26,31.5,31.75,30.13,30.41,30.41,8764801
2002-04-29,30.45,31.51,30.12,30.65,30.65,9196102
2002-04-30,30.2,31.69,30.2,30.93,30.93,7729500
2002-05-01,31,31.35,29.77,31.2,31.2,10852900
