Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,20.49,20.59,20.02,20.26,20.26,4623234
2002-01-03,20.46,20.53,20.2,20.36,20.36,4393631
2002-01-04,20.41,20.79,20.41,20.75,20.75,4545853
2002-01-07,20.81,20.84,20.58,20.7,20.7,4920687
2002-01-08,20.71,20.8,20.32,20.65,20.65,3824080
2002-01-09,20.49,20.81,20.42,20.45,20.45,3391948
2002-01-10,20.56,20.71,20.46,20.71,20.71,3786455
2002-01-11,20.71,20.71,20.09,20.09,20.09,4160680
2002-01-14,20.26,20.45,20.05,20.07,20.07,4193941
2002-01-15,20.46,20.62,20.21,20.41,20.41,4445452
2002-01-16,19.92,20.24,19.87,19.87,19.87,5094719
2002-01-17,19.97,20.19,19.82,20.13,20.13,3693761
2002-01-18,19.72,20.21,19.67,20.13,20.13,3527845
2002-01-22,20.13,20.19,20.01,20.19,20.19,2406289
2002-01-23,20.12,20.74,20.04,20.63,20.63,3995675
2002-01-24,20.56,20.95,20.42,20.95,20.95,5068045
2002-01-25,21.05,21.14,20.81,21.13,21.13,4888234
2002-01-28,21.13,21.24,21.02,21.2,21.2,4237451
2002-01-29,21.2,21.35,19.72,20.03,20.03,5384462
2002-01-30,20.04,20.54,19.82,20.07,20.07,5732722
2002-01-31,20.21,20.69,20.19,20.53,20.53,4906386
2002-02-01,20.28,20.43,19.87,19.88,19.88,4483182
2002-02-04,19.97,19.97,19.29,19.55,19.55,3663945
2002-02-05,19.33,19.7,19.22,19.55,19.55,4295967
2002-02-06,19.33,19.68,18.87,19.23,19.23,5319251
2002-02-07,19.6,19.81,19.15,19.28,19.28,4649297
2002-02-08,19.08,19.65,19.08,19.43,19.43,3248140
2002-02-11,19.23,19.61,19.23,19.57,19.57,3937463
2002-02-12,19.47,19.63,19.4,19.52,19.52,3107984
2002-02-13,19.67,19.86,19.52,19.72,19.72,2512471
2002-02-14,19.54,19.81,19.43,19.76,19.76,3128166
2002-02-15,19.76,19.98,19.45,19.73,19.73,3425821
2002-02-19,19.42,19.66,18.86,18.89,18.89,5006585
2002-02-20,19.11,19.32,18.75,19.3,19.3,2875032
2002-02-21,19.67,19.67,18.98,19.01,19.01,3028170
2002-02-22,18.93,19.65,18.85,19.65,19.65,4853143
2002-02-25,19.7,20.34,19.68,20.3,20.3,3752480
2002-02-26,20.06,20.31,19.84,20.26,20.26,2415315
2002-02-27,20.26,20.7,20.17,20.56,20.56,3361827
2002-02-28,20.56,20.8,20.31,20.56,20.56,3870630
2002-03-01,20.56,20.83,20.33,20.82,20.82,3275523
2002-03-04,21.04,21.57,20.97,21.45,21.45,4411379
2002-03-05,21.2,21.5,20.89,20.89,20.89,3381705
2002-03-06,21.05,21.74,20.98,21.63,21.63,4628207
2002-03-07,21.63,21.88,21.1,21.34,21.34,3795785
2002-03-08,21.45,21.78,21.38,21.69,21.69,4832963
2002-03-11,21.69,22.07,21.46,21.98,21.98,6270023
2002-03-12,21.73,21.94,21.57,21.74,21.74,4324669
2002-03-13,21.75,21.79,21.52,21.7,21.7,3417707
2002-03-14,21.71,21.78,21.56,21.56,21.56,2720069
2002-03-15,21.69,22.19,21.66,22.18,22.18,10301699
2002-03-18,22.18,22.4,22.1,22.31,22.31,3551373
2002-03-19,22.41,22.75,22.24,22.68,22.68,4297488
2002-03-20,22.43,22.58,22.1,22.18,22.18,3649746
2002-03-21,22.06,22.14,21.67,21.96,21.96,4696662
2002-03-22,22.09,22.56,21.9,22.28,22.28,3455231
2002-03-25,22.19,22.64,22.19,22.31,22.31,5709499
2002-03-26,22.19,22.66,22.14,22.58,22.58,5284263
2002-03-27,22.43,22.65,22.35,22.36,22.36,4543525
2002-03-28,22.61,22.61,22.25,22.25,22.25,2639748
2002-04-01,21.85,22.38,21.77,22.26,22.26,3222381
2002-04-02,22.02,22.62,21.99,22.5,22.5,3242258
2002-04-03,22.47,22.47,22.03,22.1,22.1,3781587
2002-04-04,22.42,22.47,22.06,22.09,22.09,3770837
2002-04-05,22.09,22.37,22.06,22.06,22.06,3104536
2002-04-08,21.96,22.37,21.85,22.25,22.25,3836858
2002-04-09,22.33,22.56,22.28,22.45,22.45,6099541
2002-04-10,22.58,22.86,22.49,22.61,22.61,11030370
2002-04-11,22.61,22.66,22.08,22.08,22.08,5516303
2002-04-12,22.23,22.5,22.19,22.41,22.41,4497479
2002-04-15,22.66,22.66,22.08,22.09,22.09,5044109
2002-04-16,22.53,22.76,22.48,22.67,22.67,6403183
2002-04-17,22.83,23.46,22.55,23.28,23.28,8543964
2002-04-18,23.03,23.49,22.93,23.27,23.27,5295822
2002-04-19,23.22,23.53,23.09,23.49,23.49,6984698
2002-04-22,23.49,23.49,22.76,22.79,22.79,4991678
2002-04-23,22.7,23.32,22.69,22.88,22.88,3195404
2002-04-24,22.97,23.37,22.78,23.15,23.15,3772764
2002-04-25,22.93,23.45,22.93,23.31,23.31,5249885
2002-04-26,23.4,23.4,22.53,22.96,22.96,4417262
2002-04-29,23.02,23.27,22.72,22.91,22.91,3423792
2002-04-30,23.02,23.41,22.73,23.37,23.37,3843653
2002-05-01,23.37,23.61,23.04,23.37,23.37,4942895
2002-05-02,23.45,23.66,23.33,23.66,23.66,4124067
2002-05-03,23.57,23.57,23.17,23.48,23.48,3667494
2002-05-06,23.28,23.62,23.04,23.07,23.07,3628449
2002-05-07,23.37,23.42,23.07,23.28,23.28,3177555
2002-05-08,23.41,23.6,23.38,23.58,23.58,3838988
2002-05-09,23.37,23.66,23.24,23.57,23.57,4264932
2002-05-10,23.52,23.62,23.18,23.34,23.34,3293676
2002-05-13,23.17,23.71,23.14,23.71,23.71,3819820
2002-05-14,23.71,24.1,23.56,24,24,3764955
2002-05-15,23.67,24,23.57,23.67,23.67,3353613
2002-05-16,23.71,23.8,23.57,23.71,23.71,2835683
2002-05-17,23.66,23.81,23.51,23.58,23.58,4694023
2002-05-20,23.76,23.76,23.33,23.58,23.58,3371867
2002-05-21,23.76,23.85,23.59,23.77,23.77,4544435
2002-05-22,23.62,23.79,23.51,23.68,23.68,4497277
2002-05-23,23.76,24.16,23.7,24.11,24.11,5152624
2002-05-24,24.11,24.14,23.58,23.71,23.71,2815907
2002-05-28,23.91,23.91,23,23.22,23.22,5421681
2002-05-29,23.17,23.37,23.01,23.19,23.19,2579710
2002-05-30,23.02,23.46,22.79,23.2,23.2,2490261
2002-05-31,23.02,23.61,23.02,23.32,23.32,3370955
2002-06-03,23.19,23.6,22.68,23.05,23.05,2946226
2002-06-04,22.68,22.9,22.5,22.86,22.86,6326816
2002-06-05,22.97,23.17,22.7,22.91,22.91,3096220
2002-06-06,23.07,23.07,21.94,22.33,22.33,3267004
2002-06-07,22.48,22.72,22.09,22.58,22.58,3640416
2002-06-10,22.38,22.83,22.28,22.69,22.69,1878218
2002-06-11,22.82,23.01,22.27,22.28,22.28,3189522
2002-06-12,22.24,22.69,22.15,22.55,22.55,3582001
2002-06-13,22.28,22.43,22.02,22.06,22.06,2887912
2002-06-14,22.11,22.62,21.8,22.62,22.62,4575165
2002-06-17,22.68,23.45,22.68,23.42,23.42,5517115
2002-06-18,23.52,23.52,23.18,23.42,23.42,4319800
2002-06-19,23.27,23.36,22.93,22.95,22.95,3547519
2002-06-20,22.93,23.2,22.83,22.94,22.94,5250490
2002-06-21,22.68,22.89,22.33,22.38,22.38,6238786
2002-06-24,22.58,22.8,22.16,22.56,22.56,4232986
2002-06-25,22.68,22.77,22.27,22.31,22.31,3455738
2002-06-26,21.89,22.28,21.78,22.14,22.14,4766536
2002-06-27,22.25,22.68,22.06,22.66,22.66,3586666
2002-06-28,22.66,23.02,22.59,23.02,23.02,4762784
2002-07-01,22.86,22.96,22.38,22.38,22.38,3150274
2002-07-02,22.48,22.68,22.06,22.14,22.14,5327468
2002-07-03,21.79,21.8,20.95,21.46,21.46,6832678
2002-07-05,21.65,22.16,21.5,22.14,22.14,1857225
2002-07-08,22.14,22.36,21.99,22.17,22.17,3620640
2002-07-09,21.79,22.41,21.71,21.89,21.89,5261444
2002-07-10,21.99,22.18,21.27,21.34,21.34,5100902
2002-07-11,21.22,21.57,20.72,21.55,21.55,6269314
2002-07-12,20.95,21.25,20.64,20.88,20.88,4138063
2002-07-15,20.81,21.2,19.98,20.92,20.92,5869027
2002-07-16,20.46,20.84,19.92,19.97,19.97,6413019
2002-07-17,20.66,20.66,19.82,20.28,20.28,5011558
2002-07-18,20.36,20.41,19.08,19.22,19.22,5024437
2002-07-19,18.49,18.83,18.16,18.23,18.23,7477987
2002-07-22,18.24,18.66,17.66,18.14,18.14,7028410
2002-07-23,18.72,18.72,17.5,18.19,18.19,7868737
2002-07-24,17.35,18.65,16.85,18.38,18.38,9799184
2002-07-25,18.39,18.85,17.7,18.23,18.23,6771420
2002-07-26,18.24,19.43,18.03,19.4,19.4,5192787
2002-07-29,19.77,20.49,19.62,20.46,20.46,5282032
2002-07-30,20.71,20.71,19.78,20.28,20.28,5755338
2002-07-31,20.53,21.09,20.11,21.09,21.09,4769578
2002-08-01,21.09,21.09,20.16,20.23,20.23,5648852
2002-08-02,20.21,20.6,19.89,20.2,20.2,4197796
2002-08-05,20.07,20.21,19.33,19.73,19.73,4367061
2002-08-06,19.88,20.9,19.88,20.48,20.48,4969771
2002-08-07,20.61,20.85,20.22,20.61,20.61,4791688
2002-08-08,20.46,21.51,20.41,21.39,21.39,3883205
2002-08-09,21,21.63,20.77,21.48,21.48,3932189
2002-08-12,21.4,21.4,20.61,21.16,21.16,3631999
2002-08-13,21.15,21.59,20.94,20.95,20.95,4572935
2002-08-14,20.95,21.68,20.46,21.59,21.59,4941478
2002-08-15,21.67,22.17,21.59,21.74,21.74,5047457
2002-08-16,21.64,21.99,21.55,21.76,21.76,3236782
2002-08-19,21.69,22.18,21.59,22.12,22.12,2323128
2002-08-20,22.05,22.13,21.42,21.74,21.74,2518252
2002-08-21,21.79,21.95,21.2,21.69,21.69,2949471
2002-08-22,21.82,21.87,21.45,21.72,21.72,3002512
