Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,43.97,44.67,43.69,44.65,44.65,7011387
2002-01-03,44.79,46.23,44.58,46.13,46.13,7254904
2002-01-04,46.36,46.7,46.23,46.6,46.6,7176400
2002-01-07,46.69,47.05,46.25,46.32,46.32,5067702
2002-01-08,45.96,46.18,45.49,45.86,45.86,4491713
2002-01-09,45.21,45.59,44.76,45.01,45.01,6782882
2002-01-10,44.71,45.77,44.52,45.46,45.46,6880288
2002-01-11,45.41,46.18,45.13,45.77,45.77,5388944
2002-01-14,45.77,46.69,45.63,46.33,46.33,6442848
2002-01-15,46.13,46.82,45.58,46.12,46.12,5261292
2002-01-16,46.13,46.34,43.36,45.4,45.4,5140646
2002-01-17,45.49,46.12,45.37,45.88,45.88,4630373
2002-01-18,45.53,45.86,44.81,45.03,45.03,5881871
2002-01-22,45.04,45.08,44.21,44.48,44.48,5020222
2002-01-23,44.38,45.9,44.33,45.26,45.26,5922345
2002-01-24,45.26,45.42,44.21,44.29,44.29,7156274
2002-01-25,44.29,44.61,43.1,44.04,44.04,9011892
2002-01-28,43.83,44.42,43.79,44.35,44.35,5435535
2002-01-29,44.61,44.61,43.06,43.11,43.11,7051640
2002-01-30,43.06,43.07,41.56,42.43,42.43,10863174
2002-01-31,42.63,42.92,42.08,42.68,42.68,9392401
2002-02-01,42.68,43.46,42.68,42.91,42.91,6213453
2002-02-04,43.19,43.23,41.9,41.99,41.99,5331679
2002-02-05,41.76,42.31,40.98,41.45,41.45,9775578
2002-02-06,41.45,41.48,39.61,39.96,39.96,9764681
2002-02-07,39.83,41.35,39.83,40.98,40.98,7324400
2002-02-08,40.98,41.9,40.66,41.62,41.62,5152099
2002-02-11,41.76,42.26,41.51,41.93,41.93,4420104
2002-02-12,41.93,41.98,41.39,41.74,41.74,4367620
2002-02-13,41.62,41.81,41.19,41.71,41.71,5494245
2002-02-14,41.71,42.19,41.45,41.93,41.93,4729893
2002-02-15,41.93,42.48,41.5,42,42,5091943
2002-02-19,41.94,42.57,41.53,42.09,42.09,6245589
2002-02-20,42.09,43.26,41.91,42.92,42.92,6041546
2002-02-21,42.36,42.52,40.7,40.93,40.93,7225437
2002-02-22,40.98,41.88,40.95,41.71,41.71,4998984
2002-02-25,42.13,43.39,41.99,42.99,42.99,5375601
2002-02-26,43.14,43.75,42.89,43.29,43.29,5140646
2002-02-27,43.3,44.34,43.12,43.41,43.41,5740097
2002-02-28,43.51,44.29,43.09,43.09,43.09,5761335
2002-03-01,43.46,44.74,43.28,44.74,44.74,5000763
2002-03-04,44.75,44.84,43.58,44.14,44.14,8048501
2002-03-05,44.11,44.14,43.32,43.65,43.65,4994870
2002-03-06,43.79,44.32,43.77,44.28,44.28,5169779
2002-03-07,44.11,44.25,43.51,43.81,43.81,4556985
2002-03-08,44.15,44.28,42.64,42.95,42.95,6261156
2002-03-11,42.68,43.37,42.5,43.3,43.3,6158968
2002-03-12,43.28,43.74,42.83,43.7,43.7,5221262
2002-03-13,43.7,44.2,43.42,44.08,44.08,4584561
2002-03-14,44.08,44.19,43.69,44.06,44.06,4534523
2002-03-15,44.57,44.57,43.83,43.92,43.92,8728679
2002-03-18,43.69,44.15,43.33,43.85,43.85,4275217
2002-03-19,43.79,44.13,43.4,43.91,43.91,4401312
2002-03-20,44.02,44.43,43.92,44.3,44.3,4684970
2002-03-21,44.06,44.28,42.86,43.31,43.31,6962748
2002-03-22,43.19,43.19,41.93,42,42,7945646
2002-03-25,41.99,42.32,41.91,42.05,42.05,5869973
2002-03-26,41.94,42.74,41.91,42.32,42.32,6000738
2002-03-27,42.04,42.45,41.91,41.94,41.94,5758000
2002-03-28,42.08,42.8,42,42.45,42.45,5049355
2002-04-01,41.92,42.37,41.72,42.31,42.31,5487240
2002-04-02,41.67,41.93,41.47,41.81,41.81,4721442
2002-04-03,41.81,42.13,41.63,41.9,41.9,5647361
2002-04-04,41.53,41.9,41.45,41.73,41.73,6203891
2002-04-05,41.81,41.9,41.57,41.62,41.62,3520538
2002-04-08,41.16,41.37,40.61,40.71,40.71,4664288
2002-04-09,40.15,40.42,39.31,39.32,39.32,11747729
2002-04-10,39.32,40.47,38.91,40.42,40.42,10360018
2002-04-11,39.14,39.55,37.66,38.51,38.51,16525546
2002-04-12,38.26,39.22,38.08,38.99,38.99,8491946
2002-04-15,38.72,38.91,37.85,38.1,38.1,7134369
2002-04-16,38.58,40.28,38.56,40.15,40.15,6901193
2002-04-17,39.87,40.38,39.41,39.47,39.47,6466644
2002-04-18,39.23,39.85,38.4,39.09,39.09,5029007
2002-04-19,39.09,39.09,38.33,38.67,38.67,6950786
2002-04-22,37.98,38.08,36.83,36.83,36.83,13698641
2002-04-23,36.37,38.4,36.37,36.96,36.96,14373149
2002-04-24,37.16,38.21,37.08,37.66,37.66,7912398
2002-04-25,37.34,38.49,37.29,38.14,38.14,8705773
2002-04-26,38.17,38.32,37.63,37.94,37.94,10444304
2002-04-29,37.57,37.72,35.56,36.05,36.05,9100848
2002-04-30,36.06,37.09,35.78,36.93,36.93,11258583
2002-05-01,37.06,38.31,36.2,38.25,38.25,8172483
2002-05-02,38.4,38.72,37.82,38.21,38.21,7007051
2002-05-03,37.98,37.98,36.93,37.16,37.16,4473589
2002-05-06,37.16,37.78,36.65,36.71,36.71,4596904
2002-05-07,37.06,37.11,36.29,36.39,36.39,5386053
2002-05-08,36.65,38.26,36.65,38.07,38.07,7057644
2002-05-09,37.76,38.17,36.93,36.97,36.97,5033010
2002-05-10,37.29,37.32,35.91,36.23,36.23,6550930
2002-05-13,36.33,37.75,36.25,37.7,37.7,6866167
2002-05-14,38.21,38.9,38.04,38.82,38.82,6673244
2002-05-15,38.81,39.37,38.55,38.86,38.86,5318558
2002-05-16,39.32,40.65,39.27,40.51,40.51,8272447
2002-05-17,40.32,40.32,39.51,39.72,39.72,6285063
2002-05-20,39.6,39.6,38.91,39.04,39.04,4430111
2002-05-21,38.72,40.41,38.71,39.61,39.61,6479320
2002-05-22,39.59,40.14,39.2,39.93,39.93,4028031
2002-05-23,39.69,40.7,39.18,40.68,40.68,5940804
2002-05-24,40.7,40.91,40.04,40.06,40.06,4849538
2002-05-28,40.65,41.19,40.42,41.11,41.11,5511703
2002-05-29,41.02,41.09,40.33,40.42,40.42,5141647
2002-05-30,39.87,40.67,39.7,40.51,40.51,5864635
2002-05-31,40.33,41.05,39.37,39.6,39.6,6781103
2002-06-03,39.6,40.08,38.67,38.84,38.84,6176092
2002-06-04,38.26,39.51,38.23,39,39,6439735
2002-06-05,38.91,39.6,38.54,38.81,38.81,4821183
2002-06-06,38.81,38.91,37.47,37.75,37.75,5767229
2002-06-07,37.29,38.48,37.09,38.2,38.2,5214035
2002-06-10,38.31,39.2,37.66,38.38,38.38,4236077
2002-06-11,38.49,38.91,37.22,37.32,37.32,4764697
2002-06-12,37.48,38.53,37.48,38.41,38.41,6502560
2002-06-13,38.54,38.63,37.66,38.08,38.08,5801143
2002-06-14,36.83,38.26,36.37,38.04,38.04,10185442
2002-06-17,37.94,39,37.93,38.56,38.56,6887961
2002-06-18,38.17,39.11,38.03,39.04,39.04,6168308
2002-06-19,38.67,39,36.61,36.66,36.66,9244957
2002-06-20,36.63,37.43,36.17,36.78,36.78,9120975
2002-06-21,36.46,37.75,36.46,37.06,37.06,12401999
2002-06-24,36.14,36.7,35.45,36.56,36.56,9670944
2002-06-25,36.79,37.02,35.57,35.59,35.59,6785995
2002-06-26,33.97,36.37,33.61,35.64,35.64,13946717
2002-06-27,35.27,36.19,33.79,36.12,36.12,10319877
2002-06-28,35.73,36.97,35.42,36.97,36.97,10370248
2002-07-01,36.51,37.02,35.18,35.21,35.21,7001602
2002-07-02,35.21,35.21,34.07,34.23,34.23,10832929
2002-07-03,34.21,34.98,33.52,34.6,34.6,8514073
2002-07-05,34.6,35.91,34.43,35.81,35.81,4299235
2002-07-08,35.87,36.19,34.76,35.5,35.5,7292154
2002-07-09,35.59,35.68,34.16,34.4,34.4,6626320
2002-07-10,34.35,34.47,33.15,33.24,33.24,8667745
2002-07-11,32.74,34.95,32.63,34.62,34.62,11401580
2002-07-12,34.62,34.7,32.24,32.51,32.51,11096906
2002-07-15,31.54,32.37,30.44,32.37,32.37,13102193
2002-07-16,31.45,32.42,30.87,32.23,32.23,10045114
2002-07-17,33.06,33.13,31.81,32.56,32.56,9999080
2002-07-18,32.51,33.1,31.12,31.35,31.35,7060980
2002-07-19,30.53,31.37,29.01,29.93,29.93,9958160
2002-07-22,27.9,28.54,25.76,26.38,26.38,26135111
2002-07-23,26.24,26.69,24.48,25.26,25.26,20407468
2002-07-24,24.03,26.24,23.95,25.65,25.65,19876179
2002-07-25,25.65,26.7,25.27,25.41,25.41,13787041
2002-07-26,25.73,26.65,24.95,26.5,26.5,10921441
2002-07-29,27.58,28.32,27.19,28.02,28.02,10427180
2002-07-30,27.62,28.46,27.35,27.81,27.81,9704191
2002-07-31,28.41,30.85,28.09,30.39,30.39,19682366
2002-08-01,30.53,30.56,28.78,28.88,28.88,11762740
2002-08-02,29.47,29.7,28.91,29.45,29.45,7692010
2002-08-05,28.82,28.83,27.51,27.76,27.76,10979151
2002-08-06,27.95,28.91,27.3,27.51,27.51,8549100
2002-08-07,27.58,27.93,25.99,27.14,27.14,12751818
2002-08-08,27.58,27.76,26.76,27.35,27.35,10342894
2002-08-09,27.36,28.32,27.01,27.86,27.86,7024286
2002-08-12,27.3,28.22,27.16,27.72,27.72,6113378
2002-08-13,27.86,28.2,27.04,27.07,27.07,6426614
2002-08-14,27.16,28.55,26.52,28.5,28.5,8723342
2002-08-15,28.78,28.92,27.62,28.04,28.04,7359538
2002-08-16,28.04,29.91,27.72,29.18,29.18,9130315
2002-08-19,29.37,31.3,29.37,30.93,30.93,9156446
2002-08-20,29.47,29.93,29,29.28,29.28,8858110
2002-08-21,29.28,29.93,28.51,29.79,29.79,8620487
2002-08-22,29.92,30.52,29.58,30.19,30.19,7472623
2002-08-23,29.74,29.83,29.02,29.14,29.14,5689392
2002-08-26,29.11,29.93,28.62,29.83,29.83,5801143
2002-08-27,29.83,29.93,29.02,29.35,29.35,5465557
2002-08-28,28.64,28.91,28.22,28.51,28.51,4691086
2002-08-29,27.86,28.67,27.64,28.45,28.45,5309440
2002-08-30,27.97,29.01,27.15,28.55,28.55,10254939
2002-09-03,27.86,27.96,27.03,27.04,27.04,8411218
2002-09-04,27.04,27.79,27.04,27.62,27.62,8467928
2002-09-05,27.16,27.86,26.43,27.09,27.09,8131007
2002-09-06,27.62,27.83,26.89,27.47,27.47,5313999
2002-09-09,26.93,27.6,26.43,27.49,27.49,7619734
2002-09-10,27.62,28.18,27.44,28.12,28.12,6039656
2002-09-11,28.91,29.74,28.55,29.25,29.25,6018084
2002-09-12,29.93,30.11,28.18,28.58,28.58,10112832
2002-09-13,28.18,29,27.92,27.95,27.95,6287064
2002-09-16,27.86,28.64,27.49,28.55,28.55,6066454
2002-09-17,29.01,29.19,28.09,28.12,28.12,5553957
2002-09-18,28.12,28.3,27.51,27.79,27.79,4925929
2002-09-19,27.39,27.68,26.9,27.1,27.1,5923346
2002-09-20,27.1,27.58,26.83,27.31,27.31,11071665
2002-09-23,26.75,27.52,26.08,27.36,27.36,6981476
2002-09-24,26.8,27.07,26.24,26.47,26.47,8766597
2002-09-25,26.7,27.39,26.46,27.02,27.02,7235778
2002-09-26,27.1,27.49,26.78,27.31,27.31,7083219
2002-09-27,26.8,26.81,25.49,25.87,25.87,12266897
2002-09-30,25.09,25.55,24.63,25.27,25.27,13463131
2002-10-01,25.34,27.3,25.32,27.24,27.24,14122738
2002-10-02,27.39,28.55,27.07,27.95,27.95,15568271
2002-10-03,28.55,30.31,28.41,30.3,30.3,21502291
2002-10-04,30.34,30.99,29.28,30.94,30.94,16857908
2002-10-07,30.39,30.67,29.67,29.83,29.83,13600123
2002-10-08,30.39,30.53,29.47,29.82,29.82,13820177
2002-10-09,29.47,30.3,29.14,29.6,29.6,9285320
2002-10-10,29.47,30.39,28.78,30.34,30.34,11777196
2002-10-11,30.53,32.78,30.53,32.4,32.4,15460300
2002-10-14,32.4,32.4,31.68,31.96,31.96,9018787
2002-10-15,32.55,32.69,31.65,32.32,32.32,11653547
2002-10-16,32.33,32.68,31.55,32,32,7815437
2002-10-17,32.69,32.98,32.32,32.93,32.93,6667239
2002-10-18,32.37,32.58,31.77,32.2,32.2,9074273
