Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,19.22,19.38,19,19.35,19.35,20033714
2002-01-03,19.32,19.43,19.17,19.33,19.33,17871920
2002-01-04,19.22,19.42,19.07,19.2,19.2,20039117
2002-01-07,19.15,19.37,19.07,19.13,19.13,16081210
2002-01-08,19.23,19.33,19.11,19.28,19.28,13110610
2002-01-09,19.05,19.18,18.73,18.8,18.8,22727425
2002-01-10,18.8,19.12,18.75,19,19,19399213
2002-01-11,18.88,18.91,18.51,18.6,18.6,21813924
2002-01-14,18.6,18.97,18.59,18.59,18.59,20141423
2002-01-15,18.59,18.97,18.44,18.96,18.96,24258330
2002-01-16,18.96,18.96,18.13,18.66,18.66,16519200
2002-01-17,18.62,19.07,18.57,18.92,18.92,23389523
2002-01-18,18.85,18.96,18.66,18.78,18.78,21022215
2002-01-22,19.04,19.57,19.04,19.34,19.34,29970029
2002-01-23,19.47,19.98,19.41,19.95,19.95,32046600
2002-01-24,19.95,19.98,19.77,19.89,19.89,23952329
2002-01-25,19.79,19.83,19.35,19.47,19.47,21966327
2002-01-28,19.57,19.73,19.44,19.54,19.54,15428112
2002-01-29,19.69,19.83,19.3,19.3,19.3,22121700
2002-01-30,19.27,19.98,19.25,19.92,19.92,30018336
2002-01-31,19.87,19.99,19.7,19.99,19.99,20583617
2002-02-01,19.9,19.97,19.58,19.75,19.75,20091020
2002-02-04,19.86,19.97,19.55,19.63,19.63,19543800
2002-02-05,19.68,19.83,19.48,19.6,19.6,19880422
2002-02-06,19.57,19.75,19.47,19.63,19.63,19270519
2002-02-07,19.72,19.92,19.45,19.46,19.46,25257928
2002-02-08,19.46,19.72,19.37,19.72,19.72,19136422
2002-02-11,19.83,20.1,19.79,20.08,20.08,25503025
2002-02-12,19.95,20.12,19.93,20.03,20.03,15970821
2002-02-13,20.1,20.24,19.96,20.04,20.04,19198825
2002-02-14,20.12,20.2,19.98,20.16,20.16,18099615
2002-02-15,20.16,20.2,19.97,20.01,20.01,21803424
2002-02-19,19.8,20.06,19.73,19.76,19.76,27181833
2002-02-20,19.79,20.07,19.6,20.01,20.01,24582330
2002-02-21,20.05,20.29,19.8,19.85,19.85,22018800
2002-02-22,19.88,19.98,19.53,19.98,19.98,22809619
2002-02-25,20.07,20.25,20.02,20.22,20.22,25027525
2002-02-26,20.27,20.76,20.15,20.7,20.7,34951228
2002-02-27,20.87,20.95,20.58,20.75,20.75,38931941
2002-02-28,20.9,20.96,20.51,20.67,20.67,35987132
2002-03-01,20.73,20.94,20.69,20.94,20.94,22558828
2002-03-04,20.98,21.03,20.73,20.99,20.99,24502830
2002-03-05,20.77,20.86,20.18,20.25,20.25,37073440
2002-03-06,20.32,20.49,20.1,20.3,20.3,30588627
2002-03-07,20.5,20.65,20.33,20.57,20.57,27877221
2002-03-08,20.73,20.97,20.67,20.84,20.84,31383600
2002-03-11,20.94,20.94,20.68,20.84,20.84,20094617
2002-03-12,20.63,20.8,20.63,20.74,20.74,20942714
2002-03-13,20.58,20.7,20.43,20.66,20.66,18534921
2002-03-14,20.65,20.86,20.64,20.76,20.76,15060612
2002-03-15,20.89,21.25,20.82,21.25,21.25,39907539
2002-03-18,21.31,21.31,20.9,21.18,21.18,19076713
2002-03-19,21.23,21.28,21.01,21.15,21.15,16634710
