Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,39.3,39.6,38.9,39.6,39.6,11261900
2002-01-03,39.85,39.98,39.41,39.66,39.66,10128200
2002-01-04,39.7,40.07,39.6,40,40,8052102
2002-01-07,39.75,40.09,39.49,39.65,39.65,9945700
2002-01-08,39.9,39.99,39.5,39.7,39.7,8278000
2002-01-09,39.6,39.97,39.1,39.24,39.24,10036700
2002-01-10,39.24,39.77,39.06,39.39,39.39,7847500
2002-01-11,39.39,39.6,38.45,38.5,38.5,9459000
2002-01-14,38.6,39.2,38.5,38.64,38.64,10142900
2002-01-15,38.89,39.55,38.88,39.3,39.3,9488500
2002-01-16,39,39.01,38.46,38.5,38.5,8913000
2002-01-17,38.62,39.03,38.6,38.64,38.64,7479602
2002-01-18,38.64,38.85,38.28,38.4,38.4,10301801
2002-01-22,38.85,39.5,38.01,38.02,38.02,7158801
2002-01-23,38.5,39.17,38.5,38.9,38.9,9892700
2002-01-24,38.6,38.99,38.51,38.8,38.8,10113801
2002-01-25,38.98,39.64,38.7,39.16,39.16,8516200
2002-01-28,39.45,39.87,38.71,38.96,38.96,8097602
2002-01-29,38.5,38.9,37.95,37.95,37.95,11849500
2002-01-30,37.95,38.73,37.8,38.69,38.69,11733400
2002-01-31,38.51,39.05,38.3,39.05,39.05,11115000
2002-02-01,39.15,39.2,38.8,39,39,9518301
2002-02-04,39.1,39.2,38.26,38.35,38.35,10086102
2002-02-05,38.6,38.9,37.85,38.33,38.33,10948500
2002-02-06,38.34,38.98,38.13,38.92,38.92,10385699
2002-02-07,38.69,38.99,38.21,38.3,38.3,9027102
2002-02-08,38.05,38.36,37.99,38.29,38.29,8731102
2002-02-11,38.29,38.91,37.96,38.5,38.5,8757900
2002-02-12,38.68,38.74,37.6,38.4,38.4,7334000
2002-02-13,38.5,38.67,38.12,38.64,38.64,10065900
2002-02-14,38.98,39.4,38.67,39,39,10109602
2002-02-15,39.18,39.4,38.9,38.9,38.9,10500398
2002-02-19,38.9,39.44,38.72,38.77,38.77,9863602
2002-02-20,38.88,38.99,38.45,38.99,38.99,7279900
2002-02-21,39.45,39.74,39.06,39.15,39.15,12312000
2002-02-22,39.4,40.96,39.05,40.72,40.72,17838900
2002-02-25,40.85,41.15,40.62,41,41,11503400
2002-02-26,41,41.11,40.6,40.72,40.72,10048000
2002-02-27,40.92,41.54,40.58,40.92,40.92,13939602
2002-02-28,41.4,41.8,41.25,41.3,41.3,12889700
2002-03-01,41.75,42,41.65,42,42,12683700
2002-03-04,42.15,42.7,42.11,42.65,42.65,11899900
2002-03-05,42.5,42.9,42.19,42.5,42.5,10761602
2002-03-06,42.55,43.48,42.38,43.21,43.21,14752500
2002-03-07,43.35,43.35,42.6,42.89,42.89,11770000
2002-03-08,43.5,43.52,42.67,42.91,42.91,10804102
2002-03-11,43.25,43.78,43.18,43.49,43.49,12173400
2002-03-12,43.59,44,43.46,44,44,12907500
2002-03-13,43.95,44.09,42.95,43.12,43.12,14394400
2002-03-14,43.44,43.45,43.01,43.24,43.24,8734500
2002-03-15,43.5,43.98,43.31,43.61,43.61,16069301
2002-03-18,43.75,43.99,43.34,43.74,43.74,8596898
2002-03-19,43.98,43.98,43.52,43.8,43.8,8110200
2002-03-20,43.64,43.67,43.33,43.53,43.53,8208602
2002-03-21,43.67,43.69,43.2,43.53,43.53,8108199
2002-03-22,43.5,43.66,43.12,43.47,43.47,9326699
2002-03-25,43.22,43.31,42.84,42.85,42.85,9524500
2002-03-26,42.95,43.75,42.95,43.74,43.74,11368000
2002-03-27,43.58,44.15,43.58,43.95,43.95,11202200
2002-03-28,44.05,44.29,43.71,43.83,43.83,9657602
2002-04-01,44.2,44.32,43.8,43.83,43.83,8932900
2002-04-02,43.9,44.58,43.87,44.38,44.38,8986700
2002-04-03,44.38,44.4,43.4,43.69,43.69,12815301
2002-04-04,44.1,44.1,42.95,43.15,43.15,13766200
2002-04-05,43.1,43.97,42.25,42.63,42.63,11357400
2002-04-08,43.35,43.69,43.03,43.24,43.24,9313102
2002-04-09,42.7,42.91,42.47,42.72,42.72,9255602
2002-04-10,42.5,43.18,42.5,43.18,43.18,10407301
2002-04-11,43.13,43.14,42.34,42.4,42.4,8666900
2002-04-12,41.95,42.1,41.25,41.3,41.3,13028801
2002-04-15,42.1,42.3,41.6,41.6,41.6,11332301
2002-04-16,41.99,42.5,41.9,42.28,42.28,10538700
2002-04-17,42.48,42.74,41.92,42.22,42.22,9391500
2002-04-18,42.52,42.75,42.05,42.46,42.46,9623301
2002-04-19,42.46,42.65,42.06,42.52,42.52,8621102
2002-04-22,42.45,42.5,41.64,41.85,41.85,8650900
2002-04-23,40.5,41.56,40.42,41.35,41.35,19170900
2002-04-24,41.05,41.17,40.2,40.3,40.3,13102000
2002-04-25,40.1,40.75,40.01,40.54,40.54,11666000
2002-04-26,40.6,40.71,39.8,40,40,10046602
2002-04-29,40,40.36,39.6,39.7,39.7,10034602
2002-04-30,40,40.7,39.89,40.17,40.17,12714700
2002-05-01,39.9,40.69,39.69,40.69,40.69,9875801
2002-05-02,40.59,40.85,40.31,40.8,40.8,9258500
2002-05-03,40.95,41.13,40.21,40.59,40.59,11052000
2002-05-06,40.12,40.17,39.12,39.25,39.25,9591801
2002-05-07,39.49,39.54,39.03,39.1,39.1,8866500
2002-05-08,38.85,40.15,38.85,40.01,40.01,12585200
2002-05-09,39.75,39.85,39.25,39.36,39.36,8352500
2002-05-10,39.8,39.8,38.75,38.96,38.96,9037301
2002-05-13,38.82,40.1,38.68,40.01,40.01,8910801
2002-05-14,40.47,40.78,40.07,40.58,40.58,9816600
2002-05-15,40,40.25,39.51,39.71,39.71,9883102
2002-05-16,39.95,40.38,39.94,40.27,40.27,7911801
2002-05-17,40.28,40.37,39.74,40.2,40.2,9978700
2002-05-20,39.95,40,39.5,39.59,39.59,8056801
2002-05-21,39.79,40.22,39.73,39.77,39.77,9555500
2002-05-22,40.02,40.59,39.84,40.43,40.43,8328600
2002-05-23,40.75,41.03,40.3,40.9,40.9,11039400
2002-05-24,41,41.1,40.01,40.23,40.23,7827400
2002-05-28,40,40.1,39.55,39.84,39.84,8668602
2002-05-29,39.7,40.42,39.51,40.3,40.3,9989900
2002-05-30,39.85,40.3,39.12,39.35,39.35,13837500
2002-05-31,39.6,40.44,39.58,39.93,39.93,12150200
2002-06-03,40,40.17,38.99,39.08,39.08,10263900
2002-06-04,39.07,39.64,38.74,39.23,39.23,10105900
2002-06-05,38.98,39.7,38.71,39.56,39.56,12714700
2002-06-06,39.98,40.17,38.91,39.15,39.15,10671400
2002-06-07,39.15,39.8,39.11,39.42,39.42,10863500
2002-06-10,39.42,39.55,38.96,39.13,39.13,7657000
2002-06-11,39.73,39.74,38.93,39.03,39.03,10123900
2002-06-12,39.2,39.95,39.14,39.7,39.7,11070400
2002-06-13,39.35,39.9,39.22,39.36,39.36,9612102
2002-06-14,39.3,39.35,38.5,39.15,39.15,10659301
2002-06-17,39.45,40.2,39.35,40.03,40.03,10600801
2002-06-18,40,40.17,39.69,39.93,39.93,8531000
2002-06-19,39.95,40.07,38.99,39.37,39.37,8469900
2002-06-20,39.41,40.08,39.41,39.74,39.74,12189700
2002-06-21,39,39.98,39,39.25,39.25,24886608
2002-06-24,39.25,40.12,39.25,40,40,13250200
2002-06-25,40.25,40.58,39.34,39.6,39.6,13526301
2002-06-26,39.6,39.8,38.9,39.45,39.45,14191000
2002-06-27,39.74,40.25,39.3,40.25,40.25,11142301
2002-06-28,40.1,41.02,40.07,40.92,40.92,13780900
2002-07-01,40.77,41.1,40.48,40.65,40.65,10505199
2002-07-02,40.8,40.85,39.8,40.16,40.16,11871500
2002-07-03,40.15,40.37,39.62,39.91,39.91,10466200
2002-07-05,39.95,40.52,39.79,40.52,40.52,5859602
2002-07-08,40.35,40.64,40.16,40.36,40.36,9932500
2002-07-09,40.35,40.53,39.7,39.8,39.8,10620500
2002-07-10,40.25,40.27,37.7,38.23,38.23,17564900
2002-07-11,38.23,38.5,37.06,37.1,37.1,20845008
2002-07-12,37.26,37.45,36.15,36.53,36.53,16169398
2002-07-15,36.1,36.3,33.87,35.75,35.75,23645400
2002-07-16,35.01,35.94,34.52,35.2,35.2,19740700
2002-07-17,35.9,36.39,35.3,35.61,35.61,16858000
2002-07-18,35.76,36.39,34.5,34.75,34.75,15296801
2002-07-19,33.65,34.49,31.7,32.4,32.4,27638900
2002-07-22,32.4,32.7,29.75,30.27,30.27,36083000
2002-07-23,30.7,31.25,29.99,30.92,30.92,33082704
2002-07-24,30.9,34.15,30.5,33.93,33.93,39491200
2002-07-25,33.94,34.7,33.09,33.9,33.9,26839400
2002-07-26,34,35.2,33.75,35.09,35.09,15832500
2002-07-29,35.9,36.45,35.34,36.33,36.33,16119400
2002-07-30,36.37,36.37,35.2,35.67,35.67,17310000
2002-07-31,35.52,36.88,35.25,36.76,36.76,18178800
2002-08-01,35.25,35.79,33.51,33.65,33.65,21654000
2002-08-02,33.85,34.25,32.8,33.61,33.61,16048500
2002-08-05,33.65,34.24,32.32,32.5,32.5,12727000
2002-08-06,33.15,34.25,33.07,33.4,33.4,13252700
2002-08-07,33.75,34.4,33,34.3,34.3,13860900
2002-08-08,34.31,36.01,34.1,36,36,15591700
2002-08-09,35.77,36.3,34.95,36.1,36.1,12980801
2002-08-12,35.27,35.95,35.1,35.73,35.73,9439000
2002-08-13,35.1,35.9,34.8,34.84,34.84,9547400
2002-08-14,35.4,36.5,34.91,36.39,36.39,11688301
2002-08-15,36.8,37.37,36.58,37.14,37.14,11510301
2002-08-16,37.09,37.23,36.51,36.85,36.85,11337900
2002-08-19,36.55,37.28,36.45,37.16,37.16,9356000
2002-08-20,36.91,37.06,35.61,36.18,36.18,11069800
2002-08-21,36.28,36.62,35.8,36.44,36.44,11093700
