year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,66460000000,7982000000,5866000000,561229000000,60456000000,62773000000,18208000000,-6226000000,44
2003,79421000000,11907000000,8099000000,674153000000,70222000000,72589000000,33241000000,-5460000000,62
2004,97666000000,14845000000,9983000000,798660000000,80806000000,85717000000,30716000000,-4860000000,75.4
2005,108905000000,15213000000,10477000000,853370000000,86689000000,99250000000,25138000000,-6193000000,80.6
2006,113387000000,21687000000,14048000000,979410000000,109455000000,135316000000,6287000000,-7106000000,107.8
2007,110064000000,8943000000,6200000000,1060505000000,106223000000,162935000000,35171000000,-5642000000,48
2008,6896000000,-106528000000,-99289000000,860418000000,62726000000,192590000000,-122000000,-1258000000,-753.82
2009,75352000000,-14307000000,-10949000000,847585000000,98076000000,136733000000,17591000000,-341000000,-80.91
2010,77526000000,17936000000,7786000000,657633000000,113673000000,106461000000,16556000000,-267000000,57
2011,65417000000,-901000000,20622000000,553054000000,110916000000,75253000000,-81000000,0,11.01
2012,71419000000,2891000000,3438000000,548633000000,99003000000,48500000000,3676000000,0,2.04
2013,69871000000,9368000000,9085000000,541329000000,101111000000,41693000000,5865000000,0,6.16
2014,64608000000,10501000000,7529000000,515581000000,107272000000,31217000000,5007000000,0,5.27
