year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,5523000000,-785000000,-1391900000,24456300000,18286000000,3048000000,2248800000,-658500000,-1.21
2003,8356000000,3091000000,2259500000,26176500000,19389000000,3080000000,3566600000,-1356800000,1.75
2004,10550000000,3348000000,2363000000,29221000000,19705000000,3937000000,3697000000,-1336000000,1.86
2005,12430000000,4848000000,3674000000,29297000000,20451000000,3957000000,4911000000,-867000000,2.97
2006,14268000000,3840000000,2950000000,33788000000,18964000000,7134000000,5389000000,-1218000000,2.51
2007,14771000000,3980000000,3166000000,34639000000,17869000000,9177000000,5401000000,-1267000000,2.83
2008,15003000000,5214000000,4196000000,36443000000,20386000000,9176000000,5988000000,-672000000,3.79
2009,14642000000,5506000000,4605000000,39629000000,22667000000,10601000000,6336000000,-530000000,4.53
2010,15053000000,5545000000,4627000000,43486000000,23944000000,10874000000,5787000000,-580000000,4.82
2011,15582000000,4312000000,3683000000,48871000000,19029000000,21344000000,5119000000,-567000000,4.07
2012,17265000000,5577000000,4345000000,54298000000,19060000000,24034000000,5882000000,-689000000,5.61
2013,18676000000,5867000000,5081000000,66125000000,22096000000,29623000000,6291000000,-693000000,6.75
2014,20063000000,6191000000,5158000000,69009000000,25778000000,30215000000,8555000000,-1003000000,6.8
