year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,54069000000,3868000000,492000000,52342000000,7696000000,12589000000,4375000000,-1001000000,0.62
2003,50485000000,449000000,718000000,53035000000,8139000000,13299000000,3881000000,-741000000,0.9
2004,52457000000,2246000000,1830000000,53963000000,11286000000,10879000000,3458000000,-978000000,2.33
2005,53621000000,2563000000,2562000000,60058000000,11059000000,9538000000,7000000000,-1547000000,3.27
2006,61530000000,3641000000,2206000000,51794000000,4739000000,8157000000,7499000000,-1681000000,2.89
2007,66387000000,5580000000,4058000000,58986000000,9004000000,7455000000,9584000000,-1731000000,5.38
2008,60909000000,3671000000,2654000000,53779000000,-1294000000,6952000000,-401000000,-1852000000,3.7
2009,68281000000,1871000000,1335000000,62053000000,2225000000,12217000000,5603000000,-1186000000,1.86
2010,64306000000,4698000000,3311000000,68565000000,2862000000,11473000000,2952000000,-1127000000,4.49
2011,68735000000,5542000000,4011000000,79986000000,3608000000,9880000000,4023000000,-1713000000,5.39
2012,81698000000,6039000000,3895000000,88896000000,5967000000,8890000000,7508000000,-1710000000,5.15
2013,86623000000,6328000000,4579000000,92663000000,14997000000,7989000000,8179000000,-2238000000,6.03
2014,90762000000,7196000000,5440000000,99198000000,8790000000,8044000000,8858000000,-2236000000,7.47
