year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,46362000000,12991000000,9249000000,660951000000,56350000000,61145000000,-12007000000,-939000000,3.04
2003,49006000000,15861000000,10810000000,736445000000,47980000000,75343000000,24313000000,-209000000,3.64
2004,64658000000,20908000000,13947000000,1110457000000,99645000000,98078000000,-3522000000,-863000000,3.71
2005,82852000000,24480000000,16465000000,1291803000000,101533000000,100848000000,-12223000000,-1228000000,4.1
2006,113578000000,31973000000,21133000000,1459737000000,135272000000,146515000000,14509000000,-748000000,4.66
2007,115632000000,20924000000,14982000000,1715746000000,146803000000,197508000000,11036000000,-2143000000,3.32
2008,112567000000,4428000000,4008000000,1817943000000,177052000000,268292000000,4034000000,-2098000000,0.56
2009,140436000000,4360000000,6276000000,2230232000000,231444000000,438521000000,129731000000,-2240000000,-0.29
2010,128934000000,-1323000000,-2238000000,2264909000000,228248000000,448431000000,82594000000,-987000000,-0.37
2011,107714000000,-230000000,1446000000,2129046000000,230101000000,372265000000,64490000000,-1307000000,0.01
2012,98008000000,3072000000,4188000000,2209974000000,236956000000,275585000000,-16056000000,0,0.26
2013,98796000000,16172000000,11431000000,2102273000000,232685000000,249674000000,92817000000,-521000000,0.94
2014,96829000000,7963000000,5520000000,2104534000000,243471000000,243139000000,30795000000,-1160000000,0.36
