year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,92556000000,20446000000,15276000000,1097590000000,86718000000,133079000000,29885000000,-1377000000,29.9
2003,94713000000,26048000000,17853000000,1264032000000,98014000000,168759000000,-14854000000,-2354000000,34.9
2004,101639000000,22736000000,17046000000,1484101000000,109291000000,207910000000,-2109000000,-3011000000,33.2
2005,120318000000,29433000000,24589000000,1494037000000,112537000000,217499000000,31799000000,-3724000000,48.4
2006,142010000000,28489000000,21538000000,1884318000000,119783000000,288494000000,-165000000,-4035000000,43.9
2007,153258000000,646000000,3617000000,2187480000000,113447000000,427112000000,-71551000000,-4003000000,6.8
2008,104847000000,-52355000000,-27684000000,1938470000000,144022000000,359593000000,97686000000,-3780000000,-56.3
2009,108187000000,-7799000000,-1606000000,1856646000000,154973000000,364019000000,-54610000000,-2264000000,-8
2010,111697000000,13184000000,10602000000,1913902000000,165789000000,381183000000,35686000000,-2363000000,3.65
2011,101540000000,14722000000,11067000000,1873878000000,179573000000,323505000000,64795000000,-3448000000,3.73
2012,89802000000,7825000000,7407000000,1864660000000,190997000000,239463000000,-10362000000,-3604000000,2.51
2013,92901000000,19802000000,13659000000,1880382000000,206133000000,221116000000,63244000000,-3490000000,4.26
2014,90909000000,14701000000,7310000000,1842181000000,211696000000,223080000000,46343000000,-3386000000,2.21
