year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,9294300000,2013100000,1288300000,7087200000,350300000,3210800000,1611200000,-343700000,1.17
2003,9903400000,2166000000,1421300000,7478800000,887100000,2684900000,1767700000,-302100000,1.3
2004,10584200000,2201500000,1327100000,8672900000,1506400000,3089500000,1754300000,-348100000,1.23
2005,11396900000,2370600000,1351400000,8507100000,1350100000,2918000000,1784400000,-389200000,1.27
2006,12237700000,2572400000,1353400000,9138000000,1410900000,2720400000,1821500000,-476400000,1.29
2007,13789700000,2937500000,1737400000,10112000000,2396100000,3221900000,2203700000,-583100000,1.68
2008,15329900000,3325100000,1957200000,9979300000,1922100000,3585300000,2302000000,-684000000,1.91
2009,15327000000,3742000000,2291000000,11134000000,3257000000,2821000000,3277000000,-575000000,2.27
2010,15564000000,3764000000,2203000000,11172000000,2817000000,2815000000,3211000000,-550000000,2.23
2011,16734000000,3867000000,2431000000,12724000000,2541000000,4430000000,2896000000,-537000000,2.49
2012,17085000000,4006000000,2472000000,13394000000,2390000000,4926000000,3196000000,-565000000,2.6
2013,17420000000,4131000000,2241000000,13876000000,2536000000,4749000000,3204000000,-670000000,2.41
2014,17277000000,4185000000,2180000000,13459000000,1385000000,5644000000,3298000000,-757000000,2.38
