year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,18915000000,2919000000,1893000000,37795000000,28671000000,0,6587000000,-2641000000,0.26
2003,18878000000,4882000000,3578000000,37107000000,28039000000,0,5240000000,-717000000,0.5
2004,22045000000,6292000000,4401000000,35594000000,25916000000,0,7121000000,-613000000,0.64
2005,24801000000,7416000000,5741000000,33883000000,23184000000,0,7568000000,-692000000,0.88
2006,28484000000,6996000000,5580000000,43315000000,23918000000,6332000000,7899000000,-772000000,0.91
2007,34922000000,8621000000,7333000000,53340000000,31490000000,6408000000,10104000000,-1251000000,1.21
2008,39540000000,9442000000,8052000000,58734000000,34402000000,6393000000,12089000000,-1268000000,1.35
2009,36117000000,7322000000,6134000000,68128000000,38677000000,10295000000,9897000000,-1005000000,1.05
2010,40040000000,9164000000,7767000000,81130000000,44285000000,12188000000,10173000000,-1008000000,1.36
2011,43218000000,7674000000,6490000000,87095000000,47259000000,16234000000,10079000000,-1174000000,1.17
2012,46061000000,10462000000,8041000000,91759000000,51301000000,16297000000,11491000000,-1126000000,1.5
2013,48607000000,11342000000,9983000000,101191000000,59128000000,12928000000,12894000000,-1160000000,1.87
2014,47142000000,9345000000,7853000000,105070000000,56661000000,20337000000,12332000000,-1275000000,1.5
