year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,98537000000,14100000000,1132000000,77359000000,31907000000,10666000000,9941000000,-7597000000,0.53
2003,121277000000,20325000000,7230000000,81470000000,36563000000,10651000000,12315000000,-5625000000,3.48
2004,155300000000,29010000000,13328000000,93208000000,45402000000,10217000000,14690000000,-6310000000,6.3
2005,198200000000,34494000000,14099000000,125833000000,62876000000,11807000000,20105000000,-8701000000,6.58
2006,210118000000,32497000000,17138000000,132628000000,69144000000,7405000000,24323000000,-13813000000,7.84
2007,220904000000,32440000000,18688000000,148786000000,77292000000,5664000000,24977000000,-16678000000,8.83
2008,267639000000,37691000000,23931000000,161165000000,87117000000,5742000000,29632000000,-19666000000,11.74
2009,168320000000,7131000000,10483000000,164621000000,92561000000,9829000000,19373000000,-19843000000,5.26
2010,198198000000,25375000000,19024000000,184769000000,105811000000,11003000000,31359000000,-19612000000,2.65
2011,244371000000,38299000000,26895000000,209474000000,122181000000,9684000000,41098000000,-26500000000,13.54
2012,230590000000,35013000000,26179000000,232982000000,137832000000,11966000000,38812000000,-30938000000,13.42
2013,220156000000,27213000000,21423000000,253753000000,150427000000,19960000000,35002000000,-37985000000,11.18
2014,200494000000,19726000000,19241000000,266026000000,156191000000,23960000000,31475000000,-35407000000,10.21
