year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,27609000000,1100000000,-338000000,39562000000,7992000000,11659000000,2108000000,-1623000000,-1.11
2003,32632000000,2019000000,1730000000,41891000000,9551000000,11763000000,3780000000,-1100000000,5.64
2004,40161000000,3391000000,2797000000,45885000000,12719000000,11629000000,2670000000,-1333000000,8.94
2005,46307000000,5444000000,4535000000,45934000000,15660000000,9186000000,4515000000,-1860000000,14.07
2006,49124000000,4777000000,3724000000,45581000000,17430000000,8036000000,4160000000,-1983000000,11.61
2007,53513000000,3967000000,2887000000,48801000000,19803000000,7581000000,4547000000,-2105000000,9.09
2008,57180000000,2346000000,579000000,45474000000,13580000000,8042000000,4717000000,-2339000000,1.86
2009,44875000000,1825000000,648000000,65937000000,21124000000,19152000000,2084000000,-2396000000,0.96
2010,53674000000,3339000000,2310000000,69588000000,22642000000,20605000000,4131000000,-2175000000,5.25
2011,59985000000,4165000000,2712000000,69224000000,23291000000,18310000000,3879000000,-2830000000,6.18
2012,56786000000,4069000000,1169000000,69605000000,21867000000,19919000000,4075000000,-2614000000,2.13
2013,57018000000,4465000000,4749000000,69501000000,27924000000,16820000000,7823000000,-2302000000,11.16
2014,58076000000,5564000000,3745000000,68687000000,23354000000,18741000000,6502000000,-3620000000,8.73
