year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,13748000000,1905000000,122000000,14545000000,5741000000,2990000000,1818000000,-384000000,0.14
2003,13958000000,1963000000,1089000000,15194000000,6460000000,3733000000,1731000000,-337000000,1.3
2004,15615000000,2264000000,1257000000,16361000000,7238000000,3136000000,2216000000,-400000000,1.5
2005,17305000000,2560000000,1422000000,17227000000,7400000000,3128000000,2187000000,-518000000,1.715
2006,19734000000,3006000000,1845000000,18672000000,8330000000,3128000000,2512000000,-601000000,2.26
2007,22131000000,3433000000,2136000000,19680000000,8963000000,3372000000,3016000000,-681000000,2.69
2008,24807000000,3779000000,2412000000,21040000000,9113000000,3297000000,3293000000,-714000000,3.09
2009,20102000000,3144000000,1724000000,19763000000,8706000000,3998000000,3086000000,-531000000,2.29
2010,21039000000,3509000000,2164000000,22843000000,9952000000,4586000000,3292000000,-524000000,2.8826
2011,24222000000,3887000000,2480000000,23861000000,10551000000,4324000000,3233000000,-647000000,3.3133
2012,24412000000,3972000000,1968000000,23818000000,10442000000,3787000000,3053000000,-665000000,2.6937
2013,24669000000,4006000000,2004000000,24711000000,10718000000,4055000000,3649000000,-678000000,2.7922
2014,17733000000,3503000000,2147000000,24177000000,10167000000,3559000000,3692000000,-767000000,3.0663
