year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,13829000000,1582000000,917000000,11731000000,5199000000,718000000,1125000000,-264000000,2.28
2003,16369000000,1445000000,1004000000,16183000000,5921000000,3296000000,1723000000,-224000000,2.54
2004,19119000000,1944000000,1227000000,17544000000,7189000000,3291000000,1802000000,-266000000,3.08
2005,20975000000,2179000000,1461000000,19591000000,8145000000,2781000000,2056000000,-279000000,3.64
2006,24063000000,2625000000,1856000000,22376000000,9827000000,2774000000,2128000000,-334000000,4.6
2007,27240000000,3113000000,2072000000,25733000000,11768000000,2118000000,2925000000,-474000000,5.12
2008,29300000000,3653000000,2459000000,28373000000,10053000000,3113000000,3110000000,-490000000,6.21
2009,31981000000,3675000000,2394000000,31077000000,12423000000,3159000000,2840000000,-385000000,6.21
2010,32466000000,3945000000,2624000000,32545000000,13316000000,2430000000,2986000000,-370000000,6.88
2011,32677000000,3826000000,2526000000,34883000000,13232000000,3907000000,3238000000,-458000000,6.94
2012,30992000000,765000000,-332000000,34309000000,11390000000,3908000000,2687000000,-450000000,-0.94
2013,30930000000,3689000000,2357000000,35448000000,14501000000,3908000000,3106000000,-440000000,6.72
2014,30852000000,3889000000,2533000000,35355000000,11829000000,3410000000,3728000000,-521000000,7.56
