year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,132210000000,29433000000,14118000000,575244000000,69179000000,140632000000,29488000000,-13351000000,11.36
2003,112886000000,28379000000,15236000000,647483000000,84960000000,170004000000,30289000000,-9767000000,12.16
2004,134291000000,32641000000,17160000000,750330000000,126667000000,213161000000,36484000000,-13118000000,13.2
2005,136580000000,36905000000,16720000000,689458000000,117405000000,212281000000,37641000000,-14441000000,12.64
2006,151568000000,43029000000,20742000000,717792000000,119892000000,260804000000,30646000000,-16650000000,16
2007,172488000000,51290000000,22208000000,817410000000,123563000000,319015000000,45967000000,-17870000000,17.44
2008,181581000000,45528000000,17410000000,822442000000,113612000000,330067000000,48601000000,-16010000000,13.76
2009,155278000000,28304000000,11025000000,807870000000,125136000000,377138000000,24593000000,-8634000000,8.08
2010,148416000000,69618000000,11644000000,778974000000,124198000000,350182000000,36123000000,-9800000000,8.55
2011,141479000000,69271000000,14151000000,747930000000,118134000000,305118000000,33359000000,-12650000000,9.93
2012,144121000000,29384000000,13641000000,717258000000,128470000000,303573000000,31331000000,-15126000000,10.32
2013,110137000000,12351000000,13057000000,684793000000,136783000000,296103000000,28579000000,-13458000000,5.95
2014,116406000000,15854000000,15233000000,676762000000,136931000000,190999000000,27710000000,-13727000000,12.08
