year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,58247000000,5830000000,3664000000,30011000000,19802000000,1321000000,4802000000,-2749000000,1.57
2003,64816000000,6846000000,4304000000,34437000000,22407000000,856000000,6545000000,-4106000000,1.88
2004,73094000000,7926000000,5001000000,38907000000,24158000000,2148000000,6904000000,-3948000000,2.27
2005,81511000000,9363000000,5838000000,44405000000,26909000000,2672000000,6620000000,-3881000000,2.73
2006,79022000000,8866000000,5761000000,52263000000,25030000000,11643000000,7661000000,-3542000000,2.8
2007,77349000000,7242000000,4395000000,44324000000,17714000000,11383000000,5727000000,-3558000000,2.38
2008,71288000000,4359000000,2260000000,41164000000,17777000000,9667000000,5528000000,-1847000000,1.34
2009,66176000000,4803000000,2661000000,40877000000,19393000000,8662000000,5125000000,-966000000,1.58
2010,67997000000,5839000000,3338000000,40125000000,18889000000,8707000000,4585000000,-1096000000,2.03
2011,70395000000,6661000000,3883000000,40518000000,17898000000,10758000000,6651000000,-1221000000,2.49
2012,74754000000,7766000000,4535000000,41084000000,17777000000,9475000000,6975000000,-1312000000,3.03
2013,78812000000,9166000000,5385000000,40518000000,12522000000,14691000000,7628000000,-1389000000,3.78
2014,83176000000,10469000000,6345000000,39946000000,9322000000,16869000000,8242000000,-1442000000,4.74
