year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,22274000000,1902000000,-220000000,27565000000,8925000000,4719000000,2380000000,-671000000,-0.27
2003,23103000000,1918000000,1324000000,29314000000,10729000000,4961000000,2199000000,-655000000,1.52
2004,25601000000,2346000000,1281000000,31062000000,11252000000,4069000000,2253000000,-629000000,1.45
2005,27652000000,2821000000,1655000000,31633000000,10762000000,3082000000,2442000000,-684000000,1.93
2006,31367000000,3544000000,2083000000,30941000000,9720000000,3909000000,3211000000,-733000000,2.54
2007,34589000000,4267000000,2444000000,33805000000,9222000000,5419000000,3911000000,-767000000,3.2
2008,36556000000,4541000000,2792000000,35490000000,7269000000,5865000000,3791000000,-884000000,3.79
2009,30854000000,2929000000,2153000000,35993000000,8971000000,6246000000,3946000000,-609000000,2.06
2010,32369000000,3609000000,2022000000,37834000000,10787000000,5755000000,4203000000,-651000000,2.61
2011,36500000000,3332000000,2067000000,39808000000,10902000000,6881000000,2833000000,-798000000,2.65
2012,37672000000,4612000000,2926000000,41853000000,13215000000,6395000000,3517000000,-884000000,3.74
2013,39062000000,6187000000,3924000000,45435000000,17746000000,6801000000,4335000000,-947000000,4.99
2014,40301000000,6429000000,4239000000,45451000000,18003000000,6046000000,5024000000,-1094000000,5.4
