year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,81186000000,6796000000,3579000000,96484000000,22782000000,19986000000,13788000000,-5350000000,2.1
2003,89131000000,8632000000,6558000000,104457000000,27864000000,16986000000,14537000000,-4974000000,4.4
2004,96293000000,9616000000,7479000000,109183000000,29747000000,14828000000,15349000000,-5056000000,5.03
2005,91134000000,9376000000,7934000000,105748000000,33098000000,15425000000,14914000000,-4634000000,4.96
2006,91424000000,11929000000,9492000000,103234000000,28506000000,13780000000,15019000000,-5166000000,6.2
2007,98786000000,13516000000,10418000000,120431000000,28470000000,23039000000,16089000000,-5505000000,7.32
2008,103630000000,15939000000,12334000000,109524000000,13465000000,22689000000,18812000000,-4887000000,9.07
2009,95758000000,17012000000,13425000000,109022000000,22755000000,21932000000,20773000000,-4077000000,10.12
2010,99871000000,19985000000,14833000000,113452000000,23172000000,21846000000,19549000000,-4754000000,11.69
2011,106916000000,21922000000,15855000000,116433000000,20235000000,22857000000,19846000000,-4667000000,13.25
2012,102874000000,22990000000,16604000000,119213000000,18984000000,24088000000,19586000000,-4717000000,14.53
2013,98368000000,21500000000,16483000000,126223000000,22929000000,32856000000,17485000000,-4140000000,15.06
2014,92793000000,20338000000,12022000000,117532000000,12014000000,34991000000,16868000000,-4183000000,11.97
