year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,26764000000,4382000000,3117000000,44224000000,35468000000,929000000,9129000000,-4703000000,0.47
2003,30141000000,7533000000,5641000000,47143000000,37846000000,936000000,11515000000,-3656000000,0.86
2004,34209000000,10130000000,7516000000,48143000000,38579000000,703000000,13119000000,-3843000000,1.17
2005,38826000000,12090000000,8664000000,48314000000,36182000000,2106000000,14823000000,-5818000000,1.42
2006,35382000000,5652000000,5044000000,48368000000,36752000000,1848000000,10620000000,-5779000000,0.87
2007,38334000000,8216000000,6976000000,55651000000,42762000000,1980000000,12625000000,-5000000000,1.2
2008,37586000000,8954000000,5292000000,50715000000,39088000000,1886000000,10926000000,-5197000000,0.93
2009,35127000000,5711000000,4369000000,53095000000,41704000000,2049000000,11170000000,-4515000000,0.79
2010,43623000000,15912000000,11672000000,63138000000,49638000000,2077000000,16692000000,-5207000000,2.1
2011,53999000000,17477000000,12942000000,71119000000,45911000000,7084000000,20963000000,-10764000000,2.46
2012,53341000000,14638000000,11005000000,84351000000,51203000000,13136000000,18884000000,-11842000000,2.2
2013,52708000000,12291000000,9620000000,92358000000,58256000000,13165000000,20776000000,-10747000000,1.94
2014,55870000000,15347000000,11704000000,91956000000,55865000000,13019000000,20418000000,-10197000000,2.39
