year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,36298000000,9678000000,6597000000,40556000000,22697000000,2022000000,8176000000,-2099000000,2.2
2003,41862000000,10871000000,7197000000,48263000000,26869000000,2955000000,10595000000,-2262000000,2.42
2004,47348000000,12356000000,8180000000,53317000000,31813000000,2565000000,11131000000,-2175000000,2.75
2005,50514000000,12831000000,10060000000,58864000000,38710000000,2017000000,11877000000,-2632000000,3.38
2006,53324000000,13709000000,11053000000,70556000000,39318000000,2014000000,14248000000,-2738000000,3.76
2007,61095000000,15213000000,10576000000,80954000000,43319000000,7074000000,15249000000,-3310000000,3.67
2008,63747000000,16169000000,12949000000,84912000000,42511000000,8120000000,14972000000,-3066000000,4.67
2009,61897000000,16663000000,12266000000,94682000000,50588000000,8223000000,16571000000,-2365000000,4.45
2010,61587000000,16527000000,13334000000,102908000000,56579000000,9156000000,16385000000,-2384000000,4.86
2011,65030000000,16153000000,9672000000,113644000000,57080000000,12969000000,14298000000,-2893000000,3.54
2012,67224000000,17032000000,10853000000,121347000000,64826000000,11489000000,15396000000,-2934000000,3.91
2013,71312000000,18957000000,13831000000,132683000000,74053000000,13328000000,17414000000,-3595000000,4.9
2014,74331000000,21137000000,16323000000,130358000000,0,15122000000,18471000000,-3714000000,5.86
