year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,43372000000,2519000000,1663000000,758800000000,42306000000,45190000000,-25134000000,0,0.81
2003,44363000000,10028000000,6719000000,770912000000,58449000000,54782000000,14601000000,0,3.32
2004,56305000000,5856000000,4466000000,1157248000000,153714000000,105718000000,-15147000000,0,1.59
2005,79768000000,11839000000,8483000000,1198942000000,107211000000,130365000000,-30236000000,0,2.43
2006,99864000000,19886000000,14444000000,1351520000000,131974000000,163683000000,-49579000000,0,4.16
2007,116353000000,22805000000,15365000000,1562147000000,137237000000,227845000000,-110560000000,0,4.38
2008,101491000000,2773000000,5605000000,2175052000000,177445000000,391891000000,23930000000,17622000000,1.41
2009,115632000000,16067000000,10025000000,2031989000000,165365000000,322058000000,122797000000,0,2.27
2010,115475000000,24859000000,16406000000,2117605000000,176106000000,304978000000,-3752000000,0,3.98
2011,110838000000,26749000000,18197000000,2265792000000,183573000000,256775000000,95932000000,0,4.5
2012,108074000000,28917000000,20530000000,2359141000000,204069000000,275660000000,25079000000,0,5.22
2013,106717000000,26675000000,17886000000,2415689000000,211178000000,295883000000,107953000000,0,4.38
2014,103009000000,30699000000,21745000000,2572274000000,231727000000,306601000000,36593000000,0,5.33
