year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,19564000000,5458000000,3050000000,24501000000,11800000000,2701000000,4742000000,-851000000,0.62
2003,21044000000,5221000000,4347000000,27342000000,14090000000,2517000000,5456000000,-812000000,0.89
2004,21742000000,5698000000,4847000000,31327000000,15935000000,1157000000,5968000000,-755000000,1
2005,23104000000,6085000000,4872000000,29427000000,16355000000,1154000000,6423000000,-899000000,1.02
2006,24088000000,6308000000,5080000000,29963000000,16920000000,1314000000,5957000000,-1407000000,1.08
2007,28857000000,7252000000,5981000000,43269000000,21744000000,3277000000,7150000000,-1648000000,1.3
2008,31944000000,8446000000,5807000000,40519000000,20472000000,2781000000,7571000000,-1968000000,1.25
2009,30990000000,8231000000,6824000000,48671000000,25346000000,5059000000,8186000000,-1993000000,1.48
2010,35119000000,8413000000,11787000000,72921000000,31317000000,14041000000,9532000000,-2215000000,2.56
2011,46542000000,10173000000,8584000000,79974000000,31921000000,13656000000,9474000000,-2920000000,1.89
2012,48017000000,10779000000,9019000000,86174000000,33168000000,14736000000,10645000000,-2780000000,2
2013,46854000000,10228000000,8584000000,90055000000,33440000000,19154000000,10542000000,-2550000000,1.94
2014,45998000000,9708000000,7098000000,92023000000,30561000000,19063000000,10615000000,-2406000000,1.62
