year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,11077500000,3327700000,2707900000,19042000000,8273600000,4358200000,2070700000,-1130900000,2.51
2003,12582500000,3501800000,2560800000,21678100000,9764800000,4687800000,3646700000,-1706600000,2.38
2004,13857900000,3658700000,1810100000,24867000000,10919900000,4491900000,2869500000,-1898100000,1.67
2005,14645300000,3648600000,1979600000,24580800000,10791900000,5763500000,1913600000,-1298100000,1.82
2006,15691000000,4125400000,2662700000,21955400000,10980700000,3494400000,3975900000,-1077800000,2.45
2007,18633500000,4802900000,2953000000,26787800000,13503900000,4593500000,5154500000,-1082400000,2.71
2008,20371900000,5527900000,-2071900000,29212600000,6735300000,4615700000,7295600000,-947200000,-1.89
2009,21836000000,6370000000,4328800000,27460900000,9525300000,6634700000,4335500000,-855000000,3.94
2010,23076000000,6772200000,5069500000,31001400000,12412800000,6770500000,6856800000,-1186700000,4.58
2011,24286500000,6317900000,4347700000,33659800000,13535600000,5464700000,7234500000,-1692900000,3.9
2012,22603400000,5015300000,4088600000,34398900000,14773900000,5519400000,5304800000,-1044200000,3.57
2013,23113100000,5548100000,4684800000,35248700000,17640700000,4200300000,5735000000,-1093300000,4.19
2014,19615600000,3328700000,2390500000,36307600000,15388100000,5349200000,4458400000,-1565900000,2.15
