year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,26491000000,2541000000,1491000000,16109000000,8302000000,3736000000,2696000000,-2362000000,0.95
2003,30838000000,3124000000,1844000000,19042000000,10309000000,3678000000,3054000000,-2345000000,1.16
2004,36464000000,3743000000,2176000000,21138000000,11535000000,2637000000,3073000000,-2939000000,1.39
2005,43243000000,4670000000,2771000000,24639000000,14339000000,3075000000,3842000000,-3379000000,1.78
2006,46927000000,5157000000,3105000000,27767000000,15725000000,3959000000,4502000000,-3916000000,2.02
2007,48283000000,4733000000,2809000000,30869000000,16098000000,5235000000,4347000000,-4010000000,1.9
2008,48230000000,3821000000,2195000000,32686000000,18055000000,4725000000,4122000000,-3266000000,1.5
2009,47220000000,3219000000,1783000000,33005000000,19069000000,4223000000,4054000000,-1799000000,1.21
2010,48815000000,3625000000,2010000000,33699000000,18112000000,6219000000,3852000000,-1329000000,1.43
2011,50208000000,3741000000,1839000000,33559000000,16533000000,6669000000,4349000000,-1829000000,1.43
2012,50521000000,3646000000,1959000000,32666000000,13857000000,8655000000,3762000000,-1211000000,1.69
2013,53417000000,4195000000,2286000000,32732000000,11853000000,9698000000,4111000000,-940000000,2.14
2014,56223000000,4820000000,2698000000,31827000000,9968000000,10324000000,4929000000,-880000000,2.71
