year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,15405700000,2112900000,893500000,23970500000,10280900000,9703600000,2890100000,-2552200000,0.7
2003,17140500000,2832200000,1471400000,25838000000,11981900000,9342500000,3268800000,-1683200000,1.16
2004,18594000000,3537900000,2278500000,27837500000,14201500000,8357300000,3903600000,-1569000000,1.81
2005,19117300000,3984000000,2602200000,29988800000,15146100000,8934300000,4336800000,-1606800000,2.06
2006,20895200000,4433000000,3544200000,28974500000,15458300000,8389900000,4341500000,-1741900000,2.87
2007,22786600000,3879000000,2395100000,29391700000,15279800000,7310000000,4876300000,-1946600000,2.02
2008,23522400000,6442900000,4313200000,28461500000,13382600000,10186000000,5917200000,-2135700000,3.83
2009,22744700000,6841000000,4551000000,30224900000,14033900000,10560300000,5751000000,-1952100000,4.17
2010,24074600000,7473100000,4946300000,31975200000,14634200000,11497000000,6341600000,-2135500000,4.64
2011,27006000000,8529700000,5503100000,32989900000,14390200000,12133800000,7150100000,-2729800000,5.33
2012,27567000000,8604600000,5464800000,35386500000,15293600000,13632500000,6966100000,-3049200000,5.41
2013,28105700000,8764300000,5585900000,36626300000,16009700000,14129800000,7120700000,-2824700000,5.59
2014,27441300000,7949200000,4757800000,34227400000,12853400000,14935700000,6730300000,-2583400000,4.85
