year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,6410800000,2149000000,984000000,10904500000,6431100000,9500000,1590200000,-386400000,0.81
2003,7665200000,2653600000,1599800000,12320800000,7906400000,1980300000,2078200000,-380400000,1.31
2004,9087200000,3181400000,1959300000,14110800000,9077000000,1100000,2845800000,-424600000,1.61
2005,10054600000,3444000000,1803900000,16617400000,10449500000,1973000000,2819400000,-452000000,1.49
2006,11292000000,3705000000,2546700000,19664800000,9382500000,5486000000,2207400000,-1244200000,2.11
2007,12299000000,3739000000,2802000000,19512000000,10977000000,5578000000,2979000000,-694000000,2.44
2008,13515000000,3651000000,2231000000,22198000000,11536000000,5802000000,3489000000,-606000000,1.97
2009,14599000000,3464000000,2169000000,23661000000,12851000000,6253000000,3878000000,-663000000,1.85
2010,15817000000,4787000000,3099000000,28090000000,14629000000,6944000000,4131000000,-635000000,2.8
2011,15933000000,4460000000,3096000000,30424000000,15968000000,7902000000,3741000000,-548000000,2.87
2012,16184000000,4483000000,3617000000,33083000000,17113000000,7027000000,4381000000,-528000000,3.43
2013,16590000000,4402000000,3467000000,34794000000,18671000000,9539000000,4883000000,-457000000,3.4
2014,17005000000,3813000000,3065000000,37943000000,19443000000,10120000000,4959000000,-396000000,3.06
