year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,16332000000,3046000000,1974000000,15329000000,5993000000,2140000000,2992000000,-763000000,2.53
2003,18232000000,3713000000,2403000000,17600000000,7885000000,1735000000,3773000000,-677000000,3.07
2004,20011000000,4578000000,2990000000,20708000000,10378000000,727000000,4282000000,-937000000,3.83
2005,21167000000,4884000000,3146000000,20513000000,10395000000,1309000000,4258000000,-943000000,4.18
2006,22923000000,5157000000,3851000000,21294000000,9959000000,1047000000,3839000000,-1168000000,5.15
2007,24462000000,5385000000,4096000000,24694000000,11747000000,4019000000,4275000000,-1422000000,5.7
2008,25269000000,5509000000,3460000000,25547000000,10304000000,5166000000,4533000000,-1471000000,4.95
2009,23123000000,4986000000,3193000000,27250000000,13302000000,5097000000,4941000000,-903000000,4.56
2010,26662000000,5989000000,4085000000,30156000000,16017000000,4183000000,5174000000,-1091000000,5.72
2011,29611000000,6258000000,4283000000,31616000000,15862000000,4484000000,5284000000,-1379000000,6.05
2012,29904000000,6476000000,4444000000,33876000000,18040000000,4916000000,5300000000,-1484000000,6.4
2013,30871000000,6660000000,4659000000,33550000000,17948000000,4326000000,5817000000,-1665000000,6.83
2014,31821000000,7120000000,4956000000,31269000000,13142000000,6731000000,6626000000,-1493000000,7.63
