year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,61707000000,16448000000,11102000000,87540000000,23844000000,21355000000,10612000000,-2009000000,5.26
2003,60192000000,15759000000,9204000000,96175000000,29837000000,21163000000,10816000000,-1974000000,4.54
2004,63963000000,15180000000,9416000000,101648000000,35478000000,18683000000,10890000000,-1913000000,4.6
2005,63741000000,11840000000,7937000000,107949000000,39848000000,17868000000,11060000000,-2206000000,5.04
2006,15173000000,4518000000,12022000000,104270000000,43147000000,14498000000,13586000000,-2454000000,5.76
2007,15212000000,4373000000,9786000000,57211000000,18554000000,7963000000,10304000000,-1458000000,4.66
2008,15957000000,4882000000,4930000000,27215000000,2828000000,7339000000,4881000000,-241000000,2.38
2009,16824000000,5462000000,3206000000,36677000000,4072000000,11185000000,3443000000,-273000000,1.55
2010,16892000000,6228000000,3905000000,37402000000,5227000000,12194000000,2767000000,-168000000,1.87
2011,16619000000,6068000000,3390000000,36962000000,3715000000,13089000000,3613000000,-105000000,1.64
2012,17500000000,7253000000,4180000000,35329000000,3139000000,12419000000,3903000000,-124000000,2.06
2013,17663000000,8084000000,4535000000,34859000000,4117000000,13992000000,4375000000,-131000000,2.26
2014,17945000000,7620000000,5070000000,34475000000,3006000000,13693000000,4663000000,-163000000,2.56
