year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,21445800000,9089300000,7149500000,47561200000,23128800000,4879000000,9528700000,-2369700000,3.17
2003,22485900000,8568800000,6830900000,40587500000,19491600000,5096000000,9862400000,-1915900000,2.97
2004,22972800000,6758200000,5830100000,42572800000,19695100000,4691500000,8799100000,-1726100000,2.63
2005,22011900000,5858800000,4631300000,44845800000,20384900000,5125600000,7608500000,-1402700000,2.11
2006,22636000000,3686600000,4433800000,44569800000,19965800000,5551000000,6765200000,-980200000,2.04
2007,24197700000,5617500000,3275400000,48350700000,20591400000,3915800000,6999200000,-1011000000,-1.04
2008,23850000000,6085000000,7808000000,47195700000,21167100000,3943300000,6571700000,-1298300000,3.65
2009,27428000000,4021000000,12899000000,112314000000,61485000000,16095000000,3392000000,-1460600000,4.15
2010,45987000000,3355000000,861000000,105781000000,56805000000,15482000000,10822000000,-1678000000,0.28
2011,48047000000,8976000000,6272000000,105128000000,56943000000,15525000000,12383000000,-1723000000,2.06
2012,47267000000,9877000000,6168000000,106132000000,55463000000,16254000000,10022000000,-1954000000,2.2
2013,44033000000,7665000000,4404000000,105645000000,52326000000,20539000000,11654000000,-1548000000,1.5
2014,42237000000,6683000000,11920000000,98167000000,48791000000,18699000000,7860000000,-2317000000,4.2
