year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,28365000000,11910000000,7829000000,67646000000,52180000000,0,14509000000,-770000000,0.72
2003,32187000000,9545000000,7531000000,81732000000,61020000000,0,15797000000,-891000000,0.7
2004,36835000000,9034000000,8168000000,94368000000,74825000000,0,14626000000,-1109000000,0.76
2005,39788000000,14561000000,12254000000,70815000000,48115000000,0,16605000000,-812000000,1.13
2006,44282000000,16472000000,12599000000,69597000000,40104000000,0,14404000000,-1578000000,1.21
2007,51122000000,18438000000,14065000000,63171000000,31097000000,0,17796000000,-2264000000,1.44
2008,60420000000,22271000000,17681000000,72793000000,36286000000,0,21612000000,-3182000000,1.9
2009,58437000000,20363000000,14569000000,77888000000,39558000000,3746000000,19037000000,-3119000000,1.63
2010,62484000000,24098000000,18760000000,86113000000,46175000000,4939000000,24073000000,-1977000000,2.13
2011,69943000000,27161000000,23150000000,108704000000,57083000000,11921000000,26994000000,-2355000000,2.73
2012,73723000000,21763000000,16978000000,121271000000,66363000000,10713000000,31626000000,-2305000000,2.02
2013,77849000000,26764000000,21863000000,142431000000,78944000000,12601000000,28833000000,-4257000000,2.61
2014,86833000000,27759000000,22074000000,172384000000,89784000000,20645000000,32502000000,-5485000000,2.66
