year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,9673000000,3571000000,2224000000,10800000000,6117000000,298000000,3243000000,-278000000,0.4
2003,9475000000,3440000000,2307000000,11064000000,6320000000,175000000,3023000000,-291000000,0.44
2004,10156000000,3864000000,2681000000,12763000000,7995000000,163000000,3195000000,-189000000,0.51
2005,11799000000,4022000000,2886000000,20687000000,10837000000,159000000,3552000000,-188000000,0.56
2006,14380000000,4736000000,3381000000,29029000000,15012000000,5735000000,4541000000,-236000000,0.65
2007,17996000000,5974000000,4274000000,34572000000,16919000000,6235000000,5520000000,-319000000,0.83
2008,22430000000,7844000000,5521000000,47268000000,23025000000,10235000000,7402000000,-243000000,1.08
2009,23252000000,8321000000,5593000000,47416000000,25090000000,9237000000,8255000000,-529000000,1.1
2010,26820000000,9062000000,6135000000,61578000000,31199000000,11510000000,8681000000,-230000000,1.22
2011,35622000000,12033000000,8547000000,73535000000,40245000000,14772000000,11214000000,-450000000,1.69
2012,37121000000,13706000000,9981000000,78327000000,44087000000,13524000000,13743000000,-648000000,1.99
2013,37180000000,14432000000,10925000000,81812000000,45145000000,18494000000,14224000000,-650000000,2.29
2014,38275000000,14759000000,10955000000,90344000000,47447000000,22589000000,14921000000,-580000000,2.42
