year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,25112000000,4295000000,3000000000,23474000000,9298000000,2187000000,4627000000,-1437000000,1.69
2003,26971000000,4781000000,3568000000,25327000000,11896000000,1702000000,4328000000,-1345000000,2.07
2004,29261000000,5259000000,4212000000,27987000000,13572000000,2397000000,5054000000,-1387000000,2.47
2005,32562000000,5922000000,4078000000,31727000000,14320000000,2313000000,5852000000,-1736000000,2.43
2006,35137000000,6502000000,5642000000,29930000000,15447000000,2550000000,6084000000,-2068000000,3.42
2007,39474000000,7170000000,5658000000,34628000000,17234000000,4203000000,6934000000,-2430000000,3.48
2008,43251000000,6959000000,5142000000,35994000000,12582000000,7858000000,6999000000,-2446000000,3.26
2009,43232000000,8044000000,5946000000,39848000000,17442000000,7400000000,6796000000,-2128000000,3.8
2010,57838000000,8332000000,6320000000,68153000000,21476000000,19999000000,8448000000,-3253000000,3.97
2011,66504000000,9633000000,6443000000,72882000000,20899000000,20568000000,8944000000,-3339000000,4.12
2012,65492000000,9112000000,6178000000,74638000000,22399000000,23544000000,8479000000,-2714000000,3.96
2013,66415000000,9705000000,6740000000,77478000000,24389000000,24333000000,9688000000,-2795000000,4.37
2014,66683000000,9581000000,6513000000,70509000000,17548000000,23821000000,10506000000,-2859000000,4.31
