year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,32373000000,12278000000,9126000000,46356000000,19950000000,3140000000,10183000000,-1758000000,1.48
2003,45188000000,10800000000,3910000000,116775000000,65377000000,5755000000,11739000000,-2641000000,0.54
2004,52516000000,17088000000,11332000000,123684000000,68278000000,7279000000,16340000000,-2601000000,1.51
2005,47405000000,14530000000,7610000000,117565000000,65627000000,6347000000,14733000000,-2106000000,1.03
2006,48371000000,15093000000,11024000000,114837000000,71358000000,5546000000,17594000000,-2050000000,1.52
2007,48428000000,13923000000,8210000000,115268000000,65124000000,7314000000,13353000000,-1880000000,1.1864
2008,48296000000,16625000000,8024000000,111148000000,57740000000,7963000000,18238000000,-1701000000,1.1924
2009,50009000000,16009000000,8635000000,212949000000,90446000000,43193000000,16587000000,-1205000000,1.23
2010,67057000000,17732000000,8268000000,195014000000,88265000000,38410000000,11454000000,-1513000000,1.03
2011,61035000000,18382000000,8705000000,188002000000,82621000000,34926000000,20240000000,-1660000000,1.1136
2012,54657000000,18039000000,9787000000,185798000000,81678000000,31036000000,17054000000,-1327000000,1.3151
2013,51584000000,16888000000,11649000000,172101000000,76620000000,30462000000,17765000000,-1465000000,1.7095
2014,49605000000,14029000000,9080000000,169274000000,71622000000,31541000000,16883000000,-1583000000,1.4307
