year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,40238000000,6678000000,4352000000,40776000000,13706000000,11201000000,7742000000,-1679000000,1.63
2003,43377000000,7853000000,5186000000,43706000000,16186000000,11475000000,8700000000,-1482000000,1.8
2004,51407000000,9382000000,6156000000,57048000000,17278000000,12554000000,9362000000,-2024000000,2.34
2005,56741000000,10469000000,6923000000,61527000000,18475000000,12887000000,8679000000,-2181000000,2.7
2006,68222000000,13249000000,8684000000,135695000000,62908000000,35976000000,11375000000,-2667000000,2.79
2007,76476000000,15450000000,10340000000,138014000000,66760000000,23375000000,13435000000,-2945000000,3.22
2008,81748000000,16923000000,12075000000,143992000000,69494000000,23581000000,15008000000,-3046000000,3.86
2009,76694000000,16662000000,11425000000,134833000000,63382000000,20652000000,14919000000,-3238000000,4.49
2010,77567000000,15732000000,12736000000,128172000000,61439000000,21360000000,16131000000,-3067000000,4.32
2011,81104000000,15495000000,11797000000,138354000000,68001000000,22033000000,13330000000,-3306000000,4.12
2012,82006000000,13035000000,10756000000,132244000000,64035000000,21080000000,13284000000,-3964000000,3.82
2013,80116000000,13817000000,11312000000,139263000000,68709000000,19111000000,14873000000,-4008000000,4.04
2014,74401000000,13910000000,11643000000,144266000000,69976000000,19811000000,13958000000,-3848000000,4.19
