year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,13612730000,-1862313000,-2319995000,19435195000,6159665000,6028549000,2216558000,-1365996000,-2.01
2003,14059097000,1069880000,383002000,20041326000,6279619000,6097418000,2104584000,-1025264000,0.33
2004,11480165000,1586081000,1223870000,16000777000,6533175000,3944180000,1896665000,-1215847000,1.04
2005,14309182000,2761051000,2206967000,18077492000,8096767000,3591338000,3003885000,-1592511000,1.87
2006,19230478000,4896358000,3709851000,22832138000,10419883000,4663942000,4781409000,-2467807000,3.14
2007,23276542000,6467512000,5176516000,27853372000,14937769000,3794466000,6258938000,-3191041000,4.36
2008,27152767000,6687707000,5434801000,31990725000,16934292000,3693517000,6897682000,-4068184000,4.54
2009,22975000000,3885000000,3134000000,33465000000,19229000000,4355000000,5266000000,-2625000000,2.59
2010,27447000000,4379000000,4267000000,51719000000,31444000000,5517000000,5494000000,-2914000000,3.41
2011,39540000000,6622000000,4997000000,55201000000,31392000000,8556000000,6169000000,-4016000000,3.71
2012,42149000000,7520000000,5490000000,61547000000,34858000000,9509000000,6688000000,-5046000000,4.13
2013,45266000000,7987000000,6732000000,67100000000,39635000000,10393000000,9786000000,-4337000000,5.09
2014,48580000000,9490000000,5438000000,66904000000,38049000000,10565000000,11219000000,-4297000000,4.2
