year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,42821000000,8438000000,5653000000,95057000000,33199000000,18536000000,15210000000,-6808000000,1.7
2003,40498000000,6284000000,8505000000,100233000000,38248000000,16097000000,13517000000,-5219000000,2.56
2004,40733000000,5901000000,5887000000,110265000000,40504000000,21231000000,10955000000,-5099000000,1.78
2005,43764000000,7017000000,4786000000,145632000000,54690000000,26115000000,12974000000,-5576000000,1.42
2006,63055000000,11062000000,7356000000,270634000000,115540000000,50063000000,15615000000,-8320000000,1.89
2007,118928000000,21676000000,11951000000,275644000000,115367000000,57255000000,34072000000,-17717000000,1.95
2008,123443000000,24041000000,-2625000000,265245000000,96750000000,60872000000,33656000000,-19676000000,-0.44
2009,122513000000,21000000000,12138000000,268312000000,102325000000,64720000000,34445000000,-16595000000,2.06
2010,124280000000,19573000000,19864000000,269391000000,112425000000,58971000000,34993000000,-19530000000,3.36
2011,126723000000,12128000000,3944000000,270442000000,105797000000,61300000000,34648000000,-20110000000,0.66
2012,127434000000,12997000000,7264000000,272315000000,92695000000,66358000000,39176000000,-19465000000,1.25
2013,128752000000,30479000000,18418000000,277787000000,91482000000,69290000000,34796000000,-20944000000,3.42
2014,132447000000,13866000000,6442000000,296834000000,90270000000,75778000000,31338000000,-21199000000,1.24
