year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,8383000000,288000000,-344000000,14679000000,10734000000,833000000,1992000000,-802000000,-0.2
2003,9834000000,965000000,1198000000,15510000000,11864000000,395000000,2151000000,-800000000,0.62
2004,12580000000,2207000000,1861000000,16299000000,13063000000,368000000,3146000000,-1298000000,1.08
2005,13392000000,2791000000,2324000000,15063000000,11937000000,329000000,3772000000,-1330000000,1.42
2006,14255000000,3367000000,4341000000,13930000000,11360000000,0,2460000000,-1272000000,2.84
2007,13835000000,3497000000,2657000000,12667000000,9975000000,0,4406000000,-686000000,1.88
2008,12501000000,2735000000,1920000000,11923000000,9326000000,0,3330000000,-763000000,1.47
2009,10427000000,2211000000,1470000000,12119000000,9722000000,0,2643000000,-753000000,1.16
2010,13966000000,4514000000,3228000000,13401000000,10437000000,0,3820000000,-1199000000,2.66
2011,13735000000,3475000000,2201000000,20497000000,10952000000,4211000000,3256000000,-816000000,1.91
2012,12825000000,1973000000,1759000000,20064000000,10961000000,4186000000,3414000000,-495000000,1.53
2013,12205000000,2832000000,2125000000,18938000000,10807000000,4158000000,3384000000,-412000000,1.94
2014,13045000000,3947000000,2821000000,17722000000,10390000000,3641000000,3892000000,-385000000,2.61
