year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,12491000000,2324000000,1341000000,32764000000,10651000000,7428000000,2250000000,-1887000000,1.33
2003,11551000000,2133000000,1585000000,33460000000,12354000000,7822000000,2422000000,-1752000000,1.56
2004,12215000000,1295000000,604000000,34589000000,12655000000,0,2237000000,-1876000000,0.58
2005,13578000000,1795000000,1026000000,35620000000,13707000000,6760000000,2595000000,-2169000000,0.97
2006,15578000000,2884000000,1606000000,36515000000,15312000000,6000000000,2880000000,-2778000000,1.49
2007,16283000000,3375000000,1855000000,38033000000,15585000000,7543000000,3277000000,-3117000000,1.74
2008,17970000000,4075000000,2335000000,39722000000,15447000000,8607000000,4070000000,-3168000000,2.29
2009,14143000000,3379000000,1890000000,42184000000,16801000000,9636000000,3204000000,-100000000,1.88
2010,16965000000,4981000000,2780000000,43088000000,17763000000,9003000000,4105000000,-2482000000,2.79
2011,19557000000,5724000000,3292000000,45096000000,18578000000,8697000000,5873000000,-3261000000,3.39
2012,20926000000,6745000000,3943000000,47153000000,19877000000,8801000000,6161000000,-3738000000,4.17
2013,21963000000,7446000000,4388000000,49731000000,21225000000,8872000000,6823000000,-3496000000,4.74
2014,23988000000,8753000000,5180000000,52372000000,21189000000,10952000000,7385000000,-4346000000,5.77
