year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,14704600000,4935500000,3168100000,180027000000,18101000000,28588000000,3786300000,-429800000,1.65
2003,14571000000,5651400000,3732600000,189471000000,19242000000,33816000000,8682200000,-670100000,1.94
2004,14705000000,6176000000,4167000000,195104000000,19539000000,34739000000,5224800000,-192000000,2.21
2005,16596000000,6571000000,4489000000,209465000000,20086000000,36744000000,3477000000,0,2.45
2006,19215000000,6863000000,4751000000,219232000000,21197000000,37419000000,5391000000,0,2.64
2007,20432000000,6286000000,4324000000,237615000000,21046000000,43103000000,2904000000,0,2.45
2008,19229000000,4099000000,2946000000,265912000000,27033000000,37981000000,5307000000,0,1.62
2009,19490000000,2632000000,2205000000,281176000000,26661000000,32338000000,7600000000,0,0.97
2010,20518000000,4200000000,3317000000,307786000000,30322000000,29135000000,5241000000,0,1.74
2011,21399000000,6629000000,4872000000,340122000000,34971000000,28294000000,9820000000,0,2.47
2012,22202000000,7726000000,5647000000,353855000000,40267000000,20673000000,7958000000,0,2.85
2013,21059000000,7764000000,5836000000,364021000000,41807000000,19319000000,11446000000,0,3.02
2014,21392000000,7995000000,5851000000,402529000000,44168000000,31463000000,5332000000,0,3.1
