year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,67056000000,14877000000,4079000000,167468000000,56673000000,44003000000,22082000000,-11984000000,1.49
2003,67468000000,7407000000,3077000000,165968000000,57814000000,39413000000,22467000000,-11884000000,1.12
2004,65751000000,13026000000,7831000000,165958000000,62613000000,35674000000,21791000000,-13259000000,2.83
2005,69518000000,12362000000,7397000000,168130000000,66113000000,31569000000,22025000000,-15324000000,2.67
2006,88182000000,14214000000,6197000000,188804000000,76872000000,28646000000,24106000000,-17101000000,2.13
2007,93469000000,16712000000,5521000000,186959000000,82869000000,28203000000,26839000000,-17538000000,1.91
2008,97354000000,18111000000,6428000000,202352000000,78905000000,46959000000,27452000000,-17238000000,2.26
2009,107808000000,19480000000,3651000000,226907000000,84143000000,55051000000,31390000000,-17047000000,1.29
2010,106565000000,18973000000,2549000000,220005000000,86912000000,45252000000,33363000000,-16458000000,0.9
2011,110875000000,18834000000,2404000000,230461000000,85908000000,50303000000,29780000000,-16244000000,0.85
2012,115846000000,21006000000,875000000,225222000000,85533000000,47618000000,31486000000,-20110000000,0.31
2013,120550000000,31690000000,11497000000,274098000000,95416000000,89658000000,38818000000,-17184000000,4.01
2014,127079000000,18892000000,9625000000,232616000000,13676000000,110536000000,30631000000,-17545000000,2.42
