year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,29226000000,8854000000,5434000000,349197000000,30319000000,50205000000,-15458000000,0,1.6
2003,31800000000,9477000000,6202000000,387798000000,34469000000,63642000000,31195000000,0,1.85
2004,33482000000,10769000000,7014000000,427849000000,37866000000,73580000000,6485000000,0,2.07
2005,39896000000,11548000000,7671000000,481741000000,40660000000,79668000000,-11985000000,0,2.27
2006,47241000000,12650000000,8420000000,481996000000,45814000000,87145000000,27976000000,0,2.5
2007,52859000000,11835000000,8057000000,575442000000,47628000000,99393000000,9286000000,0,2.41
2008,52389000000,3300000000,2655000000,1309639000000,102316000000,267158000000,-4788000000,0,0.76
2009,98451000000,17998000000,12275000000,1243646000000,114359000000,203784000000,28613000000,0,1.76
2010,92470000000,19001000000,12362000000,1258128000000,127889000000,156957000000,18772000000,0,2.23
2011,86115000000,23656000000,15869000000,1313867000000,141687000000,125238000000,13665000000,0,2.85
2012,89762000000,28471000000,18897000000,1422968000000,158911000000,127367000000,58540000000,0,3.4
2013,86597000000,32629000000,21878000000,1523502000000,171008000000,152987000000,57641000000,0,3.95
2014,85992000000,33915000000,23057000000,1687155000000,185262000000,183934000000,17529000000,0,4.17
