year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,205823000000,11579000000,6592000000,83527000000,35102000000,15687000000,10260000000,-8383000000,0.49
2003,246525000000,13295000000,7955000000,94808000000,39461000000,16597000000,13005000000,-9355000000,0.6
2004,258681000000,15025000000,9054000000,105405000000,43623000000,17102000000,15996000000,-10308000000,0.69
2005,284310000000,17300000000,10267000000,120154000000,49396000000,20087000000,15044000000,-12893000000,0.8
2006,312101000000,18713000000,11231000000,138187000000,53171000000,26429000000,17633000000,-14563000000,0.89
2007,348650000000,20497000000,11284000000,151587000000,61573000000,27222000000,20164000000,-15666000000,0.9
2008,377023000000,21952000000,12731000000,163514000000,64608000000,29799000000,20354000000,-14937000000,1.04
2009,404254000000,22767000000,13381000000,163429000000,67476000000,31349000000,23147000000,-11499000000,1.13
2010,408085000000,24002000000,14370000000,170407000000,72955000000,33231000000,26249000000,-12184000000,1.24
2011,421849000000,25542000000,16389000000,180782000000,71655000000,40692000000,23643000000,-12699000000,1.49
2012,446509000000,26491000000,15699000000,193406000000,76165000000,44070000000,24255000000,-13510000000,1.51
2013,468651000000,27725000000,16999000000,203105000000,82257000000,38394000000,25591000000,-12898000000,1.68
2014,476294000000,26872000000,16022000000,204751000000,82830000000,41771000000,23257000000,-13115000000,1.63
