year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,204506000000,40567000000,11460000000,152644000000,77365000000,6655000000,21268000000,-11437000000,1.69
2003,246738000000,56722000000,21510000000,174278000000,93297000000,4756000000,28498000000,-12859000000,3.24
2004,298035000000,42655000000,25330000000,195256000000,105708000000,5013000000,40551000000,-11986000000,3.91
2005,370680000000,60727000000,36130000000,208335000000,114713000000,6220000000,48138000000,-13839000000,5.76
2006,377635000000,99488000000,39500000000,219015000000,113844000000,6425000000,49286000000,-15462000000,6.68
2007,395651000000,62978000000,40610000000,242082000000,126044000000,7183000000,52002000000,-15387000000,7.36
2008,466278000000,72989000000,45220000000,228052000000,117523000000,7025000000,59725000000,-19318000000,8.78
2009,303443000000,28182000000,19280000000,233323000000,115392000000,7129000000,28438000000,-22491000000,3.99
2010,370125000000,40122000000,30460000000,302510000000,152679000000,12227000000,48413000000,-26871000000,6.24
2011,467029000000,54104000000,41060000000,331052000000,160744000000,9062000000,55345000000,-30975000000,8.43
2012,451509000000,49881000000,44880000000,333795000000,171660000000,7497000000,56170000000,-34271000000,9.7
2013,420836000000,40301000000,32580000000,346808000000,180495000000,6516000000,44914000000,-33669000000,7.37
2014,394105000000,34082000000,32520000000,349493000000,181064000000,11278000000,45116000000,-32952000000,7.59
