date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,AIG,-5539387455,-4431509964,-6647264945,31.5,37.8,25.2,-1241646089,3247880688,-1064381380,17,17
1998-12-30,AIG,-4901876702,-3921501361,-5882252042,36.67,44.01,29.33,-1098748930,3711065279,-941885060,15,15
1999-12-30,AIG,-8061761070,-6449408856,-9674113283,42.03,50.44,33.62,-1807032671,5015401455,-1549050042,7,7
2000-12-30,AIG,7468082648,8961699177,5974466119,48.53,58.23,38.83,1673960468,5604709791,1434976011,14,14
2001-12-30,AIG,13307875231,15969450277,10646300184,53.64,64.37,42.91,8828189596,5356455553,2557079590,20,20
2002-12-30,AIG,41263643561,49516372274,33010914848,56.06,67.27,44.85,9440081064,5595284846,7928720322,9,9
2003-12-30,AIG,80196936588,96236323905,64157549270,75.72,90.86,60.58,15253946777,9148495962,15409668804,20,20
2004-12-30,AIG,95940943048,115129131658,76752754438,83.46,100.15,66.77,16396564598,9551424333,18434845769,18,18
2007-12-30,AIG,140532385086,168638862103,112425908069,139.16,166.99,111.33,-37239494621,-8224795619,27002995408,10,10
2009-12-30,AIG,227279015156,272734818187,181823212124,-54.09,-42.44,-65.74,91447656152,-147836701394,43671173722,16,16
2010-12-30,AIG,49633971561,59560765873,39707177248,-12.695,-8.13,-17.26,42270788977,5429863558,9537060837,15,15
2011-12-30,AIG,34519789742,41423747691,27615831793,-0.225,0.46,-0.91,7737563458,16270263492,1650384126,7,7
2012-12-30,AIG,89208826045,107050591254,71367060836,1.455,1.87,1.04,-6183893185,-10936821812,602790698,13,13
2013-12-30,AIG,47171551703,56605862044,37737241362,2.71,3.25,2.17,11589847522,6689534662,9063912160,7,7
2014-12-30,AIG,48618952694,58342743233,38895162154,3.88,4.66,3.1,14602221827,6541726961,15487445749,20,20
2015-12-30,AIG,56939833333,59209381442,55712077941,2.33608,2.45713,2.2706,9166338775,2139647946,12643793663,11,10
2016-12-30,AIG,51220200000,53261770922,50115773221,2.22527,2.34058,2.16289,-1843603793,-9677304085,20573936413,10,11
2017-12-30,AIG,50040466667,52035014944,48961477685,2.55694,2.68943,2.48527,6290297901,-7433073488,7361719881,11,10
2018-12-30,AIG,46935262500,48806041355,45923228951,2.24519,2.36153,2.18226,9597460915,-5267175159,22932657017,11,10
2019-12-30,AIG,48769171952,50713048066,47717595045,4.57787,4.81508,4.44955,9682578217,2956775400,7696053238,2,7
2020-12-30,AIG,44197399861,45959051053,43244401005,2.51931,2.64985,2.44869,3579718226,-2377357607,8235292929,3,10
2021-12-30,AIG,46803209634,48668725033,45794023452,4.72681,4.97174,4.59431,14104224284,7523352628,7040268833,3,5
2022-12-30,AIG,47237553955,49120381757,46219002298,4.47761,4.70962,4.3521,14131750870,8184216529,5636922520,2,7
2023-12-31,AIG,45925000000,46925056705,44694379972,4.79447,4.93019,4.62745,13610650240,2725361050,8798753708,3,4
2024-12-31,AIG,27636905615,27657407770,27616403459,5.04838,5.0791,5.00742,8190664257,2876171183,5294944491,4,9
2025-12-31,AIG,27208911187,27695316385,26921038722,7.04004,7.10021,6.9197,8063820872,3997777343,5212945197,4,11
2026-12-31,AIG,29175730993,29550427989,28841541779,7.86168,8.16289,7.27933,8646721176,4343448600,5589767474,6,11
2027-12-31,AIG,31385651855,31907722384,30413167534,8.85618,9.057,8.73569,9301668589,5073585562,6013165392,6,10
2028-12-31,AIG,32591450490,33084262319,32098638660,9.5053,9.73239,9.29443,9659027401,5425497732,6244183905,3,3
