date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,AMGN,2386300000,2863560000,1909040000,0.68,0.81,0.55,978500000,644300000,483800000,14,14
1998-12-30,AMGN,2464271427,2957125712,1971417141,0.69,0.83,0.55,1240445769,782358543,467789439,16,16
1999-12-30,AMGN,3047750384,3657300461,2438200307,0.86,1.03,0.69,1588747021,1000630069,599767524,17,17
2000-12-30,AMGN,3521892098,4226270517,2817513678,1.02,1.22,0.82,1839731111,1109139407,814242073,13,13
2001-12-30,AMGN,3921759999,4706111999,3137407999,1.12,1.34,0.9,1883927361,1079296751,950129064,18,18
2002-12-30,AMGN,5336192723,6403431268,4268954178,1.29,1.54,1.04,-150996251,-1264648572,1409947321,13,13
2003-12-30,AMGN,8119699079,9743638894,6495759263,1.78,2.14,1.42,3725965213,2180737423,1900158376,7,7
2004-12-30,AMGN,10442589924,12531107909,8354071939,2.35,2.83,1.87,4080540968,2339537493,2536762232,15,15
2005-12-30,AMGN,11588258440,13905910128,9270606752,2.74,3.28,2.2,5233537522,3357066045,2591371584,15,15
2006-12-30,AMGN,13824405737,16589286883,11059524589,3.62,4.34,2.9,4845283620,2902240036,3257021344,20,20
2007-12-30,AMGN,14291759788,17150111745,11433407830,4,4.81,3.19,5004403797,3072738730,3245925097,8,8
2008-12-30,AMGN,13911543860,16693852632,11129235087,3.87,4.65,3.09,5792876839,3846057476,3500799466,8,8
2009-12-30,AMGN,14157445973,16988935167,11325956778,4.49,5.39,3.59,6332158593,4342903581,3678892334,17,17
2010-12-30,AMGN,14189559104,17027470925,11351647282,4.61,5.53,3.69,6512962912,4343782340,3741708748,16,16
2011-12-30,AMGN,14906585120,17887902144,11925268096,4.84,5.82,3.86,5570057279,3526072283,4280867117,15,15
2012-12-30,AMGN,15572841686,18687410024,12458273348,5.17,6.2,4.14,6302219026,3813916591,4277833806,9,9
2013-12-30,AMGN,17243658010,20692389612,13794926407,6.45,7.74,5.16,6944469224,4662556820,4753491946,8,8
2014-12-30,AMGN,18889448630,22667338356,15111558904,7.64,9.16,6.12,8145801536,4791060491,4390842322,9,9
2015-12-30,AMGN,21644173684,22274561695,21044770961,10.0844,10.46622,9.72135,9729315488,6032408474,4217928299,6,5
2016-12-30,AMGN,22792473913,23456306245,22161270749,11.5563,11.99385,11.14026,11681299196,7198890229,4726067696,6,7
2017-12-30,AMGN,22900690000,23567674133,22266489955,12.70053,13.1814,12.24329,12491853898,1463796842,4760341709,8,7
2018-12-30,AMGN,23373077778,24053820237,22725795666,14.27211,14.81249,13.75829,12010662813,7824095028,4979696341,4,3
2019-12-30,AMGN,23186280042,23861582004,22544171011,14.59907,15.15183,14.07348,11940590361,7409652458,4870937209,8,9
2020-12-30,AMGN,25362309363,26100988325,24659938485,16.07596,16.68464,15.4972,11401972755,6370140959,5026988567,11,12
2021-12-30,AMGN,26002516200,26759841229,25282415760,16.82256,17.45951,16.21692,10922926539,5705346227,5177709723,9,8
2022-12-30,AMGN,26171362600,26933605292,25446586213,17.68071,18.35015,17.04418,11942234748,6493475583,5201303694,12,9
2023-12-31,AMGN,30934000000,32256616991,30097735996,5.83411,6.15839,5.62908,13938570584,3130000000,6407554562,11,10
2024-12-31,AMGN,33198064639,33458049482,33018075131,19.60549,19.86609,19.2647,14958736899,10604444109,6876524554,20,22
2025-12-31,AMGN,36357932468,36768021940,36157888823,21.31771,22.10874,21.06738,16382543738,11700728541.5,7531047911,23,20
2026-12-31,AMGN,37839176574,38668720064,37459385578,22.40767,23.56738,20.7034,17049978455,11997381401.5,7837867346,24,21
2027-12-31,AMGN,38866616671,40085290062,37305506128,23.35016,24.82713,21.4512,17512933337,12541427452.5,8050687495,23,19
2028-12-31,AMGN,39770687031,39771606451,39769767610,24.21867,32.35684,18.94698,17920298971,13903335245,8237953292,26,10
2029-12-31,AMGN,41397484329,43167479033,40278352435,25.49695,26.91414,24.60089,18653318592,13819346925,8574922079,25,4
2030-12-31,AMGN,42748540041,44576300609,41592883958,27.5473,29.07846,26.57918,19262091638,14930636627,8854774771,15,4
