date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,BAC,25812601167,30975121401,20650080933,2.04,2.45,1.63,14197692174,3046346956,9570074752,15,15
1998-12-30,BAC,32032388474,38438866169,25625910779,2.03,2.43,1.63,24057354275,3438834664,7962730406,20,20
1999-12-30,BAC,31711207402,38053448883,25368965920,2.24,2.69,1.79,7807920059,7668696594,9578632912,7,7
2000-12-30,BAC,32191015151,38629218181,25752812120,2.26,2.71,1.81,7926058120,7308216376,9769433002,12,12
2001-12-30,BAC,34119090724,40942908869,27295272579,2.33,2.79,1.87,29020533077,6595619463,10204756696,9,9
2002-12-30,BAC,34301775125,41162130150,27441420100,2.83,3.4,2.26,24739092399,9025363330,10186059022,17,17
2003-12-30,BAC,35474920044,42569904052,28379936035,2.96,3.56,2.36,24513223751,9762190134,10336589686,9,9
2004-12-30,BAC,49441776108,59330131329,39553420886,3.5,4.2,2.8,36268871423,13744392422,14399773325,7,7
2005-12-30,BAC,54307329702,65168795642,43445863761,3.82,4.59,3.05,51501712613,15429206484,15480743643,7,7
2006-12-30,BAC,68278833967,81934600760,54623067173,4.15,4.98,3.32,16811585589,19762635333,26411622088,10,10
2007-12-30,BAC,103535987051,124243184461,82828789640,3.825,4.59,3.06,87020081117,15491225046,37501562181,12,12
2008-12-30,BAC,129168407486,155002088983,103334725988,2.425,2.92,1.93,89046716634,-7263837528,47889451639,13,13
2009-12-30,BAC,74632454077,89558944893,59705963261,-0.065,0.17,-0.3,18375971242,27713105203,27670135212,9,9
2010-12-30,BAC,127448616606,152938339927,101958893285,0.6,0.72,0.48,26851935352,-1131440547,60130087875,13,13
2011-12-30,BAC,98249935484,117899922580,78599948387,-0.305,-0.01,-0.6,20233768615,-1501511112,56745730213,17,17
2012-12-30,BAC,86740686525,104088823830,69392549220,0.1,0.18,0.02,27673782654,3806037619,69604893461,12,12
2013-12-30,BAC,81914272198,98297126637,65531417758,0.81,0.98,0.64,27703952213,9768206044,47794608981,16,16
2014-12-30,BAC,256091780000,307310136000,204873424000,0.635,0.82,0.45,26155430144,5786322580,85856244604,14,14
2015-12-30,BAC,84253448000,85482003123,83220630727,1.36867,1.39461,1.34686,31894596173,14491169921,43021312454,9,8
2016-12-30,BAC,84640744444,85874946992,83603179514,1.46234,1.49006,1.43904,31776874331,14910967772,42466019982,12,13
2017-12-30,BAC,88688836000,89982066442,87601647714,1.80821,1.84249,1.77939,39965385903,16430380628,42352649349,7,6
2018-12-30,BAC,91155360000,92484556456,90037935935,2.54208,2.59027,2.50157,51301481145,25810078260,42124995845,7,6
2019-12-30,BAC,91349541157,92681569096,90229736731,2.71354,2.76498,2.6703,52809351533,25492940020,38981389632,4,11
2020-12-30,BAC,86056210203,87311052591,85001293847,1.81211,1.84646,1.78323,27199625156,16511482286,37613010443,5,6
2021-12-30,BAC,89402399391,90706034772,88306463919,3.49696,3.56325,3.44123,31218627465,24353815550,34603073399,5,6
2022-12-30,BAC,94749861001,96131471248,93588373900,3.12045,3.1796,3.07072,44996282418,33583495806,41420342209,4,9
2023-12-31,BAC,93359000000,95234972550,90137246544,2.91748,2.99369,2.7866,22736355971,21811635302.5,31508785746,5,6
2024-12-31,BAC,102053663167,102364710611,101802818453,3.20061,3.25988,3.12158,24853826776,24080120240,34443246043,10,13
2025-12-31,BAC,110576445949,114189200235,109590234472,3.81486,3.85512,3.76453,26929438374,29055000000,37319696484,10,17
2026-12-31,BAC,119959548687,122879231150,114978913896,4.33624,4.51692,4.21579,29214569577,31888163910,40486506045,12,18
2027-12-31,BAC,126228821355,129592095279,118663980004,4.975,5.31741,4.69302,30741368440,37773857088,42602393846,10,17
2028-12-31,BAC,131593333969,132075790373,131110877564,5.69969,5.92813,5.44939,32047824898,42932502849,44412923936,3,7
2029-12-31,BAC,133400000000,136195855427,128682926196,6.82,7.00582,6.50649,32487814636,51469858006,45022676106,2,2
