date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,BA,44836208346,53803450015,35868966677,2.845,3.42,2.27,-404319302,-2036503433,2563150000,11,11
1998-12-30,BA,58306913307,69968295969,46645530645,1.06,1.27,0.85,2957160171,1050703462,2137019478,14,14
1999-12-30,BA,49413260589,59295912706,39530608471,1.72,2.07,1.37,4138945199,1925145080,1872596954,8,8
2000-12-30,BA,44525007029,53430008435,35620005623,2.2,2.64,1.76,3758270927,1794419245,2223341463,10,10
2001-12-30,BA,56044924689,67253909627,44835939751,3.34,4,2.68,5041103368,2643443158,2658875860,16,16
2002-12-30,BA,54104234783,64925081739,43283387826,2.8,3.36,2.24,2553023530,228208824,2961744118,7,7
2003-12-30,BA,53479579967,64175495961,42783663973,0.24,0.51,-0.03,1739313279,660344632,2934517773,9,9
2004-12-30,BA,32518018747,39021622497,26014414997,0.995,1.2,0.79,3265289387,1580875484,3932826026,8,8
2005-12-30,BA,41753587793,50104305352,33402870233,1.635,1.96,1.31,3018761981,1696770666,2945986453,14,14
2006-12-30,BA,51777473787,62132968544,41421979029,1.49,1.88,1.1,3547054739,1539963207,3411863221,19,19
2007-12-30,BA,59898459954,71878151945,47918767963,4.21,5.05,3.37,6766169504,3612331567,3120215577,7,7
2008-12-30,BA,170811098897,204973318676,136648879116,4.885,5.86,3.91,5215605227,2438887060,3667418992,15,15
2009-12-30,BA,61699911135,74039893362,49359928907,0.89,1.87,-0.09,2894157546,865363387,2969786212,13,13
2010-12-30,BA,61140878099,73369053718,48912702479,3.63,4.35,2.91,6380892666,3162995578,3446615126,14,14
2011-12-30,BA,54650851859,65581022230,43720681487,2.76,3.31,2.21,5518437537,2906291873,2536151795,14,14
2012-12-30,BA,70057975008,84069570010,56046380006,3.64,4.36,2.92,6092851168,3220668159,3061938802,8,8
2013-12-30,BA,75721533211,90865839853,60577226569,5.28,6.34,4.22,7233131780,3905968198,3367671006,15,15
2014-12-30,BA,82165057973,98598069567,65732046378,6.85,8.22,5.48,8398261804,4876642456,3370514730,8,8
2015-12-30,BA,96077585000,101285805911,85922660043,7.42746,7.95088,6.4069,7834553611,4368575536,2949892820,7,6
2016-12-30,BA,94341362500,99455465409,84369947664,7.11111,7.61224,6.13402,6833972182,4011023329,3592990761,6,7
2017-12-30,BA,92511579167,97526492283,82733563368,10.15073,10.86606,8.75598,11765033476,7727198998,3855711297,7,6
2018-12-30,BA,99662047619,105064576840,89128262714,15.11775,16.18311,13.04052,11884641802,8793350027,3913766653,7,6
2019-12-30,BA,80631073883,85001962734,72108768660,0.46758,0.50053,0.40333,-2299118841,-2910028994,6645226653,10,11
2020-12-30,BA,57884890722,61022743305,51766744419,-9.75925,-8.41829,-10.44699,-8060078401,-9899812297,4576436876,7,6
2021-12-30,BA,64170247469,67648819758,57387770083,-2.04938,-1.76779,-2.1938,-45576791533,-59922674080,18750256156,7,6
2022-12-30,BA,66762368464,70381455721,59705916725,-8.95304,-7.72286,-9.58397,-57785719049,-75870448807,23946233330,8,9
2023-12-31,BA,76442000000,82844147899,71812496060,-3.53507,-3.25675,-3.91996,-213366659,-2735403019.5,5184749682,2,10
2024-12-31,BA,67085910152,67838669466,66704512099,-17.3871,-15.33014,-20.22027,-187251727,-13550038789,4550164194,5,15
2025-12-31,BA,88143215014,89537342655,86799599243,-9.54614,-8.8871,-10.04542,-246027358,-7216130007,5978395463,18,12
2026-12-31,BA,97190154868,103286545909,92361330280,0.9398,8.01963,-2.33906,-271279384,1250386270,6592012566,20,16
2027-12-31,BA,111091563660,123073315087,104195737099,4.57687,7.05689,2.7887,-310081314,4921849050,7534888535,20,17
2028-12-31,BA,122283528710,122506025125,122061032295,8.37151,11.82043,6.87435,-341320583,7893715590,8293993964,17,11
2029-12-31,BA,129676207230,140480920307,121774268816,10.11004,11.20513,9.30916,-361955197,7706883502,8795409254,14,4
2030-12-31,BA,137446000000,148898097693,129070602150,12.28,13.61013,11.30722,-383642420,9361044012,9322402669,8,4
