date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,BK,3841267350,4609520820,3073013880,1.3,1.56,1.04,3539291951,1063196153,1026060767,20,20
1998-12-30,BK,3857666666,4629199999,3086133332,1.5,1.8,1.2,1095290284,1169584795,1156033625,8,8
1999-12-30,BK,5167790697,6201348836,4134232557,1.67,1.99,1.35,4802000000,1732372093,1244348837,18,18
2000-12-30,BK,4926242078,5911490494,3940993662,1.89,2.27,1.51,1398686188,1413914420,1471234987,12,12
2001-12-30,BK,5192269747,6230723697,4153815796,2,2.4,1.6,4264484547,1338143888,1579603501,11,11
2002-12-30,BK,4907027449,5888432939,3925621959,1.3,1.55,1.05,2599027450,915764705,1610796078,10,10
2003-12-30,BK,5615000000,6738000000,4492000000,1.68,2.01,1.35,2913000000,1157000000,2002000000,13,13
2004-12-30,BK,6235656263,7482787516,4988525010,1.83,2.2,1.46,3435702128,1415928604,2286361229,18,18
2005-12-30,BK,6761160000,8113392000,5408928000,1.99,2.4,1.58,4292300000,1547300000,2510520000,16,16
2006-12-30,BK,6782739150,8139286981,5426191319,2.12,2.55,1.69,6251606228,2875203367,2604632225,7,7
2007-12-30,BK,10989680592,13187616711,8791744473,2.4,2.88,1.92,7064888195,1961303408,3983831637,19,19
2008-12-30,BK,17921090942,21505309131,14336872753,3.16,3.8,2.52,5842962974,1461155461,5851316696,8,8
2009-12-30,BK,10884242548,13061091058,8707394038,2.15,2.58,1.72,-653986310,-756765299,5995132962,8,8
2010-12-30,BK,13283254236,15939905082,10626603388,2.08,2.5,1.66,4575718137,2407188714,6056605280,10,10
2011-12-30,BK,15743389959,18892067951,12594711966,2.24,2.69,1.79,5107536416,2556476544,6878961756,15,15
2012-12-30,BK,14312754385,17175305262,11450203507,2.05,2.46,1.64,4851325995,2369552410,6229960167,15,15
2013-12-30,BK,14746196558,17695435869,11796957246,2.16,2.59,1.73,5236587416,1993353320,5890971100,19,19
2014-12-30,BK,14857510195,17829012234,11886008156,2.16,2.6,1.72,4795522722,2401048350,5504144347,20,20
2015-12-30,BK,15220773333,15364590084,15023683849,2.81022,2.84474,2.76291,5318234358,2831696531,5243363258,11,10
2016-12-30,BK,15310078571,15454739142,15111832698,3.15748,3.19626,3.10433,6303344444,3353605097,5422438038,10,11
2017-12-30,BK,15823550000,15973062216,15618655331,3.54368,3.58721,3.48403,6936440113,3986865993,5831389026,11,10
2018-12-30,BK,16434417646,16589701777,16221613025,4.13025,4.18098,4.06072,8788460315,3996017446,5750254244,11,10
2019-12-30,BK,15926016854,16076497250,15719795371,4.52226,4.57781,4.44614,10885178707,4312597965,5885487479,3,7
2020-12-30,BK,15787586433,15936758840,15583157446,3.92021,3.96836,3.85422,6501904020,3268189929,5410353284,4,6
2021-12-30,BK,15866377535,16016294417,15660928305,4.16177,4.21289,4.09171,6314217341,3498030297,5909592411,4,6
2022-12-30,BK,16647379174,16804675518,16431816975,3.16758,3.20649,3.11426,6335203588,3552006574,6712683102,3,7
2023-12-31,BK,17593000000,17909618798,17209678400,4.19786,4.29607,4.07896,4478080034,2951096762,4542466598,7,4
2024-12-31,BK,18431858205,18481836128,18351893527,5.80465,5.83432,5.7651,4691600990,4087270231.5,4759057594,8,10
2025-12-31,BK,20024794452,20084868835,19954707671,7.30958,7.37882,7.20078,5097063163,5137391789.5,5170349567,6,9
2026-12-31,BK,21181977674,21433904144,20728510026,8.34944,8.51984,7.91844,5391609806,5744806300,5469131250,11,11
2027-12-31,BK,22109167879,22561606512,21204290612,9.30896,9.61727,8.62272,5627614577,6124944230,5708529336,11,11
2028-12-31,BK,23022483070,23093964785,22951001355,10,10.23287,9.69171,5860087636,7020794377,5944344930,5,3
2029-12-31,BK,24396372400,24835430555,23864816867,10.8491,11.10292,10.5418,6209794132,7645762197,6299079563,2,1
