date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,BMY,16599756098,19919707317,13279804878,1.5,1.81,1.19,5039600000,3183625000,6376525000,7,7
1998-12-30,BMY,18173250000,21807900000,14538600000,1.69,2.04,1.34,4859410256,3119589743,6687025641,8,8
1999-12-30,BMY,17598920000,21118704000,14079136000,1.93,2.32,1.54,6411469388,4145244898,6953326530,7,7
2000-12-30,BMY,17974937817,21569925380,14379950253,2.18,2.61,1.75,6854088538,4647123147,6258055759,14,14
2001-12-30,BMY,18281710317,21938052380,14625368253,2.31,2.78,1.84,6319932260,5133215589,5141974327,18,18
2003-12-30,BMY,18274159373,21928991247,14619327497,1.44,1.72,1.16,4691843963,2824768423,5636624204,13,13
2004-12-30,BMY,15455424465,18546509359,12364339571,1.3,1.55,1.05,4213104894,2121522144,5546659672,19,19
2005-12-30,BMY,17832564343,21399077212,14266051474,1.19,1.43,0.95,4494521283,2698182177,5987868686,20,20
2006-12-30,BMY,15865906767,19039088120,12692725413,0.92,1.11,0.73,2949712500,1513793750,5654593750,19,19
2007-12-30,BMY,17596821100,21116185320,14077456879,1.23,1.48,0.98,3620608491,2013302194,5951770883,15,15
2008-12-30,BMY,19090134574,22908161489,15272107659,1.51,1.81,1.21,6771568670,4776346921,5953235336,18,18
2009-12-30,BMY,17233638627,20680366353,13786910901,1.69,2.03,1.35,11008112049,9216860067,4632511563,20,20
2010-12-30,BMY,18587319751,22304783701,14869855800,1.94,2.32,1.56,5253248009,2914294833,4428434793,15,15
2011-12-30,BMY,20657923994,24789508791,16526339195,2.14,2.57,1.71,6161123498,3580442259,5020026532,16,16
2012-12-30,BMY,17273394224,20728073069,13818715379,1.92,2.31,1.53,2534874677,1839548726,5044747876,17,17
2013-12-30,BMY,15511633418,18613960101,12409306734,1.62,1.94,1.3,3585010570,2396475687,4797977800,15,15
2014-12-30,BMY,14582147101,17498576521,11665717680,1.55,1.86,1.24,2795825277,1855269813,5164550241,15,15
2015-12-30,BMY,16417369999,17340731827,16025038361,1.90674,2.04615,1.8475,1855726143,1144101167,3402255764,7,6
2016-12-30,BMY,19295728571,20380977866,18834611791,2.85715,3.06605,2.76839,5881637657,4088197932,4687384154,6,7
2017-12-30,BMY,20666655000,21829009284,20172776711,3.00098,3.2204,2.90775,5867599261,850991617,4709321280,11,10
2018-12-30,BMY,22570400000,23839826578,22031027250,3.87399,4.15724,3.75364,5788662574,4203790326,3905402843,7,6
2019-12-30,BMY,25325098781,26749457830,24719896030,4.65341,4.99365,4.50884,6426619638,3557648374,3982601142,14,9
2020-12-30,BMY,42200417493,44573894772,41191939344,6.40111,6.86913,6.20225,3866700236,-8693426886,7003751263,15,10
2021-12-30,BMY,46456339161,49069182161,45346155762,7.47011,8.01629,7.23804,19625400477,6970493318,7599444243,15,8
2022-12-30,BMY,45918912822,48501529363,44821572489,7.38695,7.92705,7.15746,18641768290,6771493168,7861396030,14,13
2023-12-31,BMY,46509000000,47381715217,44762480959,-3.21662,-3.05959,-3.29509,15327651114,-6541000000,7614851243,8,11
2024-12-31,BMY,47512727250,47822549409,47412784618,0.91524,1.04457,0.8456,15658442598,1928918485.5,7779190053,17,19
2025-12-31,BMY,47989616339,48189781579,47739409788,6.11419,6.50574,5.94351,15815607653,12704459630.5,7857270413,21,15
2026-12-31,BMY,46888093113,47137338770,46449420755,6.26137,6.35139,6.02132,15452586223,12626350561,7676919610,20,17
2027-12-31,BMY,45965527317,47355997022,44935179261,6.13183,6.8165,5.45723,15148542561,12525341470.5,7525869248,20,16
2028-12-31,BMY,40746549087,40772573983,40720524190,5.45097,6.44638,3.94876,13428559817,9575449850,6671373497,21,10
2029-12-31,BMY,37073380007,37769041123,35681190020,4.91451,5.03439,4.67459,12218018757,10030514914,6069970841,10,4
2030-12-31,BMY,36423720346,37107190964,35055926561,4.89357,5.01294,4.65468,12003914893,9987776374,5963603005,10,4
