date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,CL,9049095588,10858914705,7239276470,0.6,0.73,0.47,1100045097,739967842,3227122744,12,12
1998-12-30,CL,8838864706,10606637647,7071091764,0.65,0.78,0.52,1231112500,835881250,3145556250,20,20
1999-12-30,CL,8632360555,10358832666,6905888444,0.68,0.82,0.54,1315785588,884739853,3066868235,15,15
2000-12-30,CL,9139060389,10966872465,7311248311,0.81,0.98,0.64,1614276428,1037595476,3217393333,18,18
2001-12-30,CL,9084300000,10901160000,7267440000,0.97,1.16,0.78,2004900000,1146600000,3261600000,7,7
2002-12-30,CL,9131584285,10957901142,7305267428,1.07,1.29,0.85,2126749935,1264433716,2980303703,17,17
2003-12-30,CL,9741570995,11689885194,7793256796,1.2,1.43,0.97,2317598148,1397671875,3240210301,15,15
2004-12-30,CL,10406973333,12488367999,8325578666,1.18,1.43,0.93,2292068965,1305575861,3339620689,7,7
2005-12-30,CL,11144814369,13373777243,8915851494,1.28,1.53,1.03,2352366666,1319864348,3898106505,9,9
2006-12-30,CL,11986021107,14383225328,9588816885,1.4,1.67,1.13,2279280315,1323450438,4262557057,7,7
2007-12-30,CL,13628470575,16354164690,10902776460,1.66,1.99,1.33,2797181904,1718177619,4913658571,17,17
2008-12-30,CL,14932420317,17918904380,11945936253,1.84,2.22,1.46,3185826037,1905240062,5277006836,18,18
2009-12-30,CL,14982807302,17979368762,11986245842,2.1,2.51,1.69,3693520694,2236928919,5159507368,12,12
2010-12-30,CL,15244536259,18293443510,12195629007,2.33,2.78,1.88,3619911162,2159518701,5298639391,10,10
2011-12-30,CL,16601162337,19921394804,13280929869,2.48,2.98,1.98,4053290323,2411075433,5712172953,10,10
2012-12-30,CL,17024633803,20429560563,13619707042,2.67,3.2,2.14,4198614285,2463457143,5908757143,19,19
2013-12-30,CL,17361853333,20834223999,13889482665,2.82,3.39,2.25,3821945946,2233378378,6201216216,17,17
2014-12-30,CL,17165921053,20599105263,13732736842,2.89,3.47,2.31,3787189189,2163027027,5943243243,7,7
2015-12-30,CL,16077057143,16241939814,15860915219,2.80905,2.8465,2.75996,3048986112,1390361112,5446138889,3,2
2016-12-30,CL,15328931579,15486141643,15122847546,2.8124,2.8499,2.76325,4021652174,2432304348,5229869565,5,6
2017-12-30,CL,15475935000,15634652698,15267874635,2.87052,2.90879,2.82035,3797909091,2015363636,5476363636,3,2
2018-12-30,CL,15512184211,15671273672,15303636508,2.95712,2.99655,2.90544,3790561643,2383013698,5351739726,3,2
2019-12-30,CL,15611717392,15771827643,15401831552,2.82897,2.86669,2.77953,3646422374,2358285404,5552657320,4,8
2020-12-30,CL,16305003820,16472224260,16085797353,3.05449,3.09521,3.00111,3802811196,2550796107,5702722037,6,10
2021-12-30,CL,17442519071,17621405611,17208019709,3.20235,3.24505,3.14638,3433797468,2141329113,6345265822,7,5
2022-12-30,CL,17929757288,18113640833,17688707436,2.97062,3.01023,2.9187,3244010624,1996051345,6786502477,7,6
2023-12-31,CL,19989000000,20261867544,19738148606,3.45142,3.51267,3.39511,3990287136,2840000000,7285280036,7,10
2024-12-31,CL,20133244229,20203255510,19993221666,3.57167,3.6016,3.55172,4019081768,2908000000,7337851931,13,15
2025-12-31,CL,20285044051,20405489636,20054190011,3.65237,3.68231,3.64239,4049384678,2970532088,7393177571,15,11
2026-12-31,CL,21296764357,21477160478,21076280208,3.8657,3.91539,3.82595,4251348484,3139500440,7761913663,14,11
2027-12-31,CL,22033635679,22344958699,21762483371,4.11816,4.20747,4.07847,4398445796,3360362971,8030477069,14,11
2028-12-31,CL,22860057795,22896809477,22823306112,4.4303,4.53394,4.24279,4563419608,3521292100,8331678557,10,3
2029-12-31,CL,23590837301,23912873112,23294784751,4.68009,4.76314,4.60374,4709300846,3796021003,8598021713,5,1
2030-12-31,CL,24166548646,24496443427,23863271222,4.91998,5.00729,4.83971,4824226734,3990595782,8807848036,5,1
