date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-07-25,CSCO,6562499999,7874999998,5249999999,0.23,0.27,0.19,2154403333,1147833333,1388903166,18,18
1998-07-25,CSCO,8551250000,10261500000,6841000000,0.28,0.33,0.23,2764835285,1450089285,1887574000,17,17
2000-07-25,CSCO,20456976189,24548371427,16365580951,0.54,0.64,0.44,6246018701,2901684463,4936822019,13,13
2001-07-25,CSCO,15201157894,18241389472,12160926315,0.255,0.3,0.21,88210527,-2060799999,5973489472,16,16
2002-07-25,CSCO,15964395871,19157275045,12771516697,0.325,0.38,0.27,4750373346,2211905980,3897108130,9,9
2003-07-25,CSCO,17597615685,21117138822,14078092548,0.52,0.63,0.41,7566161537,3678238460,4424435530,8,8
2005-07-25,CSCO,24849000000,29818800000,19879200000,0.91,1.09,0.73,9091090908,5489594696,5923693181,10,10
2006-07-25,CSCO,28045361979,33654434374,22436289583,1,1.2,0.8,9473438157,5489279271,6959716073,8,8
2007-07-25,CSCO,34302352969,41162823563,27441882375,1.27,1.52,1.02,11652513036,7449133779,8625114870,18,18
2008-07-25,CSCO,38804655638,46565586765,31043724510,1.46,1.76,1.16,12240260682,7728551282,9921756410,16,16
2009-07-25,CSCO,30802975671,36963570805,24642380536,0.99,1.19,0.79,7681908712,4919955801,8426551166,10,10
2011-07-25,CSCO,40261068263,48313281915,32208854610,1.36,1.63,1.09,9836325644,5758798007,10836266627,16,16
2012-07-25,CSCO,44466281913,53359538296,35573025530,1.72,2.07,1.37,13041148613,7930802903,11335164512,15,15
2013-07-25,CSCO,46930467918,56316561501,37544374334,1.91,2.29,1.53,13472873398,9466635328,11259085233,19,19
2014-07-25,CSCO,45709437212,54851324653,36567549769,1.93,2.31,1.55,12076318087,7398339263,11126117821,14,14
2015-07-25,CSCO,48959180556,49717512429,48312248731,2.17604,2.21986,2.13866,14299955709,9188608152,11328694319,8,7
2016-07-25,CSCO,49153380000,49914719840,48503882082,2.33122,2.37816,2.29117,14998502567,10151386619,10916728923,11,12
2017-07-25,CSCO,47928048148,48670408745,47294741395,2.38179,2.42975,2.34088,15180708208,9512447290,10886593513,7,6
2018-07-25,CSCO,49255803704,50018729992,48604952390,2.5895,2.64164,2.54502,6758905916,1615727702,10717420359,7,6
2019-07-25,CSCO,51843843779,52646856385,51158794886,3.07912,3.14112,3.02623,15870003393,10784000276,11581367069,9,10
2020-07-25,CSCO,49234831843,49997433296,48584257645,3.14814,3.21153,3.09406,14053039351,9622030005,9976211869,8,9
2021-07-25,CSCO,49722469376,50492623878,49065451683,3.20535,3.26989,3.15029,15002948061,12814989303,11475001502,8,8
2022-07-25,CSCO,51184422515,51977221303,50508087015,3.35054,3.41801,3.29299,17561911621,12271616004,11578201041,7,12
2023-07-26,CSCO,57233000000,58136339171,56328934005,3.30392,3.37171,3.23607,17269128770,13442000000,13208289315,12,8
2024-07-26,CSCO,53697972695,53777999479,53617945910,3.7046,3.72457,3.69461,16202491659,14830940823,12392472157,17,18
2025-07-26,CSCO,56615691195,56655709354,56515645796,3.7889,3.7989,3.76891,17082865858,15128052193,13065826168,15,17
2026-07-26,CSCO,61555325209,61996941760,59808932483,4.15408,4.21428,4.06377,18573320244,16547821954,14205799875,16,14
2027-07-26,CSCO,65115714853,66905663840,63042610093,4.52006,4.67174,4.37849,19647610028,18091409774,15027470179,19,15
2028-07-26,CSCO,68191311898,68238406858,68144216937,4.8751,5.03341,4.6945,20575621515,19446092094.5,15737259559,16,8
